135042; ELIQUIS; NOT FOUND; CPR REVEST 5 MG x 20; BMS;505113090020002; ELIQUIS; NOT FOUND; 5.0 MG COM REV CT BL AL PLAS INC X 20 ; BMS
66108; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; GM2;526114003111111; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30; GM2
60099; CARDIZEM; NOT FOUND; CPR 60 MG x 20; B_I;504501204118311; CARDIZEM; NOT FOUND; 60 MG COM CT BL AL/AL X 20; B_I
86879; ATENOLOL; ATENOLOL; CPR 25 MG x 30; VAP;533509303119113; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS INC X 30; VAP
49876; FLOGENE; NOT FOUND; CAPS 20 MG x 10; A4H;500504001134410; FLOGENE; NOT FOUND; 10 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; A4H
73625; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; MD7;525070207116119; ALPRAZOLAM; ALPRAZOLAM; 0.5 MG COM CT BL AL PLAS OPC X 20; MD7
57144; NOVALGINA; NOT FOUND; CPR 500 MG x 240; S_A;502808303110320; NOVALGINA; NOT FOUND; 500 MG COM CT BL AL PLAS INC X 240 (EMB MULT); S_A
52247; SYNTHROID; NOT FOUND; CPR 100 Y x 30; ABT;500207401111413; SYNTHROID; NOT FOUND; 100 MCG COM CT BL AL/AL X 30  ; ABT
67475; LASAFLAN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); L4S;520201003135411; LASAFLAN; NOT FOUND; 15 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; L4S
61877; OXSORALEN; NOT FOUND; CAPS 10 MG x 30; VLT;512001301115410; OXSORALEN; NOT FOUND; 10 MG CAP GEL MOLE CT FR VD AMB X 30; VLT
61934; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; TTB;520716104111125; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS LAR X 20; TTB
73932; CLINFAR; NOT FOUND; CPR REVEST 40 MG x 30; M_S;525402508111419; CLINFAR; NOT FOUND; 40 MG COM REV CT BL AL PLAS INC X 30; M_S
59549; ATENOPRESS; NOT FOUND; CPR REVEST 50 MG x 28; SDZ;511500803118414; ATENOPRESS; NOT FOUND; 50 MG COM BL AL PLAS INC X 28; SDZ
74716; DUXIDINA; NOT FOUND; SPRAY 10 MG 45 ML x 1 (/ML); PZ8;528528405170427; DUXIDINA; NOT FOUND; 10 MG/ML SOL TOP CT FR VD AMB SPRAY X 45 ML; PZ8
63003; DICLAC; NOT FOUND; CPR REVEST 50 MG x 20; SDZ;511503101114413; DICLAC; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; SDZ
96981; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; NQA;525312070036106; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; NQA
66098; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; GM2;526101803112119; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; GM2
64550; LOSARTAN POTAS; NOT FOUND; CPR REVEST 50 MG x 30; CT6;506716102111113; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 50 MG COM REV CT 3 BL AL PLAS OPC X 10; CT6
66944; CAZIGERAN; NOT FOUND; DRAG x 60; CAZ;505502502110418; CAZIGERAN; NOT FOUND; DRG CT FR VD AMB X 60 DRG; CAZ
60042; GLUCOVANCE; NOT FOUND; CPR REVEST 5 MG x 30 (/500); M_S;525405203117418; GLUCOVANCE; NOT FOUND; 500 MG + 2.5 MG COM REV CT BL AL PLAS INC X 30; M_S
61983; FLAZAL; NOT FOUND; CPR 30 MG x 10; N_Q;519004301113410; FLAZAL; NOT FOUND; 30 MG COM CT BL AL PLAS INC X 10; N_Q
29964; SELOKEN; NOT FOUND; CPR 100 MG x 20; AZN;502303302117310; SELOKEN; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 20; AZN
57398; TEGRETOL CR; NOT FOUND; CPR 200 MG x 60; NVR;526515006111319; TEGRETOL CR; NOT FOUND; 200 MG COM LIB PROL CT BL AL PLAS INC X 60; NVR
61380; AMOXIMED; NOT FOUND; SUSP ORAL 500 MG 150 ML x 1 (/5ML); CM5;506400502136411; AMOXIMED; NOT FOUND; 500 MG/5 ML PO SUS OR CT FR X 150 ML; CM5
94193; CLOR NARATRIPTA; CLORIDRATO NARATRIPTANA; CPR REVEST 2.50 MG x 4; LG6;538812050041306; CLORIDRATO NARATRIPTANA; CLORIDRATO NARATRIPTANA; 2.5MG COM VER CT BL AL PLAS OPC X 4; LG6
69963; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); NQA;525306601130114; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NQA
74321; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; AOB;500103001117113; CEFADROXILA; CEFADROXILA; 500 MG CAP GEL DURA CT BL AL PVC/PVDC INC X 8; AOB
78652; ZAVESCA; NOT FOUND; CAPS 100 MG x 90; A9N;500600201114311; ZAVESCA; NOT FOUND; 100 MG CAP GEL DURA CT BL AL PVC X 90; A9N
84458; ANGIO II; ANGIOTENSINA II; CPR REVEST 160 MG x 30; MD7;525073703114417; ANGIO II; ANGIOTENSINA II; 160 MG COM REV CT BL AL/AL X 30; MD7
82344; HEIMER; NOT FOUND; CPR 10 MG x 15; EUF;508029602111412; HEIMER; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 15; EUF
80417; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; GM2;526134604119111; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL AL X 30; GM2
61627; CAPTOLAB; NOT FOUND; CPR 25 MG x 30; MB9;525900302116410; CAPTOLAB; NOT FOUND; 25 MG COM CT BL AL PLAS X 30; MB9
63079; DICLONATRIUM; NOT FOUND; CPR REVEST 50 MG x 500; PZ8;528502202116416; DICLONATRIUM; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); PZ8
80669; CARDILOL; NOT FOUND; CPR 25 MG x 60; LIB;523700810111411; CARDILOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; LIB
51029; DALACIN C; NOT FOUND; CAPS 300 MG x 16; PFZ;522234801118412; DALACIN C; NOT FOUND; 300 MG CAP GEL DURA CT BL AL PLAS INC X 16; PFZ
31055; MUCOFAN; NOT FOUND; XAR PED 20 MG 100 ML x 1 (/ML); U_Q;533012120056903; MUCOFAN; NOT FOUND; 20 MG/ML XPE CT FR PLAS TRANS X 100 ML  ; U_Q
57562; SINVASTATINA; SINVASTATINA; CPR 20 MG x 30; RBY;529906103118112; SINVASTATINA; SINVASTATINA; 20 MG COM CT BL AL PLAS INC X 30; RBY
67575; LIVOLON; NOT FOUND; CPR 1.25 MG x 30; BS2;504103601117418; LIVOLON; NOT FOUND; 1.25 MG COM CT BL AL PLAS INC X 30; BS2
75567; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; PZ8;528529607117118; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS INC X 30; PZ8
63096; PRATICILIN; NOT FOUND; SUSP 250 MG 60 ML x 50 (/5ML); PZ8;528504603134411; PRATICILIN; NOT FOUND; 250 MG/5 ML PO SUS OR CX 50 FR VD AMB X 60 ML (EMB HOSP); PZ8
48093; ACETICIL; NOT FOUND; CPR 100 MG x 200 (INF); CAZ;505500101119426; ACETICIL; NOT FOUND; 100MG COMP MAST CT FILM POLIET X 200; CAZ
78150; CLENIL HFA; NOT FOUND; SPRAY JET AE 250 Y x 200; CHS;508503808171311; CLENIL HFA; NOT FOUND; 250 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL + ESPAC JET X 200 DOSES ; CHS
100277; TELMISARTANA; TELMISARTANA; CPR 40 MG x 30; LG6;538812070043306; TELMISARTANA; TELMISARTANA; 40 MG COM CT BL AL AL X 30; LG6
128827; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; UFB;538600106119110; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; UFB
71084; FENOBARBITAL; FENOBARBITAL; CPR 100 MG x 30; TTB;520727101117111; FENOBARBITAL; FENOBARBITAL; 100 MG COM CT BL AL PLAS INC X 30; TTB
71365; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 14; MD7;525067205116111; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG CAP GEL DURA CT BL AL PLAS INC X 14; MD7
83455; EGIDE; NOT FOUND; CPR REVEST 25 MG x 60; LIB;523709303115418; EGIDE; NOT FOUND; 25 MG COM REV CT BL AL AL X 60; LIB
77232; CEFOXITINA SODI; CEFOXITINA SODICA; F.IV LIOF 1 G 10 ML x 20; NVA;526302602157116; CEFOXITINA SODICA; CEFOXITINA SODICA; 1 G PO SOL INJ IV CX 20 FA VD INC + 20 DIL AMP PLAS INC X 10 ML (EMB HOSP); NVA
77860; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); HPO;511608901161111; CETOCONAZOL; CETOCONAZOL; 20 MG/G CREM DERM CT BG AL X 30 G ; HPO
78556; MIFLONIDE; NOT FOUND; CAPS+INALAD. 400 Y x 30; NVR;526510604175417; MIFLONIDE; NOT FOUND; 400 MCG CAP GEL DURA P/ INAL CT BL AL PLAS INC X 30 + INAL; NVR
65463; CLOXAZOLAM; CLOXAZOLAM; CPR 2 MG x 20; EUF;508013302113111; CLOXAZOLAM; CLOXAZOLAM; 2 MG COM CT STR AL X 20; EUF
77835; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 28; HPO;511612307112111; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; HPO
66737; LANSOPRAZOL; LANSOPRAZOL; CAPS 30 MG x 28; GM2;526119004114113; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MICROG LIB RET CT BL AL PLAS INC X 28; GM2
76425; MERITOR; NOT FOUND; CPR REVEST 2 MG x 10; A4H;500512601110319; MERITOR; NOT FOUND; 2 MG + 1000 MG COM REV CT BL AL PLAS INC X 10 ; A4H
95876; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 60; TTB;520712100084706; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS TRANS X 60; TTB
112060; RABEPRAZOL SODI; RABEPRAZOL SODICO; CPR REV LR 10 MG x 14; SDZ;511513070057206; RABEPRAZOL SODICO; RABEPRAZOL SODICO; 10 MG COM REV LIB RETARD CT BL AL AL X 14; SDZ
73563; INVEGA; NOT FOUND; CPR REVES.LP 3 MG x 28; J_C;514506903119310; INVEGA; NOT FOUND; 3.0 MG COM REV LIB PROL CT BL AL PLAS INC X 28; J_C
100272; OLANZAPINA; OLANZAPINA; CPR 10 MG x 30; EUF;508012040091506; OLANZAPINA; OLANZAPINA; 10 MG COM CT BL AL AL X 30; EUF
78826; FUM QUETIAPINA; NOT FOUND; CPR 200 MG x 30; ATV;506906301115114; FUMARATO QUETIAPINA; NOT FOUND; 200 MG COM REV CT BL AL PLAS OPC X 30; ATV
99005; RESOLOR; NOT FOUND; CPR REVEST 2 MG x 14; J_C;514512090025502; RESOLOR; NOT FOUND; 2 MG COM REV CT BL AL AL X 14 ; J_C
64644; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; SOLN ORAL 1 MG 120 ML x 1 (/ML; PZ8;528502301130115; DICLORIDRATO CETIRIZINA; DICLORIDRATO CETIRIZINA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML; PZ8
52387; ZETALERG; NOT FOUND; CPR 10 MG x 6; UCI;532904901114416; ZETALERG; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; UCI
96778; AXONIUM; NOT FOUND; CPR 5 MG x 30; A4H;500512080045804; AXONIUM; NOT FOUND; 5 MG COM CT BL AL/AL X 30; A4H
53707; FENOCRIS; NOT FOUND; CPR 100 MG x 200; CT6;506705901115416; FENOCRIS; NOT FOUND; 100 MG COM CX BL AL PLAS INC X 200 (EMB HOSP); CT6
89026; INCIVO; NOT FOUND; CPR REVEST 375 MG x 168; J_C;514508501115211; INCIVO; NOT FOUND; 375 MG COM REV CT FR PLAS OPC X 168; J_C
58808; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); MD7;525000301164112; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; MD7
99993; MIRTAZAPINA; MIRTAZAPINA; CPR ORODISPE 30 MG x 28; SDZ;511515201119119; MIRTAZAPINA; MIRTAZAPINA; 30 MG COM REV CT BL AL PLAS INC X 28; SDZ
79591; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 60; MD7;525073107112116; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL/AL X 60; MD7
103416; ESOP; NOT FOUND; CPR REVEST 20 MG x 14; NQA;525313020039204; ESOP; NOT FOUND; 20 MG COM REV CT BL AL AL X 14; NQA
75781; DIENZEPAX; NOT FOUND; CPR 10 MG x 20; N_Q;519028802112414; DIENZEPAX; NOT FOUND; 10MG COM CT BL AL PLAS INC X 20; N_Q
46164; CRONOGERON; NOT FOUND; CPR 25 MG x 30; ATV;506900801116412; CRONOGERON; NOT FOUND; 25 MG  COM CT 2 BL AL PLAS AMB X 15 ; ATV
29997; DECADRON; NOT FOUND; CPR 4 MG x 10; A4H;500510404113416; DECADRON; NOT FOUND; 4.0 MG COM CT BL AL PLAS INC X 10; A4H
83357; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; MD7;525074114112116; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM REV CT BL AL PLAS INC X 8; MD7
60072; DIOVAN; NOT FOUND; CPR REVEST 160 MG x 28; NVR;526504804117319; DIOVAN; NOT FOUND; 160 MG COM REV CT BL AL/AL X 28; NVR
69099; CLOR LIDOCAINA; CLORIDRATO LIDOCAINA; GEL TOP. 20 MG 30 G x 1 (/G); LG6;538818601166115; CLORIDRATO LIDOCAINA; CLORIDRATO LIDOCAINA; 20 MG/ML GEL TOP CT BG AL X 30 G; LG6
65171; NACLOFAN; NOT FOUND; GOTAS 15 MG 10 ML x 200 (/ML); HPO;511607601131413; NACLOFAN; NOT FOUND; 15 MG/ML SUS OR CT 200 FR PLAS OPC GOT X 10 ML; HPO
71495; LEVOFLOXACINO; LEVOFLOXACINO; SOL INJ BOLS 5 MG 100 ML x 1 (/ML; IS5;514312010008806; LEVOFLOXACINO; LEVOFLOXACINO; 5 MG/ML SOL INJ BOLS PLAS FLEX PP TRANS SIST FECH X 100 ML + ENV AL ; IS5
52052; STILNOX; NOT FOUND; CPR 10 MG x 10; S_A;502819902118316; STILNOX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; S_A
68077; VIAGRA; NOT FOUND; CPR REVEST 50 MG x 2; PFZ;522204104117218; VIAGRA; NOT FOUND; 50 MG COM REV CT 2 BL AL PLAS INC X 1; PFZ
68852; MIODON; NOT FOUND; CPR REVEST 100 MG x 30; BS2;504109702111414; MIODON; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; BS2
162468; JARDIANCE; NOT FOUND; CPR REVEST 10 MG x 30; B_I;504514110020002; JARDIANCE; NOT FOUND; 10MG COM REV CT BL AL PLAS INCOLOR X 30; B_I
51521; SOTACOR; NOT FOUND; CPR BLISTER 160 MG x 20; BMS;505105502114315; SOTACOR; NOT FOUND; 160 MG COM CT 2 BL AL PLAS INC X 10; BMS
64354; MELOXICAM; MELOXICAM; CPR 15 MG x 10; EUF;508013503119117; MELOXICAM; MELOXICAM; 15 MG COM CT STR AL X 10  ; EUF
70158; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; NQA;525307001110110; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10; NQA
81131; AC TRANEXAMICO; ACIDO TRANEXAMICO; CPR 250 MG x 12; LG6;538805701116118; ACIDO TRANEXAMICO; ACIDO TRANEXAMICO; 250 MG COM CT BL AL PLAS OPC X 12; LG6
78604; XEFO; NOT FOUND; CPR REVEST 8 MG x 4; BS2;504114107119311; XEFO; NOT FOUND; 8 MG COM REV CT BL AL/AL X 4; BS2
55295; PLENACOR; NOT FOUND; CPR 100 MG x 28; BAG;536501002114415; PLENACOR; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 28; BAG
50251; PARLODEL; NOT FOUND; CAPS SRO 2.50 MG x 14; NVR;526512503112319; PARLODEL; NOT FOUND; 2.5 MG COM CT BL AL/AL X 14; NVR
68898; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; RBY;529914001116111; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAS INC X 30; RBY
63700; EBIX; NOT FOUND; CPR 10 MG x 28; LUN;524200601112417; EBIX; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28 ; LUN
66921; NEOZOLAM; NOT FOUND; CPR 0.25 MG x 20; N_Q;519020901111410; NEOZOLAM; NOT FOUND; 0.25 MG COM CT 2 BL AL PLAS INC X 10; N_Q
63202; ICTUS; NOT FOUND; CPR 6.25 MG x 30; BS2;504101204110410; ICTUS; NOT FOUND; 6.25 MG COM CT 2 BL AL PLAS INC X 15; BS2
75957; REHIDRAZOL; NOT FOUND; SOL ORAL NAT 450 ML x 1; GLO;517605803133413; REHIDRAZOL; NOT FOUND; SOL OR CX FR PLAS TRANS X 450 ML (SABOR FRAMBOESA); GLO
79590; VALSARTANA; VALSARTANA; CPR REVEST 80 MG x 30; MD7;525073106116118; VALSARTANA; VALSARTANA; 80 MG COM REV CT BL AL/AL X 30; MD7
63992; CLORTALIDONA; CLORTALIDONA; CPR 12.5 MG x 60; GM2;526102601114119; CLORTALIDONA; CLORTALIDONA; 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); GM2
52132; MONOZOL; NOT FOUND; CPR CEREJA 400 MG x 1; LG6;538818002114411; MONOZOL; NOT FOUND; 400 MG COM MAST CT BL AL PVDC BRANCO LEITOSO X 1; LG6
56578; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); TTB;520713010087106; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML ; TTB
60406; LIPITOR; NOT FOUND; CPR REVEST 40 MG x 30; PFZ;522202104111213; LIPITOR; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; PFZ
77949; AH ZUL; NOT FOUND; CPR REVEST 25 MG x 4; LG6;538806303114415; AH ZUL; NOT FOUND; 25 MG COM REV CT BL AL PLAS OPC X 4; LG6
75958; REHIDRAZOL; NOT FOUND; SOL ORAL UVA 450 ML x 1; GLO;517605806132418; REHIDRAZOL; NOT FOUND; SOL OR CX FR PLAS TRANS X 450 ML (SABOR UVA); GLO
114781; AMLODIL; NOT FOUND; CPR 5 MG x 500; VAP;533514060026103; AMLODIL; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 500 (EMB HOSP); VAP
73832; LOSARTAN POTAS; NOT FOUND; CPR REVEST 100 MG x 30; LG6;538817901115119; LOSARTANA POTASSICA; LOSARTANA POTASSICA; 100 MG COM REV CT BL AL PLAS LEIT X 30; LG6
62396; CITARAX; NOT FOUND; F.AMP C/DILU 100 MG 5 ML x 10; BU_;504401401159411; CITARAX; NOT FOUND; 100MG/ML SOL. INJ. - CRT C/10 AMP DE 5ML; BU_
77961; ESQUIDON; NOT FOUND; CPR REVEST 3 MG x 30; M_S;525420803111414; ESQUIDON; NOT FOUND; 3 MG COM REV CT BL AL PLAS INC X 30; M_S
47336; INIBINA; NOT FOUND; CPR 10 MG x 20; APS;501601101111312; INIBINA; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; APS
79147; LIPIGRAN; NOT FOUND; CPR REVEST 40 MG x 30; LG6;538805205119414; LIPIGRAND; NOT FOUND; 40 MG COM REV CT BL AL/AL X 30; LG6
71793; SINVASTON; NOT FOUND; CPR REVEST 40 MG x 500; SNV;530807609114417; SINVASTON; NOT FOUND; 40.0 MG COM REV CT BL AL PLAS INC X 500 (EMB HOSP); SNV
51873; SADOL; NOT FOUND; LIQD 400 ML x 1; C_S;516103001131423; SADOL; NOT FOUND; FR 400 ML CHOCOLATE; C_S
69018; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 10 MG 60 G x 50 (/G); PZ8;528523506165118; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CX 50 BG AL X 60 G (EMB HOSP); PZ8
64332; MICOSBEL; NOT FOUND; LOC. 50 MG 30 G x 1 (/ML); BLF;503404403170411; MICOSBEL; NOT FOUND; 50 MG/ML LOC CT FR VD AMB X 30 ML; BLF
66784; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; GM2;526113702111110; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA CT BL AL PLAS INC X 15; GM2
113328; TOPIT; NOT FOUND; CPR REV 25 MG x 60; MD7;525013060102403; TOPIT; NOT FOUND; 25 MG COM REV CT BL AL/AL X 60; MD7
68208; DESONIDA; DESONIDA; CREME 0.50 MG 30 G x 1 (/G); LG6;538815101162116; DESONIDA; DESONIDA; 0.5 MG/G CREM CT BG AL X 30 G; LG6
58371; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR 850 MG x 30; M_S;525402603114111; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 850 MG COM REV CT BL AL PLAS INC X 30 ; M_S
69746; HIDROCORTISONA; HIDROCORTISONA; SOLN CAPIL 10 MG 60 ML x 1 (/ML); GM2;526125802175114; HIDROCORTISONA; HIDROCORTISONA; 10 MG/ML SOL CAPIL CT FR PLAS OPC GOT X 60 ML ; GM2
52496; ZOLTREN; NOT FOUND; CAPS 150 MG x 1; TTB;520720801113411; ZOLTREN; NOT FOUND; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; TTB
64722; RISPERIDONA; RISPERIDONA; CPR REVEST 3 MG x 20; SDZ;511516104117113; RISPERIDONA; RISPERIDONA; 3 MG COM REV CT BL AL PLAS INC X 20; SDZ
52569; SINUSTRAT; NOT FOUND; SOLN NATURAL 30 ML x 1 (INF); AV7;534300501176414; SINUSTRAT; NOT FOUND; FRASCO COM 30 ML SOLUCAO NATURAL; AV7
64197; AMINOFILINA; AMINOFILINA; CPR 100 MG x 20; TTB;520701002111111; AMINOFILINA; AMINOFILINA; 100 MG COM CT  BL AL PVC X 20; TTB
91051; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; GM2;526112040083906; HEMITARTARATO RIVASTIGMINA; HEMITARTARATO RIVASTIGMINA; 6 MG CAP GEL DURA CT BL AL PLAS OPC X 30; GM2
62844; FEXODANE; NOT FOUND; CPR REVEST 180 MG x 10; UCI;532901502111419; FEXODANE; NOT FOUND; 180 MG COM REV CT STR AL/AL X 10; UCI
70760; CIPROBACTER; NOT FOUND; SOL INJ BOLS 2 MG 100 ML x 1 (/ML); IS5;514312020011303; CIPROBACTER; NOT FOUND; 2 MG/ML SOL INJ ENV AL BOLS FLEX PP TRANS SIST FECH X 100 ML; IS5
53448; ATENEO; NOT FOUND; CPR 50 MG x 28; N_Q;519000802118412; ATENEO; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 28; N_Q
55581; ACICLOMED; NOT FOUND; CREME 50 MG 10 G x 1 (/G); CM5;506400101166415; ACICLOMED; NOT FOUND; 50 MG/G CREM DERM CT BG X 10 G; CM5
68085; FLANCOX; NOT FOUND; CPR REVEST 400 MG x 20; APS;501604204116311; FLANCOX; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 20; APS
73176; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 600; PZ8;528526502111115; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 600 (EMB HOSP); PZ8
77892; MESI DOXAZOSINA; MESILATO DOXAZOSINA; CPR 2 MG x 30; TTB;520731201112118; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; TTB
71601; ATENOLOL; ATENOLOL; CPR 50 MG x 30; LG6; ; ATENOLOL; ATENOLOL; 50 MG COM CT BL AL PLAS OPC X 30; LG6
49873; FENAFLAN; NOT FOUND; GOTAS 15 MG 15 ML x 1 (/ML); TTB;520710204139413; FENAFLAN; NOT FOUND; 15 MG/ML  SUS OR CT FR PLAS OPC GOT X 15 ML; TTB
69528; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); LG6;538802103137117; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; LG6
78396; RISPERDAL CONSTA; NOT FOUND; F.AMP DEL 50 MG 2 ML x 1; J_C;514507001151316; RIPERDAL CONSTA; NOT FOUND; 50 MG PO INJ IM CT FA VD INC + DIL SER VD INC X 2 ML + 3 AGU; J_C
62434; LEVOXIN; NOT FOUND; CPR REVEST 500 MG x 10; APS;501601303113413; LEVOXIN; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; APS
48716; ACFOL; NOT FOUND; GOTAS 5 MG 10 ML x 1 (/ML); CAZ;505500202136415; ACFOL; NOT FOUND; 5 MG/ML SOL OR CT FR VD CGT X 10 ML; CAZ
51620; AMARYL; NOT FOUND; CPR 2 MG x 30; S_A;502800602119316; AMARYL; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30 ; S_A
92434; DIVELOL; NOT FOUND; CPR 6.25 MG x 60; BAL;521012040008903; DIVELOL; NOT FOUND; 6.25 MG COM REV CT BL AL PLAS TRANS X 60; BAL
68567; DEFLAZACORTE; DEFLAZACORTE; CPR 30 MG x 10; GM2;526121201118113; DEFLAZACORTE; DEFLAZACORTE; 30 MG COM CT BL AL PLAS LEIT X 10 ; GM2
58649; TETRALYSAL; NOT FOUND; CAPS 300 MG x 16; GLD;510101702115311; TETRALYSAL; NOT FOUND; 300 MG CAP GEL  DURA CT STR X 16; GLD
62576; NOVOMIX 30; NOT FOUND; CARTUCHO PEN 100 IU 3 ML x 5 (/ML); N_N;526602002155316; NOVOMIX 30; NOT FOUND; 100 U/ML SUS INJ CT 5 CARP VD INC X 3 ML (PENFILL); N_N
95814; RAZAPINA ODT; NOT FOUND; CPR ORODISPE 30 MG x 14; SDZ;511512070054904; RAZAPINA ODT; NOT FOUND; 30 MG COM ORODISP CT BL AL AL X 14; SDZ
94517; STABIL; NOT FOUND; CPR 1 MG x 30; A4H;500512070044404; STABIL; NOT FOUND; 1 MG COM CT BL AL/AL X 30; A4H
59798; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 20 MG 100 ML x 1 (/ML); M_S;525401401135126; CARBOCISTEINA; CARBOCISTEINA; 20MG/ML XPE CT FR PLAS AMB X 100ML; M_S
77733; DIVELOL; NOT FOUND; CPR 25 MG x 60; BAL;521000909119417; DIVELOL; NOT FOUND; 25 MG COM CT BL AL PLAS INC X 60; BAL
58770; OMOPREL; NOT FOUND; CAPS 20 MG x 14; BLF;503412030014903; OMOPREL; NOT FOUND; 20 MG CAP GEL DURA CT BL AL PLAS INC  X 14; BLF
