77003, CARVEDILOL, CARVEDILOL, CPR 25 MG x 30, MD7,525071504114119, CARVEDILOL, CARVEDILOL, 25 MG COM CT BL AL/AL X 30, MD7
58961, LORAZEPAM, LORAZEPAM, CPR 1 MG x 20, E3S,507716801115113, LORAZEPAM, LORAZEPAM, 1 MG COM CT BL AL PLAS INC X 20, E3S
78282, SINVASTATINA, SINVASTATINA, CPR 20 MG x 30, LG6,538805003117119, SINVASTATINA, SINVASTATINA, 20 MG COM REV CT BL AL PLAS OPC X 30, LG6
80205, VOLUNTA, NOT FOUND, CPR REVEST 20 MG x 30, MD7,525073809117411, VOLUNTA, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, MD7
67400, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 28, SDZ,511512702117114, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS INC X 28, SDZ
83355, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 4, MD7,525074104117115, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 4, MD7
2451, CLORANA, NOT FOUND, CPR 50 MG x 20, S_A,530501202114416, CLORANA, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 20, S_A
57964, CIPROBIOT, NOT FOUND, CPR 500 MG x 14, SDZ,511501902111416, CIPROBIOT, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14, SDZ
72523, GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, MD7,525068914110113, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS INC X 60, MD7
82835, REPAGLINIDA, REPAGLINIDA, CPR REVEST 2 MG x 30, E3S,507745301117110, REPAGLINIDA, REPAGLINIDA, 2 MG COM CT BL AL AL X 30, E3S
80412, OLANZAPINA, OLANZAPINA, CPR REVEST 10 MG x 28, GM2,526134102113115, OLANZAPINA, OLANZAPINA, 10 MG COM REV CT BL AL / AL X 28, GM2
77426, DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 10, LG6,538802001113111, DESLORATADINA, DESLORATADINA, 5 MG COM VER CT BL AL PLAS OPC X 10, LG6
68066, VIVANZA, NOT FOUND, CPR REVEST 10 MG x 2, MD7,525065901115419, VIVANZA, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 2, MD7
68254, LANSOPRAZOL, LANSOPRAZOL, CAPS 30 MG x 7, LG6,538817804111112, LANSOPRAZOL, LANSOPRAZOL, 30 MG CAP GEL DURA C/ MICROG LIB RET CT BL AL PLAS INC X 7, LG6
77335, INFLADEX, NOT FOUND, CPR REVEST 100 MG x 20, LG6,538803002113415, INFLADEX, NOT FOUND, 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 20, LG6
79590, VALSARTANA, VALSARTANA, CPR REVEST 80 MG x 30, MD7,525073106116118, VALSARTANA, VALSARTANA, 80 MG COM REV CT BL AL/AL X 30, MD7
78988, KOLEVAS, NOT FOUND, CPR REVEST 20 MG x 30, E3S,507743202111411, KOLEVAS, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, E3S
55782, HIPERNOLOL, NOT FOUND, CPR 80 MG x 20, N_Q,519005702111417, HIPERNOLOL, NOT FOUND, 80 MG COM CT BL AL PLAS INC X 20, N_Q
76555, MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, MD7,525071104116114, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, MD7
66735, GLIBENCLAMIDA, GLIBENCLAMIDA, CPR 5 MG x 30, GM2,526114401115115, GLIBENCLAMIDA, GLIBENCLAMIDA, 5 MG COM CT BL AL PLAS INC X 30, GM2
77945, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 8, GM2,526133006110110, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS OPC X 8, GM2
75781, DIENZEPAX, NOT FOUND, CPR 10 MG x 20, N_Q,519028802112414, DIENZEPAX, NOT FOUND, 10 MG COM CT BL AL PLAS INC X 20, N_Q
63898, GENFIBROZILA, GENFIBROZILA, CPR REVEST 900 MG x 15, MD7,525063503112111, GENFIBROZILA, GENFIBROZILA, 900 MG COM REV CT BL AL PLAS INC X 15, MD7
65160, LIPOTEX, NOT FOUND, CPR REVEST 10 MG x 30, MD7,525065501117414, LIPOTEX, NOT FOUND, 10 MG COM REV CT BL AL PVC/PVDC INC X 30, MD7
78674, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, E3S,507740604111118, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, E3S
75757, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 14, N_Q,519028901110118, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL PLAS INC X 14, N_Q
79622, CLO VENLAFAXINA, CLORIDRATO VENLAFAXINA, CAPS L.P. 37.5 MG x 7, MD7,525068507116112, CLORIDRATO VENLAFAXINA, CLORIDRATO VENLAFAXINA, 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 7, MD7
78620, VIDENFIL, NOT FOUND, CPR 50 MG x 1, SDZ,511517003111411, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 1, SDZ
57226, MIODARID, NOT FOUND, CPR 200 MG x 20, N_Q,519007301114411, MIODARID, NOT FOUND, 200 MG COM REV CT BL AL PLAS INC X 20, N_Q
53267, INFLALID, NOT FOUND, CPR 100 MG x 12, LG6,538811901113419, INFLALID, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 12, LG6
59580, FLAMADOR, NOT FOUND, CAPS 50 MG x 24, LG6,538813701111419, FLAMADOR, NOT FOUND, 50 MG CAP GEL DURA CT BL AL PLAS INC X 24, LG6
59102, OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 28, SDZ,511515902117112, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 28, SDZ
78000, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 25 MG x 4, SDZ,511516702111119, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 25 MG COM CT BL AL PLAS INC X 4, SDZ
66061, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, N_Q,519022502117111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 20 MG COM CT ENV AL X 30, N_Q
58064, SINVASTACOR, NOT FOUND, CPR REVEST 20 MG x 30, SDZ,511508502117414, SINVASTACOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, SDZ
77303, GLIMEPIRIDA, GLIMEPIRIDA, CPR 4 MG x 60, E3S,507740602119111, GLIMEPIRIDA, GLIMEPIRIDA, 4 MG COM CT BL AL PLAS OPC X 60, E3S
59570, DEXANIL, NOT FOUND, AMP. 2 MG 1 ML x 50 (/ML), N_Q,519030103153415, DEXANIL, NOT FOUND, 2 MG/ML SOL INJ CT 50 AMP VD INC X 1 ML (EMB HOSP) , N_Q
66105, CLOR FLUOXETINA, CLORIDRATO FLUOXETINA, CAPS 20 MG x 28, GM2,526116904114115, CLORIDRATO FLUOXETINA, CLORIDRATO FLUOXETINA, 20 MG CAP GEL DURA CT BL AL PLAS INC X 28, GM2
48280, EUFOR 20, NOT FOUND, CPR 20 MG x 28, FAS,508702301113419, EUFOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 28, FAS
75256, SINVASTACOR, NOT FOUND, CPR REVEST 20 MG x 60, SDZ,511508506112417, SINVASTACOR, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 60, SDZ
67046, CARBAMAZEPINA, CARBAMAZEPINA, CPR 200 MG x 20, N_Q,519023701113112, CARBAMAZEPINA, CARBAMAZEPINA, 200 MG COM CT BL AL PLAS INC X 20, N_Q
83354, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 1, MD7,525074111113111, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 1, MD7
82831, FUM BISOPROLOL, NOT FOUND, CPR REVEST 1.25 MG x 30, E3S,507745601110111, FUMARATO BISOPROLOL, NOT FOUND, 1.25 MG COM REV CT BL AL PLAS OPC X 30, E3S
79000, PENTOXIFILINA, PENTOXIFILINA, CPR REVEST 400 MG x 30, MD7,525073001111116, PENTOXIFILINA, PENTOXIFILINA, 400 MG COM REV CT BL AL PLAS INC X 30, MD7
78462, DESARCOR, NOT FOUND, CPR 8 MG x 30, SDZ,511516901114411, DESARCOR, NOT FOUND, 8 MG COM CT BL AL/AL X 30, SDZ
69536, HIDROCLOROTIAZI, NOT FOUND, CPR 25 MG x 30, LG6,538809202114112, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 25 MG COM CT BL AL PLAS LEIT X 30, LG6
53019, APROVEL, NOT FOUND, CPR 300 MG x 14, S_A,530500404112211, APROVEL, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 14, S_A
75880, CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 75 MG x 30, MD7,525070804114116, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 75 MG CAP GEL DURA CT BL AL PLAS INC X 30, MD7
32308, ZYLIUM, NOT FOUND, CPR 150 MG x 20, FAS,508707202113411, ZYLIUM, NOT FOUND, 150 MG COM REV CT BL AL PLAS INC X 20, FAS
62830, LANSOHEXAL, NOT FOUND, CAPS 30 MG x 14, SDZ,511505301110418, LANSOHEXAL, NOT FOUND, 30 MG CAP LIB RET CT FR PLAS OPC X 14, SDZ
55284, PARALGEN, NOT FOUND, CPR 750 MG x 20, LG6,538810801115411, PARALGEN, NOT FOUND, 750 MG COM REV CT BL AL PLAS INC X 20, LG6
55493, ROXITRAN, NOT FOUND, CPR REVEST 300 MG x 5, N_Q,519015301111413, ROXITRAN, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 5, N_Q
83739, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 100 MG x 1, MD7,525074102114119, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 100 MG COM REV CT BL AL PLAS INC X 1, MD7
56838, ENERGIL C, NOT FOUND, CPR EF.S/ACU 1 G x 10, E3S,507712303137414, ENERGIL C, NOT FOUND, 1 G ROSE HIPS C/10, E3S
67643, CLO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, CPR 75 MG x 20, GM2,526120802118111, CLORIDRATO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20, GM2
77594, DESLORANA, NOT FOUND, CPR REVEST 5 MG x 10, LG6,538804102111412, DESLORANA, NOT FOUND, 5 MG COM REV CT BL AL PLAS OPC X 10, LG6
8784, PSICOSEDIN, NOT FOUND, CPR 10 MG x 20, FAS,508705801117418, PSICOSEDIN, NOT FOUND, 10 MG COMP REV CT BL AL PLAST INC X 20, FAS
79615, TENOXICAM, TENOXICAM, CPR REVEST 20 MG x 10, SDZ,511517401115113, TENOXICAM, TENOXICAM, 20 MG COM REV CT BL AL PLAS INC X 10, SDZ
76776, CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, LG6,538802702111115, CLORIDRATO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PLAS OPC X 30, LG6
71622, SINVASTATINA, SINVASTATINA, CPR REVEST 40 MG x 30, SDZ,511508609116113, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS INC X 30, SDZ
80658, PIOTAZ, NOT FOUND, CPR 15 MG x 30, GM2,526135702114412, PIOTAZ, NOT FOUND, 15 MG COM CT FR PLAS OPC X 30, GM2
83358, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 4, MD7,525074113116118, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 4, MD7
78994, ATORVASTATINA, ATORVASTATINA, CPR REVEST 10 MG x 30, GM2,526133202114115, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 10 MG COM REV CT BL AL AL X 30, GM2
71465, GABAPENTINA, GABAPENTINA, CAPS 400 MG x 30, LG6,538813802112119, GABAPENTINA, GABAPENTINA, 400 MG CAP GEL DURA CT BL AL PLAS OPC X 30, LG6
78275, ATORVASTATINA, ATORVASTATINA, CPR REVEST 40 MG x 60, E3S,507743405111112, ATORVASTATINA CALCICA, ATORVASTATINA CALCICA, 40 MG COM REV CT BL AL AL X 60, E3S
73716, BROMAZEPAM, BROMAZEPAM, CPR 6 MG x 30, SDZ,511514005111110, BROMAZEPAM, BROMAZEPAM, 6 MG COM CT BL AL PLAS INC X 30, SDZ
69369, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 10, GM2,526124601117119, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 10, GM2
76656, GABAPENTINA, GABAPENTINA, CPR REVEST 600 MG x 27, GM2,526126603117112, GABAPENTINA, GABAPENTINA, 600 MG COM REV CT BL AL PLAS OPC X 27, GM2
59260, MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 10, SDZ,511506303117116, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 4 MG COM CT BL AL PLAS INC X 10, SDZ
67279, BES ANLODIPINO, BESILATO ANLODIPINO, CPR 5 MG x 30, N_Q,519023404119116, BESILATO ANLODIPINO, BESILATO ANLODIPINO, 5 MG COM CT BL AL PLAS AMB X 30, N_Q
63920, PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 14, SDZ,511515403110112, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 14, SDZ
77952, AH ZUL, NOT FOUND, CPR REVEST 50 MG x 8, LG6,538806308116416, AH ZUL, NOT FOUND, 50 MG COM REV CT BL AL PLAS OPC X 8, LG6
78673, GLIMEPIRIDA, GLIMEPIRIDA, CPR 1 MG x 30, E3S,507740603115111, GLIMEPIRIDA, GLIMEPIRIDA, 1 MG COM CT BL AL PLAS OPC X 30, E3S
53448, ATENEO, NOT FOUND, CPR 50 MG x 28, N_Q,519000802118412, ATENEO, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 28, N_Q
57258, ENAPROTEC, NOT FOUND, CPR 10 MG x 30, SDZ,511503604116416, ENAPROTEC, NOT FOUND, 10 MG COM CT BL AL/AL X 30, SDZ
76113, CIPROFIBRATO, CIPROFIBRATO, CPR 100 MG x 30, BF8,504612701111110, CIPROFIBRATO, CIPROFIBRATO, 100 MG COM CT BL AL PLAS INC X 30, BF8
76934, BENZIFLEX, NOT FOUND, CPR REVEST 10 MG x 15, E3S,507742902111414, BENZIFLEX, NOT FOUND, 10 MG COM REV CT BL AL PLAS OPC X 15, E3S
2446, CLOMID, NOT FOUND, CPR 50 MG x 10, MD7,525003101115414, CLOMID, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 10, MD7
72688, AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 3, MD7,525069502118115, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 3, MD7
59015, NORFLOXACINO, NORFLOXACINO, CPR REVEST 400 MG x 14, SDZ,511515701111117, NORFLOXACINO, NORFLOXACINO, 400 MG COM REV CT BL AL AL X 14, SDZ
78728, CLO HIDROXIZINA, NOT FOUND, CPR 25 MG x 30, LG6,538803602110115, CLORIDRATO HIDROXIZINA, NOT FOUND, 25 MG COM CT FR PLAS OPC X 30, LG6
68303, PREDNISONA, PREDNISONA, CPR 20 MG x 10, LG6,538809401117111, PREDNISONA, PREDNISONA, 20 MG COM CT BL AL PLAS LEIT X 10, LG6
57770, NEODAZOL, NOT FOUND, CPR 500 MG x 4, N_Q,519010904118419, NEODAZOL, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 4, N_Q
72438, NAPROXENO SOD, NAPROXENO SODICO, CPR REVEST 550 MG x 10, N_Q,519023803110112, NAPROXENO SODICO, NAPROXENO SODICO, 550 MG COM REV CT BL AL PLAS INC X 10, N_Q
57324, AZITROGRAN, NOT FOUND, CPR 500 MG x 3, LG6,538811401110410, AZITROGRAN, NOT FOUND, 500 MG COM REV CT BL AL PLAS LEITOSO X 3, LG6
68966, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 7, E3S,507733502112112, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 7, E3S
80433, GLIMEPIRIDA, GLIMEPIRIDA, CPR 2 MG x 30, GM2,526131104115110, GLIMEPIRIDA, GLIMEPIRIDA, 2 MG COM CT BL AL PLAS OPC X 30, GM2
68150, ALBENDAZOL, ALBENDAZOL, CPR MASC 200 MG x 2, E3S,507700803113111, ALBENDAZOL, ALBENDAZOL, 200 MG COM MAST CT BL AL PLAS LEIT X 2, E3S
78244, VIDENFIL, NOT FOUND, CPR 50 MG x 4, SDZ,511517005112413, VIDENFIL, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 4, SDZ
70870, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, LG6,538815902114111, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 10 MG COM CT BL AL/AL X 30, LG6
52052, STILNOX, NOT FOUND, CPR 10 MG x 10, S_A,530504702118210, STILNOX, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 10, S_A
64692, LIFE VIT, NOT FOUND, CPR x 30, LR3,524308201115410, LIFE VIT, NOT FOUND, COM REV CT FR PLAS OPC X 30, LR3
68129, SINVASTACOR, NOT FOUND, CPR REVEST 40 MG x 30, SDZ,511508505116419, SINVASTACOR, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 30, SDZ
51847, NORIDERM, NOT FOUND, CPR 200 MG x 10, E3S,507719201119414, NORIDERM, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 10, E3S
66707, DEXAMETASONA, DEXAMETASONA, CPR 4 MG x 10, GM2,526116102115111, DEXAMETASONA, DEXAMETASONA, 4 MG COM CT BL AL PLAS BCO LEIT X 10, GM2
74626, CAPTOTEC, NOT FOUND, CPR 50 MG x 30, SDZ,511501307114412, CAPTOTEC, NOT FOUND, 50 MG COM CT BL AL PLAS INC X 30, SDZ
68502, PARACETAMOL, PARACETAMOL, CPR 750 MG x 200, FAS,508708403112119, PARACETAMOL, PARACETAMOL, 750 MG COM CT BL AL PLAS X 200, FAS
80656, COSARTAN, NOT FOUND, CPR REVEST 160 MG x 30, GM2,526135002112417, COSARTAN, NOT FOUND, 160 MG COM REV CT BL AL AL X 30, GM2
72686, AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 2, MD7,525069501111117, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 2, MD7
57331, CAPTOTEC, NOT FOUND, CPR 12.5 MG x 30, SDZ,511501301116413, CAPTOTEC, NOT FOUND, 12.5 MG COM CT BL AL PLAS INC X 30, SDZ
61923, PANTOPRAZOL, PANTOPRAZOL, CPR GASTROR 40 MG x 7, MD7,525009606111113, PANTOPRAZOL, PANTOPRAZOL, 40 MG COM REV CT BL AL PLAS INC X 7, MD7
83737, CIT SILDENAFILA, CITRATO SILDENAFILA, CPR REVEST 50 MG x 2, MD7,525074112111112, CITRATO SILDENAFILA, CITRATO SILDENAFILA, 50 MG COM REV CT BL AL PLAS INC X 2, MD7
66586, AROTIN, NOT FOUND, CPR REVEST 20 MG x 30, SDZ,511510401111412, AROTIN, NOT FOUND, 20 MG COM REV CT BL AL PLAS INC X 30, SDZ
72687, AZITROMICINA, AZITROMICINA, CPR REVEST 500 MG x 5, MD7,525069503114113, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 5, MD7
75522, ACID MEFENAMICO, ACIDO MEFENAMICO, CPR 500 MG x 24, E3S,507738901112117, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS OPC X 24, E3S
63003, DICLAC, NOT FOUND, CPR REVEST 50 MG x 20, SDZ,511503101114413, DICLAC, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 20, SDZ
69615, HIDROCLOROTIAZI, NOT FOUND, CPR 50 MG x 20, E3S,507734602110111, HIDROCLOROTIAZIDA, HIDROCLOROTIAZIDA, 50 MG COM CT BL AL PLAS LEIT X 20, E3S
77051, CIZAX, NOT FOUND, CPR 5 MG x 4, MQF,512405506118411, CIZAX, NOT FOUND, 5 MG COM CT BL AL PLAS INC X 4, MQF
69747, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 3, E3S,507733503119110, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS LEIT X 3, E3S
64652, FINASTERIDA, FINASTERIDA, CPR REVEST 1 MG x 30, MD7,525065405118111, FINASTERIDA, FINASTERIDA, 1 MG COM REV CT BL X 30, MD7
69737, CLO SIBUTRAMINA, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CAPS 15 MG x 30, MD7,525067804117115, CLORIDRATO SIBUTRAMINA MONOIDRATADO, CLORIDRATO SIBUTRAMINA MONOIDRATADO, 15 MG CAP GEL DURA CT BL AL PVC/PVC INC X 30, MD7
78310, SINVASTATINA, SINVASTATINA, CPR REVEST 40 MG x 30, GM2,526133605111114, SINVASTATINA, SINVASTATINA, 40 MG COM REV CT BL AL PLAS OPC X 30, GM2
73628, ALPRAZOLAM, ALPRAZOLAM, CPR 1 MG x 30, MD7,525070210117112, ALPRAZOLAM, ALPRAZOLAM, 1 MG COM CT BL AL PLAS INC X 30, MD7
78714, MILGAMMA, NOT FOUND, DRAG 150 MG x 10, MQF,512406701119312, MILGAMMA, NOT FOUND, 150 MG DRG CT BL AL PLAS INC X 10, MQF
65157, DIMETICONA, DIMETICONA, CAPS 125 MG x 10, E3S,507710502116119, DIMETICONA, DIMETICONA, 125 MG CAP GEL MOLE CT BL AL PLAS INC X 10, E3S
75455, ACID MEFENAMICO, ACIDO MEFENAMICO, CPR 500 MG x 24, GM2,526128701116117, ACIDO MEFENAMICO, ACIDO MEFENAMICO, 500 MG COM CT BL AL PLAS OPC X 24, GM2
78727, CLO HIDROXIZINA, NOT FOUND, CPR 25 MG x 30, GM2,526132002111114, CLORIDRATO HIDROXIZINA, NOT FOUND, 25 MG COM CT FR PLAS OPC X 30, GM2
63921, PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 28, SDZ,511507505112415, PANTOPAZ, NOT FOUND, 40 MG COM REV CT BL AL/AL X 28, SDZ
66626, METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, LR3,524308501119111, METILDOPA, METILDOPA, 250 MG COM CT FR PLAS OPC X 30, LR3
66090, AMOXICILINA, AMOXICILINA, CPR REVEST 875 MG x 14, GM2,526100406111118, AMOXICILINA, AMOXICILINA, 875 MG COM REVES CT BL AL AL X 14, GM2
63921, PANTOPAZ, NOT FOUND, CPR REVEST 40 MG x 28, SDZ,511515404117110, PANTOPRAZOL SODICO, PANTOPRAZOL SODICO SESQUI-HIDRATADO, 40 MG COM REV CT BL AL/AL X 28, SDZ
66691, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, CPR 30 MG x 50, GM2,526117101112115, CLOR DILTIAZEM, CLORIDRATO DILTIAZEM, 30 MG FR C/50COMP, GM2
68567, DEFLAZACORTE, DEFLAZACORTE, CPR 30 MG x 10, GM2,526121201118113, DEFLAZACORTE, DEFLAZACORTE, 30 MG COM CT BL AL PLAS LEIT X 10, GM2
65206, VALTRIAN, NOT FOUND, CPR REVEST 25 MG x 30, MD7,525065802117413, VALTRIAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, MD7
76890, PRAVAST SODIC, NOT FOUND, CPR 20 MG x 30, MD7,525071202118111, PRAVASTATINA SODICA, PRAVASTATINA SODICA, 20 MG COM CT BL AL AL X 30, MD7
75666, SODEN, NOT FOUND, CPR REVEST 100 MG x 10, GM2,526129501110415, SODEN, NOT FOUND, 100 MG COM REV DESINT LENTA CT BL AL PLAS INC X 10, GM2
64430, MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, BF8,504601703116114, MALEATO ENALAPRIL, MALEATO ENALAPRIL, 5 MG COM CT STR AL X 30, BF8
76437, VITAMINA B1, NOT FOUND, CPR REVEST 300 MG x 30, N_Q,519030601110416, VITAMINA B1 NEO QUIMICA, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 30, N_Q
81743, FUM QUETIAPINA, NOT FOUND, CPR REVEST 200 MG x 30, LG6,538812303112115, FUMARATO QUETIAPINA, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, LG6
69729, ALPRAZOLAM, ALPRAZOLAM, CPR 2 MG x 30, E3S,507727808116110, ALPRAZOLAM, ALPRAZOLAM, 2 MG COM CT BL AL PLAS INC X 30, E3S
64014, FESTONE, NOT FOUND, CPR REVEST 20 MG x 30, SDZ,511513102113418, FESTONE, NOT FOUND, 20 MG COM REV CT BL AL PLAS BCO OPC X 30, SDZ
73897, LOSARTAN POTAS, NOT FOUND, CPR REVEST 50 MG x 30, GM2,526127901111110, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 30, GM2
61668, DILAFLUX RETARD, NOT FOUND, CPR 20 MG x 400, MD7,525005107110410, DILAFLUX, NOT FOUND, 20 MG COMP RETARD C/ 400, MD7
71617, LEVOFLOXACINO, LEVOFLOXACINO, CPR REVEST 500 MG x 10, SDZ,511511902112118, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 10, SDZ
100282, OMEPRAZOL, OMEPRAZOL, CAPS 20 MG x 14, SDZ,511515901110114, OMEPRAZOL, OMEPRAZOL, 20 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 14, SDZ
57002, AMOXICILINA, AMOXICILINA, CAPS 500 MG x 21, E3S,507701811111112, AMOXICILINA, AMOXICILINA, 500 MG COM CT BL AL PLAS LEIT X 21, E3S
78659, DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 60, E3S,507743602111115, DOMPERIDONA, DOMPERIDONA, 10 MG COM CT BL AL PLAS OPC X 60, E3S
78676, SINVASTATINA, SINVASTATINA, CPR REVEST 80 MG x 10, E3S,507722507118113, SINVASTATINA, SINVASTATINA, 80 MG COM REV CT BL AL PLAS OPC X 10, E3S
80207, VOLUNTA, NOT FOUND, CPR REVEST 80 MG x 30, MD7,525073821117416, VOLUNTA, NOT FOUND, 80 MG COM REV CT BL AL/AL X 30, MD7
55776, PLAVIX, NOT FOUND, CPR REVEST 75 MG x 14, S_A,530504002116215, PLAVIX, NOT FOUND, 75 MG COM REV CT BL AL / AL X 14, S_A
75883, CLOR NORTRIPTIL, CLORIDRATO NORTRIPTILINA, CAPS 50 MG x 20, MD7,525070802111111, CLORIDRATO NORTRIPTILINA, CLORIDRATO NORTRIPTILINA, 50 MG CAP GEL DURA CT BL AL PLAS INC X 20, MD7
67807, CLO ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, CPR 75 MG x 20, E3S,507727902112115, CLOR ANFEPRAMONA, CLORIDRATO ANFEPRAMONA, 75 MG COM LIB LENTA CT BL AL PLAS LEIT X 20, E3S
