73676; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; LG6;5,08026E+14; CLORIDRATO TICLOPIDINA; CLORIDRATO TICLOPIDINA; 250 MG COM REV CT BL AL PLAS INCX 30; EUF
56377; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; MD7;5,11501E+14; CAPTOPRIL; CAPTOPRIL; 25MG COM CT 3 BL AL PLAS INC X 10; SDZ
63894; CEFADROXILA; CEFADROXILA; PO P/SUSP 250 MG 100 ML x 1 (/5ML); MD7;5,08002E+14; CEFADROXIL; NOT FOUND; SUSP 250MG/5ML CT C/ FR 100ML; EUF
63003; DICLAC; NOT FOUND; CPR REVEST 50 MG x 20; SDZ;5,11503E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; SDZ
72460; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 28; SDZ;5,08019E+14; CITALOPRAM; CITALOPRAM; 20 MG COM REV CT BL AL PLAST INC X 28; EUF
77981; SINVASTATINA; SINVASTATINA; CPR REVEST 80 MG x 10; SDZ;5,25012E+14; SINVASTATINA; SINVASTATINA; 80 MG COM REVEST CT 1 BL AL PLAS INC X 10; MD7
63660; OMEPRAZOL; OMEPRAZOL; CAPS GELATIN 20 MG x 7; E3S;5,25304E+14; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA C/ MCG CT FR PLAS OPC X 7; NO_ACR
68301; PIROXICAM; PIROXICAM; GEL. 5 MG 30 G x 1 (/G); LG6;5,0772E+14; PIROXICAM; PIROXICAM; 5 MG/G GEL CT BG AL X 30 G; E3S
63173; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; SDZ;5,19024E+14; CAPTOPRIL; CAPTOPRIL; 25 MG COM CX BL AL PLAS INC X 30; N_Q
58823; BROMOPRIDA; BROMOPRIDA; SOLN ORAL 1 MG 120 ML x 1 (/ML); MD7;5,38806E+14; BROMOPRIDA; BROMOPRIDA; 1 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED; LG6
72910; CLOTRIMAZOL; CLOTRIMAZOL; CREME DERMAT 10 MG 20 G x 1 (/G); LG6;5,31607E+14; CLOTRIMAZOL; CLOTRIMAZOL; 10 MG/G CREM DERM CT BG AL X 20 G; NO_ACR
58819; BROMAZEPAM; BROMAZEPAM; CPR 6 MG x 20; MD7;5,38504E+14; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; HY_
69979; TOPIRAMATO; TOPIRAMATO; CPR REVEST 25 MG x 60; LG6;5,21126E+14; TOPIRAMATO; TOPIRAMATO; 25 MG COM REV CT BL AL/AL X 60; NO_ACR
77304; GLIMEPIRIDA; GLIMEPIRIDA; CPR 4 MG x 30; E3S;5,11514E+14; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; SDZ
66085; ALBENDAZOL; ALBENDAZOL; CPR MASC 400 MG x 1; GM2;5,19E+14; ALBENDAZOL; ALBENDAZOL; 400MG COM CT BL AL PLAS INC X 1; N_Q
77955; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; LG6;5,11517E+14; CITRATO SILDENAFILA; CITRATO SILDENAFILA; 50 MG COM CT BL AL PLAS INC X 2; SDZ
76915; RISEDRONATO SOD; RISEDRONATO SODICO; CPR REVEST 35 MG x 4; E3S;5,26133E+14; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; GM2
64990; ACICLOVIR; ACICLOVIR; CPR 400 MG x 30; SDZ;5,115E+14; ACICLOVIR; ACICLOVIR; 400 MG COM CT BL AL PLAS BCO OPC X 30; SDZ
56612; METRONIDAZOL; METRONIDAZOL; GEL. VAG. 100 MG 50 G x 1; E3S;5,10407E+14; METRONIDAZOL; METRONIDAZOL; 100 MG/ G GEL VAG CT BG AL X 50 G + 10 APLIC; GOB
61965; CETOPROFENO GEL; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); E3S;5,25003E+14; CETOPROFENO; CETOPROFENO; 25 MG/G GEL CT BG AL X 30 G; MD7
63893; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; MD7;5,25301E+14; CEFADROXIL; NOT FOUND; 500 MG CAP GEL DURA CT 2 STR AL X 4; NO_ACR
65368; LIPOCLIN; NOT FOUND; CPR 20 MG x 30; N_Q;5,1902E+14; LIPOCLIN; NOT FOUND; 20 MG COM CT FR PLAS OPC X 30; N_Q
72790; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; N_Q;5,17608E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS INC X 14; GLO
59047; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; MD7;5,25401E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5MG COM CT BL AL PLAS OPC X 30; NO_ACR
75464; MELOXICAM; MELOXICAM; CPR 15 MG x 10; N_Q;5,31606E+14; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS BCO LEIT X 10; NO_ACR
104579; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; N_Q;5,20732E+14; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT BL AL PLAS INC X 30; TTB
73552; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); S_A;5,0871E+14; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; FAS
60458; CEFALEXINA; CEFALEXINA; CPR REVEST 500 MG x 10; E3S;5,11511E+14; CEFALEXINA; CEFALEXINA; 500 MG COM REV CT BL AL PLAS INC X 10; SDZ
76497; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; GM2;5,28526E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS INC X 14; PZ8
63846; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); E3S;5,26119E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1MG/G POM DERM CT BG AL X 30G; GM2
59912; NIMESULIDA; NIMESULIDA; CPR 100 MG x 12; E3S;5,06904E+14; NIMESULIDA; NIMESULIDA; 100 MG COM CT BL AL PLAS BCO OPC X 12; NO_ACR
59012; MELOTEC; NOT FOUND; CPR 15 MG x 10; E3S;5,31625E+14; MELOTEC; NOT FOUND; 15 MG COM CT FR PLAS OPC X 10; NO_ACR
50595; DICLONACO; NOT FOUND; CPR REVEST 50 MG x 20; N_Q;5,06501E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COMP REV CT 2 BL AL PLAS INC X 10; NO_ACR
68967; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 10; E3S;5,08009E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
62921; LISINOPRIL; LISINOPRIL; CPR 10 MG x 30; E3S;5,29905E+14; LISINOPRIL; LISINOPRIL; 10 MG COM CT BL AL PLAS INC X 30; RBY
78705; GLIMEPIRIDA; GLIMEPIRIDA; CPR 2 MG x 30; LG6;5,08019E+14; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; EUF
154117; OMEPRAZOL; OMEPRAZOL; CAPS 20 MG x 28; N_Q;5,07719E+14; OMEPRAZOL; OMEPRAZOL; 20 MG 4 BLT C/ 7 CAPS; E3S
76105; BROMETO IPRATRO; BROMETO IPRATROPIO; SOLN INALT 0.25 MG 20 ML x 1 (/ML); GM2;5,2613E+14; BROMETO IPRATROPIO; BROMETO IPRATROPIO; 0.25 MG/ML SOL P/ INAL CT FR VD AMB GOT X 20 ML; GM2
66696; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (/ML); E3S;5,25306E+14; CLORIDRATO NAFAZOLINA; CLORIDRATO NAFAZOLINA; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 30 ML; NO_ACR
64497; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; N_Q;5,01501E+14; CETOCONAZOL; CETOCONAZOL; COMP. 200MG CX 1 BL X 10; ATX
31153; DIPROSALIC; NOT FOUND; POM. 30 G x 1; MQF;5,12402E+14; DIPROSALIC; NOT FOUND; SOL CT FR C/ 30 ML; MQF
58462; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 15 G x 1 (/G); MD7;5,02407E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM CT BG AL X 15 G; NO_ACR
66692; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CPR REVEST 20 MG x 30; GM2;5,31607E+14; CLORIDRATO FLUOXETINA; CLORIDRATO FLUOXETINA; 20 MG COM REV CT BL AL PLAS LEIT X 30; NO_ACR
76497; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; GM2;5,06903E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
73818; DIAZEPAM; DIAZEPAM; CPR 10 MG x 20; LG6;5,19031E+14; DIAZEPAM; DIAZEPAM; 10 MG COM CT BL AL PLAS INC X 20; N_Q
84734; IBUFLEX; NOT FOUND; GOTAS 100 MG 30 ML x 1 (/ML); LG6;5,38807E+14; IBUFLEX; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC X 30 ML + CGT; LG6
63021; SINVASTATINA; SINVASTATINA; CPR 5 MG x 30; MD7;5,04602E+14; SINVASTATINA; SINVASTATINA; 5 MG COM REV CT BL AL PLAS INC X 30 ; BF8
63846; VALER BETAMETA; VALERATO BETAMETASONA; POM. 1 MG 30 G x 1 (/G); E3S;5,08013E+14; VALERATO BETAMETASONA; VALERATO BETAMETASONA; 1 MG/G CREM DERM CT BG AL X 30 G; EUF
68293; NITRA MICONAZOL; NITRATO MICONAZOL; PO 20 MG 30 G x 1 (/G); LG6;5,20715E+14; NITRATO MICONAZOL; NITRATO MICONAZOL; 20 MG/ML LOC CT FR PLAS OPC X 30 ML; TTB
69536; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; LG6;5,28528E+14; HIDROCLOROTIAZIDA; HIDROCLOROTIAZIDA; 25 MG COM CT BL AL PLAS INC X 30; PZ8
71246; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; GM2;5,386E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; UFB
68186; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; LG6;5,21104E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 1 G COM REV CT BL AL PLAS INC X 30; NO_ACR
64431; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; BF8;5,31608E+14; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT BL AL PLAS LEIT X 30; NO_ACR
85428; DICLOFENACO SOD; DICLOFENACO SODICO; CPR REVEST 50 MG x 20; N_Q;5,38504E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT BL AL PLAS INC X 20; HY_
69900; AMOXICILINA; AMOXICILINA; PO P/SUSP 250 MG 150 ML x 1 (/5ML); LR3;5,08E+14; AMOXICILINA; AMOXICILINA; 250 MG/5ML PO P/ SUS OR CT FR VD AMB X 150 ML + CP MED; EUF
64113; RAMIPRIL; RAMIPRIL; CPR 5 MG x 30; SDZ;5,07736E+14; RAMIPRIL HIDROCLOROTIAZIDA; NOT FOUND; 5 MG + 25 MG COM CT BL AL/AL X 30; E3S
50595; DICLONACO; NOT FOUND; CPR REVEST 50 MG x 20; N_Q;5,26505E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COM REV CT 1 BL AL PLAS INC X 20; NVR
57488; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; E3S;5,25301E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS OPC X 14; NO_ACR
65623; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 10 MG x 30; N_Q;5,11504E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30; SDZ
68190; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; LG6;5,36E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT 3 BL AL PLAS INC X 10; NO_ACR
56381; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; MD7;5,0773E+14; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 60 (EMB HOSP); E3S
75626; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; BF8;5,25302E+14; CLORIDRATO SERTRALINA; CLORIDRATO SERTRALINA; 50 MG COM REV CT 3 BL AL PLAS OPC X 10; NO_ACR
79606; ATORVASTATINA; ATORVASTATINA; CPR REVEST 80 MG x 30; MD7;5,25074E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 80 MG COM REV CT BL AL/AL X 30; MD7
50298; PENTOX; NOT FOUND; CPR 400 MG x 20; FAS;5,20728E+14; PENTOXIN; NOT FOUND; 400 MG DRG CT BL AL PLAS INC X 20; TTB
71246; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; GM2;5,046E+14; AMOXICILINA; AMOXICILINA; 500 MG CAP GEL DURA CT BL AL PLAS INC X 21; BF8
77723; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; LG6;5,25301E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT BL AL PLAS OPC X 14; NO_ACR
68955; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; N_Q;5,20724E+14; CAPTOPRIL GEN; NOT FOUND; 50 MG COM CT BL AL PLAST INC X 30; TTB
63003; DICLAC; NOT FOUND; CPR REVEST 50 MG x 20; SDZ;5,29904E+14; DICLOFENACO POTASSICO; DICLOFENACO POTASSICO; 50 MG DRG CT STR AL AL X 20; RBY
5353; HIDANTAL; NOT FOUND; AMP. 50 MG 5 ML x 50 (/ML); S_A;5,02806E+14; HIDANTAL; NOT FOUND; 50 MG/ML SOL INJ CT 50 AMP VD INC X 5 ML; NO_ACR
58167; AMOXICILINA; AMOXICILINA; SUSP ORAL 250 MG 150 ML x 1 (/5ML); GM2;5,07702E+14; AMOXICILINA; AMOXICILINA; SUSP 250MG/5ML FR X 150ML; E3S
61533; PREDINIS; NOT FOUND; CPR 5 MG x 20; LG6;5,07721E+14; PREDINISONA; NOT FOUND; 5MG 2 BLT C/ 10 COMP; E3S
63616; NORFLOXACINO; NORFLOXACINO; CPR REVEST 400 MG x 14; BF8;5,20727E+14; NORFLOXACINO; NORFLOXACINO; 400 MG COM REV CT BL AL PLAS INC X 14; TTB
78694; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; LG6;5,21125E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; NO_ACR
58377; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MD7;5,25308E+14; CLORIDRATO RANITIDINA; CLORIDRATO RANITIDINA; 150 MG COM REV CT BL AL/AL X 20 ; NO_ACR
78598; IBUPROFENO; IBUPROFENO; GOTAS 50 MG 30 ML x 1 (/ML); MD7;5,25106E+14; IBUPROFENO; IBUPROFENO; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; MDQ
58000; FLOX; NOT FOUND; CPR 400 MG x 14; SDZ;5,25102E+14; FLOXIMED; NOT FOUND; 400 MG COM REV CT BL AL PLAS INC X 14; MDQ
68051; MESI DOXAZOSINA; MESILATO DOXAZOSINA; CPR 2 MG x 30; MD7;5,31615E+14; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS LEIT X 30; NO_ACR
62747; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 500 MG x 7; BF8;5,07734E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS LEIT X 7; E3S
59058; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR 500 MG x 10; SDZ;5,001E+14; CLORIDRATO CIPROFLOXACINO; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; 500 MG COM REV CT 01 BL AL PLAS X 10; AOB
44027; CETIVIT; NOT FOUND; CPR x 20; N_Q;5,16702E+14; CETIVIT; NOT FOUND; GTS (FR C/20ML); NO_ACR
9148; RINISONE; NOT FOUND; NEBUL NASAL 15 ML x 1; MD7;5,25011E+14; RINISONE; NOT FOUND; SOL NASAL FR C/15 ML; MD7
76555; MALEA MIDAZOLAM; MALEATO MIDAZOLAM; CPR REVEST 15 MG x 30; MD7;5,08019E+14; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15MG COM REVES CT BL AL PLAS INC X 30; EUF
58140; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; MD7;5,06503E+14; PARACETAMOL; PARACETAMOL; 750 MG COM CT BL AL PLAS INC X 20; NO_ACR
59475; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); MD7;5,08303E+14; DIPIRONA SODICA; NOT FOUND; 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML; FM_
68260; LISINOPRIL; LISINOPRIL; CPR 20 MG x 30; LG6;5,25007E+14; LISINOPRIL; LISINOPRIL; 20 MG COM CT 3 BL AL PLAST INC X 10; MD7
66539; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; E3S;5,3161E+14; DIPROPIONATO BETAMETASONA SULFA GENTAMICINA; NOT FOUND; POM BIS C/ 30G; NO_ACR
83349; VALSACOR; NOT FOUND; CPR REV . 160 MG x 30; LG6;5,38807E+14; VALSACOR; NOT FOUND; 160 MG COM REV CT BL AL/AL X 30; LG6
56377; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; MD7;5,08019E+14; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EUF
63003; DICLAC; NOT FOUND; CPR REVEST 50 MG x 20; SDZ;5,06501E+14; DICLOFENACO SODICO; DICLOFENACO SODICO; 50 MG COMP REV CT 2 BL AL PLAS INC X 10; NO_ACR
57027; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; E3S;5,00104E+14; CAPTOPRIL; CAPTOPRIL; 12.5MG COM CT BL AL PLAS INC X 30; AOB
73626; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; MD7;5,08019E+14; ALPRAZOLAM; ALPRAZOLAM; 1 MG COMP CT BL AL PLAST LEIT X 20; EUF
72558; FLUCONAZOL; FLUCONAZOL; CAPS 150 MG x 2; N_Q;5,19026E+14; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; N_Q
68190; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; LG6;5,20728E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM CT BL AL PLAS INC X 30; TTB
66748; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 20 MG x 30; GM2;5,28527E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30; PZ8
75882; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 30; MD7;5,0802E+14; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 30; EUF
71535; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 200 MG 5 G x 10; E3S;5,07726E+14; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); E3S
78954; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; N_Q;5,25071E+14; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL AL X 30; MD7
63984; BROMAZEPAM; BROMAZEPAM; CPR 3 MG x 20; E3S;5,11514E+14; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; SDZ
57136; MALEA ENALAPRIL; MALEATO ENALAPRIL; CPR 5 MG x 30; E3S;5,20714E+14; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5MG COM CT 3 ENV AL X 10; TTB
69781; LEVOFLOXACINO; LEVOFLOXACINO; CPR 500 MG x 3; LG6;5,07734E+14; LEVOFLOXACINO; LEVOFLOXACINO; 500 MG COM REV CT BL AL PLAS LEIT X 3; E3S
66116; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 30; E3S;5,305E+14; AAS; NOT FOUND; 100 MG COM REV CT BL AL/AL X 30; S_A
77587; BIMATOPROSTA; BIMATOPROSTA; SOLN OFTAL 0.30 MG 5 ML x 1; E3S;5,26131E+14; BIMATOPROSTA; BIMATOPROSTA; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
59103; OMEPRAZOL; OMEPRAZOL; CAPS 40 MG x 7; SDZ;5,11516E+14; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA MICROG CT BL AL PLAS INC X 7; SDZ
9490; SETUX; NOT FOUND; SUSP 100 ML x 1; S_A;5,02812E+14; SETUX; NOT FOUND; EXPECTORANTE SUS OR CT FR VD AMB X 100 ML; NO_ACR
75883; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 20; MD7;5,25071E+14; CLORIDRATO NORTRIPTILINA; CLORIDRATO NORTRIPTILINA; 50 MG CAP GEL DURA CT BL AL PLAS INC X 20; MD7
68178; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; LG6;5,33025E+14; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; U_Q
78995; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; GM2;5,38806E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 20 MG COM REV CT BL AL/AL X 30; LG6
63190; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); N_Q;5,25106E+14; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; MDQ
68732; FUROAT MOMETASO; FUROATO MOMETASONA; CREME 1 MG 20 G x 1 (/G); E3S;5,26125E+14; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G; GM2
62744; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 250 MG x 7; BF8;5,25302E+14; LEVOFLOXACINO; LEVOFLOXACINO; 250MG COM REV CT BL AL PLAS INC X 7; NO_ACR
72790; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO MONOIDRATADO; CPR REVEST 500 MG x 14; N_Q;5,38902E+14; CIPRO; NOT FOUND; 500 MG COM REV CT BL AL PLAS (PP) INC X 14   ; NO_ACR
69089; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 20 MG 100 ML x 1 (/ML); LG6;5,26117E+14; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED; GM2
63190; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); N_Q;5,16708E+14; PARACETAMOL; PARACETAMOL; 200 MG/ML SOL OR CT FR PLAS OPC GOT X 15 ML; NO_ACR
61240; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 10 MG x 30; SDZ;5,04109E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT 3 BL AL PLAS INC X 10; BS2
71600; ATENOLOL; ATENOLOL; CPR 25 MG x 30; LG6;5,38808E+14; ATENOLOL; ATENOLOL; 25 MG COM CT BL AL PLAS OPC X 30; LG6
84486; BONTOSS; NOT FOUND; XAR INF 0.80 MG 120 ML x 1 (/ML); N_Q;5,38504E+14; BONTOSS; NOT FOUND; 0.8 MG/ML XPE CT FR PLAS AMB X 120 ML; HY_
64670; TORAGESIC; NOT FOUND; AMP. 30 MG 1 ML x 3 (/ML); E3S;5,26112E+14; TORAGESIC; NOT FOUND; 30MG/ML 3 AMP X 1 ML INJ; GM2
78274; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; E3S;5,25074E+14; ATORVASTATINA CALCICA; ATORVASTATINA CALCICA; 40 MG COM REV CT BL AL/AL X 30; MD7
59795; BES ANLODIPINO; BESILATO ANLODIPINO; CPR 5 MG x 30; E3S;5,25001E+14; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5.0 MG COM CT 3 BL AL PLAS OPC X 10; MD7
68175; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; LG6;5,26117E+14; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; 60MG FR C/50COMP; GM2
62744; LEVOFLOXACINO; LEVOFLOXACINO; CPR REVEST 250 MG x 7; BF8;5,11512E+14; LEVOFLOXACINO; LEVOFLOXACINO; 250 MG COM REV CT BL AL PLAS INC X 7; SDZ
60519; SINVASTATINA; SINVASTATINA; CPR REVEST 10 MG x 10; SDZ;5,11509E+14; SINVASTATINA; SINVASTATINA; 10 MG COM REV CT BL AL PLAS INC X 10; SDZ
69769; CLOR ONDANSETRO; CLORIDRATO ONDANSETRONA; CPR REVEST 8 MG x 10; E3S;5,359E+14; CLORIDRATO ONDANSETRONA; CLORIDRATO ONDANSETRONA; 8 MG COM REV CT 1 BL AL PLAS INC X 10; NO_ACR
63173; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; SDZ;5,08019E+14; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; EUF
64440; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; E3S;5,069E+14; ALPRAZOLAM; ALPRAZOLAM; 1.0 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
64447; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; E3S;5,25304E+14; CLORIDRATO METFORMINA; CLORIDRATO METFORMINA; 500 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
71603; ATENOLOL; ATENOLOL; CPR 50 MG x 60; SDZ;5,11501E+14; ATENOLOL; ATENOLOL; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
58907; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; E3S;5,2507E+14; AZITROMICINA; AZITROMICINA; 500 MG COM REV CT BL AL PLAS INC X 3; MD7
66302; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS GEL 50 MG x 10; MD7;5,07708E+14; CLOR TRAMADOL; CLORIDRATO TRAMADOL; 50MG 1 BLT C/ 10 CAPS; E3S
