529900101113114, ACECLOFENACO, ACECLOFENACO, ACECLOFENACO, 100 MG COMP C/ 1 STR X 12, RBY
529900702117114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 250 MG COM REV CT STR AL/AL X 10, RBY
529900705132114, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML + CP MED, RBY
529900703131110, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 50 ML , RBY
529900706139112, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 50 MG/ML PO SUS OR CT FR PLAS TRANS X 70 ML + CP MED, RBY
529900704111113, AXETIL CEFUROXIMA, AXETIL CEFUROXIMA, NOT FOUND, 500 MG COM REV CT STR AL/AL X 10, RBY
529900803134111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 40 MG/ML 1FR OPC 15 ML SUSPENSAO, RBY
529900801115111, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 2, RBY
529900802111118, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COMP C/ 1 BL X 3, RBY
529900508116116, AMOXICILINA + CLAVULANATO DE POTÁSSIO, AMOXICILINA CLAVULANATO POTASSIO, NOT FOUND, 875 MG + 125 MG COM REV CT STR AL X 20, RBY
529900301112111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 25 MG COM REV CT BL AL PLAS INC X 20, RBY
529900302119111, AMITRIPTILINA, AMITRIPTILINA, AMITRIPTILINA, 75 MG COMP C/ 2 BL X 10, RBY
529912701110411, ALTIVA, ALTIVA, NOT FOUND, 120 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
529912702117411, ALTIVA, ALTIVA, NOT FOUND, 180 MG COM REV CT 1 BL AL PLAS OPC X 10, RBY
