77104, MICOF.MOFETILA MG , MICOF MOFETILA, MICOFENOLATO MOFETILA, CPR REVEST 500 MG x 500, A1F
61106, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, MD7

100202, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 15, MD7

63545, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 250 MG x 30, MD7

76727, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME DERMAT 10 MG 30 G x 1 (/G, MD7

76557, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 7.50 MG x 30, MD7

59081, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, MD7

72295, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 500 MG x 50, MD7

77596, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 20, MD7

61105, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 0.40 MG 120 ML x 1 (, MD7

45374, MUCIBRON , MUCIBRON, NOT FOUND, XAR. INF 15 MG 100 ML x 1 (/5ML), MD7

77586, MINIMA , MINIMA, NOT FOUND, CPR REVEST x 84, MD7

59080, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, MD7

77598, MORATUS , MORATUS, NOT FOUND, CPR REVEST 20 MG x 30, MD7

70484, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, POM.DERMAT 20 MG 15 G x 1 (/G), MD7

76555, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, MD7

63900, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), MD7

59079, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, MD7

66446, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP ORAL 20 MG 30 ML x 1 (/ML), MD7

64413, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SOLN ORAL 120 ML x 1, MD7

62277, MINIMA , MINIMA, NOT FOUND, CPR REVEST x 28, MD7

63899, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), MD7

59082, METILDOPA MG , METILDOPA, METILDOPA, CPR REVEST 500 MG x 30, MD7

58871, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, MD7

68051, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, MD7

45373, MUCIBRON , MUCIBRON, NOT FOUND, XAR. AD 30 MG 100 ML x 1 (/5ML), MD7

76556, MALEA.MIDAZOLAM.MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 20, MD7

50766, MENTABON , MENTABON, NOT FOUND, CPR 100 MG x 6, MDQ

76150, MEDPRAZOL , MEDPRAZOL, NOT FOUND, CAPS 20 MG x 60, MDQ

62979, MEDTRIM , MEDTRIM, NOT FOUND, SUSP 400 MG 100 ML x 1 (/80), MDQ

62982, MEDPRAZOL , MEDPRAZOL, NOT FOUND, CAPS 20 MG x 14, MDQ

85622, MEDCALL , MEDCALL, NOT FOUND, CPR x 60, MDQ

102291, MEDCALL , MEDCALL, NOT FOUND, SUS ORAL CHO 240 ML x 1, MDQ

50767, MENTABON , MENTABON, NOT FOUND, SUSP 100 MG 30 ML x 1 (/5ML), MDQ

63587, MEDPRAZOL , MEDPRAZOL, NOT FOUND, CAPS 20 MG x 28, MDQ

62978, MEDTRIM , MEDTRIM, NOT FOUND, SUSP 200 MG 100 ML x 1 (/40), MDQ

78101, MOTIVOL , MOTIVOL, NOT FOUND, CPR REVEST 100 MG x 30, MDQ

98141, MEGAVITAL , MEGAVITAL, NOT FOUND, CPR x 90, MDQ

96521, MEDCALL , MEDCALL, NOT FOUND, SUSP ORAL CE 240 ML x 1, MDQ

62983, MUCOPLUS , MUCOPLUS, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), MDQ

64217, MEDXIL , MEDXIL, NOT FOUND, PO P/SUSP 250 MG 150 ML x 1 (/5ML), MDQ

64218, MEDTONICO , MEDTONICO, NOT FOUND, LIQD 400 ML x 1, MDQ

63017, MEDPRESS , MEDPRESS, NOT FOUND, CPR 250 MG x 30, MDQ

78102, MOTIVOL , MOTIVOL, NOT FOUND, CPR REVEST 100 MG x 60, MDQ

62976, MEDTRIM , MEDTRIM, NOT FOUND, CPR 400 MG x 20 (/80), MDQ

98139, MEGAVITAL , MEGAVITAL, NOT FOUND, CPR x 30, MDQ

62975, MEDGERON , MEDGERON, NOT FOUND, CPR 75 MG x 30, MDQ

62984, MUCOPLUS , MUCOPLUS, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), MDQ

62977, MEDTRIM , MEDTRIM, NOT FOUND, CPR 800 MG x 16 (/160), MDQ

62974, MEDGERON , MEDGERON, NOT FOUND, CPR 25 MG x 30, MDQ

146638, MIOREX , MIOREX, NOT FOUND, CPR REVEST 10 MG x 15, ME4

150188, MERADIZOL , MERADIZOL, NOT FOUND, CPR 200 MG x 10, ME4

146634, MIOREX , MIOREX, NOT FOUND, CPR REVEST 5 MG x 15, ME4

146640, MIOREX , MIOREX, NOT FOUND, CPR REVEST 10 MG x 30, ME4

146637, MIOREX , MIOREX, NOT FOUND, CPR REVEST 5 MG x 30, ME4

56325, MERIONAL , MERIONAL, NOT FOUND, F.AMP LIOF 150 IU 2 ML x 1, MIZ

77807, MELIDRONATO , MELIDRONATO, NOT FOUND, F.AMP LIOF 60 MG x 1, MIZ

77806, MELIDRONATO , MELIDRONATO, NOT FOUND, F.AMP LIOF 30 MG x 1, MIZ

56324, MERIONAL , MERIONAL, NOT FOUND, F.AMP LIOF 75 IU 2 ML x 1, MIZ

77808, MELIDRONATO , MELIDRONATO, NOT FOUND, F.AMP LIOF 90 MG x 1, MIZ

100587, MAXX5 ENERGY , MAXX5 ENERGY, NOT FOUND, CAPS P/COMP x 12, MJA

100585, MAXX5 ENERGY , MAXX5 ENERGY, NOT FOUND, CAPS x 60, MJA

73236, MONALESS , MONALESS, NOT FOUND, CAPS 600 MG x 60, MJA

73570, MONALESS , MONALESS, NOT FOUND, CAPS 600 MG x 30, MJA

88076, MAGSTRESS , MAGSTRESS, NOT FOUND, CAPS x 36, MJA

154113, MIGRAINEX , MIGRAINEX, NOT FOUND, CPR REVEST x 20, MQF

66271, MACRODANTINA , MACRODANTINA, NOT FOUND, CAPS 100 MG x 28, MQF

78713, MILGAMMA , MILGAMMA, NOT FOUND, DRAG 150 MG x 30, MQF

78714, MILGAMMA , MILGAMMA, NOT FOUND, DRAG 150 MG x 10, MQF

29391, MIO CITALGAN , MIO CITALGAN, NOT FOUND, CPR x 20, M_S

64734, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 120 ML x 1 (/5M, M_S

61671, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, M_S

50618, MUCOFLUX , MUCOFLUX, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), M_S

65426, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, M_S

66623, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), M_S

57639, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), M_S

66622, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 25 MG x 30 (/10), M_S

50617, MUCOFLUX , MUCOFLUX, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), M_S

58752, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 30, M_S

61672, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, M_S

56611, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, M_S

75794, MESIDOX , MESIDOX, NOT FOUND, CPR 4 MG x 30, M_S

58751, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, M_S

89009, MARIMER , MARIMER, NOT FOUND, SOL ISO 0.9% 100 ML x 1, M_S

75793, MESIDOX , MESIDOX, NOT FOUND, CPR 2 MG x 30, M_S

75038, MAXALGINA , MAXALGINA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NAU

112513, MASFEROL , MASFEROL, NOT FOUND, CPR REVEST 40 MG x 40, NAU

72224, MAXTONICO , MAXTONICO, NOT FOUND, XAROPE 125 MG 400 ML x 1 (/5ML), NAU

73331, MAXTONICO , MAXTONICO, NOT FOUND, GOTAS 68 MG 30 ML x 1 (/ML), NAU

75036, MAXALGINA , MAXALGINA, NOT FOUND, SOLN ORAL 50 MG 100 ML x 1 (/ML), NAU

77439, MASFEROL , MASFEROL, NOT FOUND, XAROPE 25 MG 100 ML x 1 (/ML), NAU

76149, MAGMAX , MAGMAX, NOT FOUND, LIQD HORTELA 80 MG 120 ML x 1 (/ML), NAU

77440, MASFEROL , MASFEROL, NOT FOUND, XAROPE 25 MG 400 ML x 1 (/ML), NAU

98195, MAGMAX , MAGMAX, NOT FOUND, LIQD HORTELA 80 MG 100 ML x 1 (/ML), NAU

72223, MAXTONICO , MAXTONICO, NOT FOUND, XAROPE 125 MG 100 ML x 1 (/5ML), NAU

95761, MAGMAX , MAGMAX, NOT FOUND, LIQD TRAD 80 MG 100 ML x 1 (/ML), NAU

79274, MAXALGINA , MAXALGINA, NOT FOUND, SOL ORAL SER 50 MG 100 ML x 1 (/ML), NAU

73524, MICOTLIV , MICOTLIV, NOT FOUND, LOC. 60 ML x 1, NAU

72812, MAGMAX , MAGMAX, NOT FOUND, LIQD TRAD 80 MG 120 ML x 1 (/ML), NAU

75037, MAXALGINA , MAXALGINA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NAU

65307, MUCOBRONQ , MUCOBRONQ, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), NAU

65308, MUCOBRONQ , MUCOBRONQ, NOT FOUND, XAR. PED. 100 MG 100 ML x 1 (/5ML), NAU

77399, METIOTRAT , METIOTRAT, NOT FOUND, SPRAY 10 MG 45 ML x 1 (/ML), NAU

77401, METIOTRAT , METIOTRAT, NOT FOUND, SOLN TOP. 10 MG 30 ML x 1 (/ML), NAU

58865, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, NQA

70170, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, NQA

58866, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 28, NQA

159556, MISACOR , MISACOR, NOT FOUND, CPR 80 MG x 30, NQA

70169, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, NQA

73113, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, CPR 2 MG x 20 (/.25), NQA

75858, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, NQA

161204, MOTIRIDONA , MOTIRIDONA, NOT FOUND, CPR 10 MG x 30, NQA

161188, MOTIRIDONA , MOTIRIDONA, NOT FOUND, CPR 10 MG x 60, NQA

70171, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG+10AP 100 MG 50 G x 1 (/G), NQA

75859, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, NQA

70168, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, NQA

88105, MEROPENEM MG , MEROPENEM, MEROPENEM, F AMP LIOF 500 MG 30 ML x 10, NVA

73522, METILPREDNISOLO.MG , METILPREDNISOLO, NOT FOUND, F.AMP 500 MG 8 ML x 25, NVA

73643, METILPREDNISOLO.MG , METILPREDNISOLO, NOT FOUND, F.AMP S/F 125 MG 2 ML x 25, NVA

88099, MEROPENEM MG , MEROPENEM, MEROPENEM, F AMP LIOF 1 G 50 ML x 10, NVA

63871, MYFORTIC , MYFORTIC, NOT FOUND, CPR REVEST 360 MG x 120, NVR

58428, MIFLONIDE , MIFLONIDE, NOT FOUND, CAPS+INALAD. 400 Y x 60, NVR

70007, METFORMIX , METFORMIX, NOT FOUND, CPR REVEST 500 MG x 48, NVR

55879, MERIGEST , MERIGEST, NOT FOUND, CPR x 28, NVR

75714, METFORMIX , METFORMIX, NOT FOUND, CPR REVEST 850 MG x 24, NVR

75713, METFORMIX , METFORMIX, NOT FOUND, CPR REVEST 500 MG x 24, NVR

70008, METFORMIX , METFORMIX, NOT FOUND, CPR REVEST 850 MG x 48, NVR

78556, MIFLONIDE , MIFLONIDE, NOT FOUND, CAPS+INALAD. 400 Y x 30, NVR

53774, MIFLASONA , MIFLASONA, NOT FOUND, CAPS+INALAD. 400 Y x 60, NVR

55878, MERICOMB , MERICOMB, NOT FOUND, CPR 1 MG x 28, NVR

58427, MIFLONIDE , MIFLONIDE, NOT FOUND, CAPS+INALAD. 200 Y x 60, NVR

6753, METHERGIN , METHERGIN, NOT FOUND, AMP. 0.20 MG 1 ML x 50, NVR

53773, MIFLASONA , MIFLASONA, NOT FOUND, CAPS+INALAD. 200 Y x 60, NVR

44347, MIACALCIC , MIACALCIC, NOT FOUND, AMP. 100 IU 1 ML x 5, NVR

77216, METFORMIX , METFORMIX, NOT FOUND, CPR REVEST 850 MG x 12, NVR

63870, MYFORTIC , MYFORTIC, NOT FOUND, CPR REVEST 180 MG x 120, NVR

28892, MURICALM , MURICALM, NOT FOUND, GOTAS 1 MG 10 ML x 1 (/ML), NVR

51645, MIACALCIC , MIACALCIC, NOT FOUND, SPR.NAS.DOSE 200 IU x 14 (/DOS), NVR

55880, MERIMONO , MERIMONO, NOT FOUND, CPR 1 MG x 28, NVR

6754, METHERGIN , METHERGIN, NOT FOUND, DRAG 0.125 MG x 12, NVR

78555, MIFLONIDE , MIFLONIDE, NOT FOUND, CAPS+INALAD. 200 Y x 30, NVR

51496, MIACALCIC , MIACALCIC, NOT FOUND, SER.PRE-ENCH 100 IU 1 ML x 5, NVR

7027, MURICALM , MURICALM, NOT FOUND, XAROPE 0.50 MG 120 ML x 1 (/5ML), NVR

57282, MASSAGEOL , MASSAGEOL, NOT FOUND, AERO 120 ML x 1, N_Q

70407, MAXTEST , MAXTEST, NOT FOUND, TEST x 1, N_Q

85413, MAL.DEX+PSE+GUA.MG , MAL DEX PSE GUA, NOT FOUND, SOLN ORAL 120 ML x 1, N_Q

57638, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, N_Q

50185, MIORRELAX , MIORRELAX, NOT FOUND, CPR x 100, N_Q

50990, MASSAGEOL , MASSAGEOL, NOT FOUND, POM. 30 G x 1, N_Q

54892, MUCOCISTEIN , MUCOCISTEIN, NOT FOUND, XAR. AD 250 MG 100 ML x 1 (/5ML), N_Q

63625, MAGNOSTASE , MAGNOSTASE, NOT FOUND, CPR 2 MG x 12, N_Q

87518, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 400 MG x 30, N_Q

66060, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, N_Q

73695, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, N_Q

57283, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 100 MG 30 ML x 1 (/5ML), N_Q

75186, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 5 MG 5 ML x 1 (/ML), N_Q

61990, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, XAROPE 2 MG 120 ML x 1 (/5ML), N_Q

63869, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CPR 250 MG x 20, N_Q

54891, MUCOCISTEIN , MUCOCISTEIN, NOT FOUND, XAR. INF 100 MG 100 ML x 1 (/5ML), N_Q

74960, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CREME 10 MG 30 G x 1 (/G), N_Q

76989, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, CPR 2 MG x 20, N_Q

75464, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, N_Q

87519, MESALAZINA MG , MESALAZINA, MESALAZINA, CPR REVEST 800 MG x 30, N_Q

73375, MAGNOSTASE , MAGNOSTASE, NOT FOUND, CPR 2 MG x 200, N_Q

85414, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG 10AP 100 MG 55 G x 1 (/G), N_Q

159377, MIORRELAX , MIORRELAX, NOT FOUND, CPR x 200, N_Q

6929, MIORRELAX , MIORRELAX, NOT FOUND, CPR x 20, N_Q

55537, MASSAGEOL , MASSAGEOL, NOT FOUND, POM. 15 G x 1, N_Q

93358, MIODARID , MIODARID, NOT FOUND, CPR 200 MG x 30, N_Q

92725, MESANEO , MESANEO, NOT FOUND, CPR REVEST 800 MG x 30, N_Q

159376, MIORRELAX , MIORRELAX, NOT FOUND, CPR x 30, N_Q

65623, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, N_Q

57226, MIODARID , MIODARID, NOT FOUND, CPR 200 MG x 20, N_Q

66061, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, N_Q

62569, MICONASTIN , MICONASTIN, NOT FOUND, CR.VAG 4APL 100 K 60 G x 1 (/G), P7B

79152, MAL.DEXCLO+BETA MG , MAL DEXCLO BETA, NOT FOUND, XAROPE 120 ML x 1, P7B

56036, MIANTREX CS , MIANTREX CS, NOT FOUND, F.AMP 50 MG 2 ML x 1, PFZ

48119, MATERNA , MATERNA, NOT FOUND, DRAG x 30, PFZ

46649, MINIPRESS SR , MINIPRESS SR, NOT FOUND, CAPS RETARD 2 MG x 15, PFZ

59265, MINESSE , MINESSE, NOT FOUND, CPR REVEST x 24, PFZ

56037, MIANTREX CS , MIANTREX CS, NOT FOUND, F.AMP 500 MG 20 ML x 1, PFZ

6911, MINIDIAB , MINIDIAB, NOT FOUND, CPR 5 MG x 30, PFZ

32488, MARAX , MARAX, NOT FOUND, XAROPE 120 ML x 1, PFZ

48688, MAXAQUIN , MAXAQUIN, NOT FOUND, CPR REVEST 400 MG x 7, PFZ

46648, MINIPRESS SR , MINIPRESS SR, NOT FOUND, CAPS RETARD 1 MG x 15, PFZ

46876, MINULET , MINULET, NOT FOUND, DRAG x 21, PFZ

48359, MANSIL , MANSIL, NOT FOUND, CAPS 250 MG x 6, PFZ

41982, MOTRIN , MOTRIN, NOT FOUND, DRAG 600 MG x 30, PFZ

48210, MINOMAX , MINOMAX, NOT FOUND, CPR 100 MG x 30, PFZ

46650, MINIPRESS SR , MINIPRESS SR, NOT FOUND, CAPS RETARD 4 MG x 15, PFZ

6570, MARAX , MARAX, NOT FOUND, CPR x 20, PFZ

85528, MOTRIN , MOTRIN, NOT FOUND, CPR REVEST 600 MG x 12, PFZ

56038, MIANTREX CS , MIANTREX CS, NOT FOUND, F.AMP 1 G 10 ML x 1, PFZ

89291, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 140, PZ8

74729, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, PZ8

75086, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, PZ8

74731, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 10, PZ8

64660, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 120 ML x 1 (/5M, PZ8

71939, MUPIROCINA MG , MUPIROCINA, MUPIROCINA, POM. 20 MG 15 G x 1 (/G), PZ8

75088, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, PZ8

73472, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CPR 250 MG x 20, PZ8

63148, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 6, PZ8

63557, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, SUSP 20 MG 30 ML x 1 (/ML), PZ8

63089, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CREME VAG. 50 G x 1, PZ8

75087, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, PZ8

74786, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CR.VAG.10APL 50 G x 1, PZ8

74730, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 500, PZ8

74732, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 7.50 MG x 500, PZ8

102146, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL VAG 10AP 50 G x 1, PZ8

63088, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL. VAG. 500 MG 50 G x 50 (/5G), PZ8

65700, METRO+NISTATINA MG , METRO NISTATINA, NOT FOUND, CREME VAG. 50 G x 50, PZ8

63085, MEBENDA+TIABEND.MG , MEBENDA TIABEND, NOT FOUND, CPR 200 MG x 6 (/332), PZ8

67958, MALEAT.DEXCLORF.MG , MALEAT DEXCLORF, MALEATO DEXCLORFENIRAMINA, SOLN ORAL 2 MG 100 ML x 50 (/5, PZ8

63556, MEBENDAZOL MG , MEBENDAZOL, MEBENDAZOL, CPR 100 MG x 300, PZ8

73898, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, CPR 250 MG x 600, PZ8

62147, MULTIGRAM , MULTIGRAM, NOT FOUND, CAPS 500 MG x 25 X12, PZ8

63087, METRONIDAZOL MG , METRONIDAZOL, METRONIDAZOL, GEL. VAG. 500 MG 50 G x 1 (/5G), PZ8

64841, MAL.DEXCLO+BETA.MG , MAL DEXCLO BETA, NOT FOUND, XAR. 120 ML x 1, PZ8

63141, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 15 MG x 30, RBY

57538, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, RBY

67602, MELOXICAM MG , MELOXICAM, MELOXICAM, CPR 15 MG x 10, RBY

71377, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.50 % 5 ML x 1, RBY

63139, MALEA.MIDAZOLAM MG , MALEA MIDAZOLAM, MALEATO MIDAZOLAM, CPR REVEST 7.50 MG x 20, RBY

57542, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, RBY

71376, MALEATO TIMOLOL MG , MALEATO TIMOLOL, MALEATO TIMOLOL, SOLN OFTAL 0.25 % 5 ML x 1, RBY

75900, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 75 Y 0.30 ML x 1, ROC

75901, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 100 Y 0.30 ML x 1, ROC

75898, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 360 Y 0.60 ML x 1, ROC

75899, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 120 Y 0.30 ML x 1, ROC

75902, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 200 Y 0.30 ML x 1, ROC

54690, MABTHERA , MABTHERA, NOT FOUND, F.IV INFUSAO 500 MG 50 ML x 1, ROC

75903, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 150 Y 0.30 ML x 1, ROC

54689, MABTHERA , MABTHERA, NOT FOUND, F.IV INFUSAO 100 MG 10 ML x 2, ROC

75897, MIRCERA , MIRCERA, NOT FOUND, SER.PRELL 50 Y 0.30 ML x 1, ROC

57546, MUCOCLEAN , MUCOCLEAN, NOT FOUND, XAR. PED. 15 MG 120 ML x 1 (/5ML), ROY

57892, MESOPRAN , MESOPRAN, NOT FOUND, CAPS 10 MG x 14, ROY

57545, MUCOCLEAN , MUCOCLEAN, NOT FOUND, XAR. AD 30 MG 120 ML x 1 (/5ML), ROY

60410, MEBENTAL , MEBENTAL, NOT FOUND, CPR 100 MG x 6, ROY

57893, MESOPRAN , MESOPRAN, NOT FOUND, CAPS 20 MG x 14, ROY

65252, MENOXITON , MENOXITON, NOT FOUND, CPR 7.50 MG x 10, ROY

60411, MEBENTAL , MEBENTAL, NOT FOUND, CPR 100 MG x 300, ROY

47003, MEBENTAL , MEBENTAL, NOT FOUND, SUSP 100 MG 30 ML x 1 (/5ML), ROY

65251, MENOXITON , MENOXITON, NOT FOUND, CPR 15 MG x 10, ROY

59735, MOVACOX , MOVACOX, NOT FOUND, CPR 15 MG x 10, SDZ

99994, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 15 MG x 28, SDZ

64104, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 28, SDZ

63857, MAL.ENALA+HCLTZ.MG , MAL ENALA HCLTZ, NOT FOUND, CPR 12.5 MG x 30 (/20), SDZ

59249, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 10 MG x 30, SDZ

59905, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 4 MG x 30, SDZ

64103, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR REVEST 30 MG x 14, SDZ

59259, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 10, SDZ

59904, MESI.DOXAZOSINA MG , MESI DOXAZOSINA, MESILATO DOXAZOSINA, CPR 2 MG x 30, SDZ

59734, MOVACOX , MOVACOX, NOT FOUND, CPR 7.50 MG x 10, SDZ

99996, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 30 MG x 14, SDZ

59248, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 5 MG x 30, SDZ

99993, MIRTAZAPINA MG , MIRTAZAPINA, MIRTAZAPINA, CPR ORODISPE 30 MG x 28, SDZ

59250, MALEA.ENALAPRIL MG , MALEA ENALAPRIL, MALEATO ENALAPRIL, CPR 20 MG x 30, SDZ

