68514; ACEBROFILINA; ACEBROFILINA; XAR. AD 10 MG 120 ML x 1 (/ML); N_Q;5,19E+14; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED 10 ML; N_Q
109599; RINOSORO; NOT FOUND; SPRAY NA JET 0.90 % 100 ML x 1; FAS;5,09E+14; RINOSORO SIC; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC GOT X 120 ML; FAS
60067; CLORATADD; NOT FOUND; XAR. 5 MG 100 ML x 1 (/5ML); E3S;5,08E+14; CLORATADD; NOT FOUND; 10MG 1BL X 12 COMP; E3S
61504; NEO MOXILIN; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); N_Q;5,19E+14; NEO MOXILIN; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PVDC INC X 21; N_Q
57054; CLOR DILTIAZEM; CLORIDRATO DILTIAZEM; CPR 60 MG x 50; E3S;5,08E+14; CLO; NOT FOUND; (C1) 10MG 2 BL X 10 COMP REV HOSP; E3S
56332; PRANDIN; NOT FOUND; CPR 1 MG x 30; MD7;5,25E+14; PRANDIN; NOT FOUND; 0.5 MG COM CT BL AL/AL X 30; MD7
62857; LOSARTAN POTAS; NOT FOUND; CPR 50 MG x 30; MD7;5,25E+14; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100MG + 25 MG COM REV CT BL AL PLAS OPC X 60; MD7
72319; ATENOPRESS; NOT FOUND; CPR REVEST 50 MG x 30; SDZ;5,12E+14; ATENOPRESS; NOT FOUND; 100 MG COM BL AL PLAS INC X 28 ; SDZ
62535; CLO; NOT FOUND; CPR REVEST 25 MG x 20; E3S;5,08E+14; CLORATADD; NOT FOUND; 10 MG 1BL X 12 COMP; E3S
71256; CLORTALIL; NOT FOUND; CPR 25 MG x 60; E3S;5,08E+14; CLO; NOT FOUND; (C1) 10MG 2 BL X 10 COMP REV HOSP; E3S
93361; NEO HIDROCLOR; NOT FOUND; CPR 25 MG x 30; N_Q;5,19E+14; NEO HIDROCLOR; NOT FOUND; CP 50MG (CX C/1 BL C/20); N_Q
75637; DERMATOL; NOT FOUND; LOC.CAPILAR 1 MG 30 G x 1 (/G); GM2;5,26E+14; DERMATOL; NOT FOUND; 0.5 MG/G CREME CT BG AL X 30 G; GM2
57306; SIGMASPORIN MICROR; NOT FOUND; CAPS 25 MG x 50; GM2;5,26E+14; SIGMASPORIN; NOT FOUND; 10 MG 1 BL X 60 CAPS MICRORAL; GM2
76953; BISURAN; NOT FOUND; XAR. 4 MG 120 ML x 1 (/5ML); E3S;5,08E+14; BISURAN; NOT FOUND; 0.8 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; E3S
47749; SCAFLAM; NOT FOUND; CPR 100 MG x 12; MQF;5,12E+14; SCAFLAM; NOT FOUND; BL C/ 12 COM; MQF
55618; DRAMAVIT; NOT FOUND; CPR 100 MG x 100; LR3;5,24E+14; DRAMAVIT B6; NOT FOUND; 50 MG + 50 MG SOL INJ CT 100 AMP VD INC X 1 ML; LR3
66531; CHRON ASA 5; NOT FOUND; CPR REVEST 800 MG x 20; E3S;5,08E+14; CHRON ASA 5; NOT FOUND; 400 MG COM REVE CT 3 BL AL PLAS INC X 10; E3S
55381; GELMAX; NOT FOUND; SACH.EF.ABAC 5 G x 100; E3S;5,08E+14; GELMAX; NOT FOUND; PAPAYA-CASSIS BL 4 X 6 COMP; E3S
80207; VOLUNTA; NOT FOUND; CPR REVEST 80 MG x 30; MD7;5,25E+14; VOLUNTA; NOT FOUND; 20 MG COM REV CT BL AL/AL X 10; MD7
56678; AZI; NOT FOUND; CPR 1000 MG x 1; E3S;5,08E+14; AZITROGRAN; NOT FOUND; 500MG 1 BL X 3 COMP; E3S
49739; DORSPAN; NOT FOUND; DRAG x 20; E3S;5,08E+14; DORSPAN; NOT FOUND; 2 BL X 10 DRG; E3S
46366; RINOSORO; NOT FOUND; NEBUL 30 ML x 1; FAS;5,09E+14; RINOSORO SIC; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC GOT X 30 ML; FAS
72783; CETILPLEX; NOT FOUND; GRAN ENVELO. 200 MG 5 G x 16; N_Q;5,19E+14; CETILPLEX; NOT FOUND; 200MG GRAN CT 16 ENV KRAFT POLIET X 5G; N_Q
59875; CETO DIP BETAME; NOT FOUND; POM. 30 G x 1; MD7;5,25E+14; CETOCONAZOL DIPR BETAMETASONA SULF NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; MD7
71625; SULBAMOX BD; NOT FOUND; SUSP ORAL BD 60 ML x 1; FAS;5,09E+14; SULBAMOX; NOT FOUND; 25 MG/ML + 25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; FAS
68366; CLOR OXIMETAZOL; CLORIDRATO OXIMETAZOLINA; SOLN NASAL 0.25 MG 20 ML x 1 (/ML); E3S;5,08E+14; CLO; NOT FOUND; (C1) 10MG 2 BL X 10 COMP REV HOSP; E3S
70024; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 20; GM2;5,26E+14; ALPRAZOLAM B1; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 30; GM2
62792; PARKLEN; NOT FOUND; CPR 250 MG x 30 (/25); N_Q;5,19E+14; PARKLEN; NOT FOUND; 25 MG + 250 MG COM CT BL AL PLAS INC X 200 (EMB HOSP) ; N_Q
61519; CLORATADD D; NOT FOUND; XAR. 60 ML x 1; E3S;5,08E+14; CLORATADD; NOT FOUND; 10MG 1BL X 12 COMP; E3S
62297; LANSOPRID; NOT FOUND; CAPS GELATIN 30 MG x 35 (/10); MD7;5,25E+14; LANSOPRID; NOT FOUND; 15 MG CAP GEL DURA MICROG DESINT GRAD + 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 7 + 21; MD7
80207; VOLUNTA; NOT FOUND; CPR REVEST 80 MG x 30; MD7;5,25E+14; VOLUNTA; NOT FOUND; 20 MG COM REV CT BL AL/AL X 90 (EMB FRAC); MD7
50985; HISTAMIN; NOT FOUND; LIQD 2 MG 100 ML x 1; N_Q;5,19E+14; HISTAMIN; NOT FOUND; CP 2MG (CX C/1 BL C/20); N_Q
55726; PROXACIN; NOT FOUND; CPR REVEST 500 MG x 14; N_Q;5,19E+14; PROXACIN; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 6; N_Q
62937; AMOXICILINA; AMOXICILINA; SUSP 500 MG 150 ML x 1 (/5ML); E3S;5,08E+14; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS ORAL CT FR PLAS OPC X 70 ML + SER DOSAD + CP MED; E3S
57026; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 15; E3S;5,08E+14; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50/25MG 1BL X 15 COMP; E3S
48750; CELESTONE; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); MQF;5,12E+14; CELESTONE SOLUSPAN; NOT FOUND; 3.0 MG/ML + 3.945 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML ; MQF
58756; NEODAZOL; NOT FOUND; CPR 1000 MG x 2; N_Q;5,19E+14; NEODAZOL; NOT FOUND; 1 G MG COM CX 50 BL AL PLAS INC X 10 (EMB HOSP); N_Q
55551; NEOPRAZOL; NOT FOUND; CAPS GASTROR 10 MG x 14; N_Q;5,19E+14; NEOPRAZOL; NOT FOUND; 20 MG CAP GEL DURA CT FR PLAS OPC X 28; N_Q
72238; ALENTHUS XR; NOT FOUND; CAPS L.C. 75 MG x 15; MD7;5,25E+14; ALENTHUS XR; NOT FOUND; 150 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 15; MD7
69183; MAL DEXCLO BETA; NOT FOUND; XAROPE 120 ML x 1; BF8;5,05E+14; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PLAS AMB X 120 ML + CP DOS; BF8
73917; AMOXI CLAVU POT; NOT FOUND; SUSP ORAL 400 MG 70 ML x 1 (/57); E3S;5,08E+14; AMOX; NOT FOUND; EMS - SUSP PO 250MG/5ML FR 150ML; E3S
70589; CLO DOXICICLINA; CLORIDRATO DOXICICLINA; CPR 100 MG x 60; E3S;5,08E+14; CLO; NOT FOUND; (C1) 10 MG 2 BL X 10 COMP REV HOSP; E3S
55816; NEO AMITRIPTILIN; NOT FOUND; CPR 25 MG x 20; N_Q;5,19E+14; NEO AMITRIPTILIN; NOT FOUND; 25 MG COM CT 25 BL AL PLAS INC X 20 (EMB HOSP); N_Q
53434; HECLIVIR; NOT FOUND; CPR 200 MG x 25; N_Q;5,19E+14; HECLIVIR; NOT FOUND; CREME (BG AL C/10GR); N_Q
62403; AMOXICILINA; AMOXICILINA; SUSP ORAL BD 400 MG 100 ML x 1 (/5ML); E3S;5,08E+14; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 80 MG/ML + 11.4 MG/ML PO SUS ORAL CT FR PLAS OPC X 70 ML + SER DOSAD + CP MED; E3S
50851; DESONOL; NOT FOUND; LOC.CAPILAR 0.10 % 30 G x 1; MD7;5,25E+14; DESONOL; NOT FOUND; 0.5 MG/G CREM DERM CT BG AL X 10 G; MD7
56381; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; MD7;5,25E+14; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50MG + 25MG COM CT 4 BL AL PLAST INC X 15; MD7
46219; NEOTRIN; NOT FOUND; CPR 400 MG x 20 (/80); N_Q;5,19E+14; NEOTRIN; NOT FOUND; 400 MG + 80 MG COM CT BL AL PLAS INC X 20; N_Q
76774; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1 (/ML); E3S;5,08E+14; CLO; NOT FOUND; 75MG 2 BLT C/ 10 COMP; E3S
66394; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA MONOIDRATADO; GOTAS 4 MG 10 ML x 1 (/ML); E3S;5,08E+14; CLO; NOT FOUND; 75 MG 2 BLT C/ 10 COMP; E3S
48667; CELESTAMINE; NOT FOUND; XAR. 120 ML x 1; MQF;5,12E+14; CELESTAMINE; NOT FOUND; 0.25 MG/ML + 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; MQF
63586; ZANIDIP; NOT FOUND; CPR 10 MG x 30; MD7;5,25E+14; ZANIDIP; NOT FOUND; 10 MG COMP REV CT C/ 2 STRIP AL X 10; MD7
61433; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 125 MG x 14; E3S;5,08E+14; CLO; NOT FOUND; (C1) 10MG 2 BL X 10 COMP REV HOSP; E3S
2214; CELESTONE; NOT FOUND; GOTAS ORAL 0.50 MG 15 ML x 1 (/ML); MQF;5,12E+14; CELESTONE; NOT FOUND; COMP 0.5 MG BL C/ 20; MQF
76162; OXIMAX; NOT FOUND; CAPS+INALAD. 400 Y x 30; MQF;5,12E+14; OXIMAX; NOT FOUND; 400 MCG CAP PO INAL CT BL AL/AL X 10; MQF
77289; PURAN T 4; NOT FOUND; CPR 112 Y x 28; S_A;5,31E+14; PURAN T4; NOT FOUND; 100 MCG COM CT 2 BL AL PLAS INC X 15; S_A
69646; ATENOLOL; ATENOLOL; CPR 100 MG x 60; E3S;5,08E+14; ATENOLOL CLORTALIDONA; NOT FOUND; 100/25 MG 2 BL X 15; E3S
62645; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; E3S;5,08E+14; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 10 G; E3S
71628; SULBAMOX; NOT FOUND; F.AMP C/DILU 1000 MG 5 ML x 1 (/500); FAS;5,09E+14; SULBAMOX; NOT FOUND; 500 MG + 250 MG PO INJ CT FA VD INC + AMP VD INC X 5 ML; FAS
31778; VALPAKINE; NOT FOUND; DRAG ENTERIC 200 MG x 40; S_A;5,31E+14; VALPAKINE; NOT FOUND; 500 MG - COMP REV - CX - 40 COMP REV; S_A
52089; ENERGIL C EFERVESC; NOT FOUND; ROSE HIPS 2 G x 10; E3S;5,08E+14; ENERGIL C; NOT FOUND; 500MG AP 2 BL X 10 CAPS; E3S
48667; CELESTAMINE; NOT FOUND; XAR. 120 ML x 1; MQF;5,12E+14; CELESTAMINE; NOT FOUND; 0.25 MG + 2 MG COM CT BL AL PLAS INC X 10; MQF
60066; CLORATADD; NOT FOUND; CPR 10 MG x 12; E3S;5,08E+14; CLO; NOT FOUND; 75 MG 2 BLT C/ 10 COMP; E3S
77052; CIZAX; NOT FOUND; CPR 10 MG x 4; MQF;5,12E+14; CIZAX; NOT FOUND; 5 MG COM CT BL AL PLAS INC X 4; MQF
57332; CAPTOTEC; NOT FOUND; CPR 25 MG x 28; SDZ;5,12E+14; CAPTOTEC; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; SDZ
75665; SODEN; NOT FOUND; CPR REVEST 100 MG x 20; GM2;5,26E+14; SODEN; NOT FOUND; 1 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; GM2
49835; GASTROL; NOT FOUND; PASTI.MASTIC x 20; LR3;5,24E+14; GASTROL; NOT FOUND; TC C/30 PASTILHAS; LR3
63154; VALER BETAMETA; VALERATO BETAMETASONA; SOLN CAPIL 1 MG 50 G x 1 (/G); E3S;5,08E+14; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/ G + 5 MG/G CREM CT BG AL X 30G; E3S
80656; COSARTAN; NOT FOUND; CPR REVEST 160 MG x 30; GM2;5,26E+14; COSARTAN; NOT FOUND; 320 MG COM REV CT BL AL AL X 30; GM2
73917; AMOXI CLAVU POT; NOT FOUND; SUSP ORAL 400 MG 70 ML x 1 (/57); E3S;5,08E+14; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500MG + 125MG X 30 COMP REV (EMB FRAC); E3S
59666; PEPSAPLUS; NOT FOUND; SUSP 240 ML x 1; S_A;5,31E+14; PEPSAPLUS; NOT FOUND; 80 MG/ML + 80 MG/ML + 6 MG/ML SUSP ORAL CT FR PLAS; S_A
51813; ECTRIN; NOT FOUND; SUSP 240 MG 100 ML x 1 (/5ML); E3S;5,08E+14; ECTRIN; NOT FOUND; SUSP FR C/100ML; E3S
56823; NEOTAFLAN; NOT FOUND; AMP. 75 MG 3 ML x 3; N_Q;5,19E+14; NEOTAFLAN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (EMB HOSP); N_Q
77052; CIZAX; NOT FOUND; CPR 10 MG x 4; MQF;5,12E+14; CIZAX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 10; MQF
69179; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; E3S;5,08E+14; CLO; NOT FOUND; (C1) 10MG 2 BL X 10 COMP REV HOSP; E3S
62450; CLORTALIDONA; CLORTALIDONA; CPR 50 MG x 30; E3S;5,08E+14; CLO; NOT FOUND; (C1) 25MG 2 BL X 10 COMP REV HOSP; E3S
107754; PREDSIM; NOT FOUND; CPR 40 MG x 7; MQF;5,12E+14; PREDSIM; NOT FOUND; 5 MG 1 BL AL PL C/10 COMP; MQF
74932; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 60 (/100); MD7;5,25E+14; ATENOLOL CLORTALIDONA; NOT FOUND; 100 MG + 25 MG COM CT BL AL PLAS INC X 30; MD7
76135; HORMOSKIN; NOT FOUND; CREME DERMAT 15 G x 1; GM2;5,26E+14; HORMOSKIN; NOT FOUND; 0.1 MG/G + 40 MG/G +0.5 MG/G CREME DERM CT BG AL X 15 G; GM2
58757; NEODAZOL; NOT FOUND; PO P/SUSP 450 MG 15 ML x 1; N_Q;5,19E+14; NEO METRODAZOL; NOT FOUND; CR VAG 500MG/4GR (BG AL C/40GR); N_Q
66696; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (/ML); E3S;5,08E+14; CLO; NOT FOUND; 75 MG 2 BLT C/ 10 COMP; E3S
60857; POLICLAVUMOXIL BD; NOT FOUND; SUSP 400 MG 70 ML x 1 (/5ML); E3S;5,08E+14; POLIMOXIL; NOT FOUND; 500 MG/5 ML SUS OR CT FR VD AMB X 150 ML; E3S
71860; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; E3S;5,08E+14; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL / AL X 14; E3S
73319; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; LG6;5,39E+14; CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G; LG6
71963; ENERGIL C; NOT FOUND; GOTAS 200 MG 20 ML x 1 (/ML); E3S;5,08E+14; ENERGIL C; NOT FOUND; 2 G COMP EFERV C/10; E3S
51286; ETILDOPANAN; NOT FOUND; CPR REVEST 500 MG x 20; N_Q;5,19E+14; ETILDOPANAN; NOT FOUND; 250MG COM REV CT 2 BL AL PLAS INC X 10; N_Q
49785; TIAMIN INJETAVEL; NOT FOUND; AMP. 2 ML x 50; N_Q;5,19E+14; TIAMIN; NOT FOUND; SOL OR CT FR VD AMB X 30 ML; N_Q
59723; LORSACOR; NOT FOUND; CPR REVEST 50 MG x 14; SDZ;5,12E+14; LORSACOR; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 60; SDZ
56838; ENERGIL C; NOT FOUND; CPR EF.S/ACU 1 G x 10; E3S;5,08E+14; ENERGIL C; NOT FOUND; 2 G COMP EFERV C/10; E3S
71479; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 25; E3S;5,08E+14; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; E3S
64527; PANTOPAZ; NOT FOUND; CPR REVEST 20 MG x 28; SDZ;5,12E+14; PANTOPAZ; NOT FOUND; 40 MG COM REV CT BL AL/AL X 28; SDZ
48134; SYLADOR; NOT FOUND; SOLN 50 MG 10 ML x 1 (/ML); S_A;5,31E+14; SYLADOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 10; S_A
58064; SINVASTACOR; NOT FOUND; CPR REVEST 20 MG x 30; SDZ;5,12E+14; SINVASTACOR; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 30; SDZ
77594; DESLORANA; NOT FOUND; CPR REVEST 5 MG x 10; LG6;5,39E+14; DESLORANA; NOT FOUND; 0.5 MG/ML XPE CT FR VD AMB X 60 ML + SER DOSAD; LG6
58156; TIOCONAZOL; TIOCONAZOL; CREME 1 % 30 G x 1; MD7;5,25E+14; TIOCONAZOL TINIDAZOL; NOT FOUND; CREME VAG CT 1 BG AL X 35 G + 7APL; MD7
66922; NEOZOLAM; NOT FOUND; CPR 0.50 MG x 20; N_Q;5,19E+14; NEOZOL; NOT FOUND; CAP 30MG (CX C/1 BL C/7); N_Q
63845; VALER BETAMETA; VALERATO BETAMETASONA; CREME 1 MG 30 G x 1 (/G); E3S;5,08E+14; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; CREM BISN C/ 30G; E3S
79148; LIPIGRAN; NOT FOUND; CPR REVEST 40 MG x 60; LG6;5,39E+14; LIPIGRAND; NOT FOUND; 20 MG COM REV CT BL AL/AL X 60; LG6
60101; ENERGIL C; NOT FOUND; CPR A/P x 20; E3S;5,08E+14; ENERGIL C; NOT FOUND; 2 G ROSE HIPS C/10 COMP EFERV; E3S
72238; ALENTHUS XR; NOT FOUND; CAPS L.C. 75 MG x 15; MD7;5,25E+14; ALENTHUS XR; NOT FOUND; 37.5 MG CAP GEL DURA LIB CONTROL CT BL AL PLAS INC X 7 ; MD7
71626; SULBAMOX BD; NOT FOUND; CPR BD x 14; FAS;5,09E+14; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; FAS
76510; LUFISAN; NOT FOUND; GOTAS 75 MG 15 ML x 1 (/ML); SDZ;5,12E+14; LUFISAN; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 20; SDZ
49004; HIDROCORTE; NOT FOUND; CREME 20 G x 1; LG6;5,39E+14; HIDROCORTE; NOT FOUND; 30 MG/G + 10 MG/G CREM DERM CT BG AL X 20 G; LG6
77927; SOLLEVARE; NOT FOUND; CPR REVEST 25 MG x 2; E3S;5,08E+14; SOLLEVARE; NOT FOUND; 50 MG COM REV CT BL AL PLAS OPC X 12; E3S
59935; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 500 MG x 12 (/125); E3S;5,08E+14; AMOXICILINA CLAVULANATO POTASSIO; NOT FOUND; 500 MG 2 BL X 6 COMP; E3S
71882; CROMO DISSODICO; NOT FOUND; SOLN NASAL 40 MG 13 ML x 1 (/ML); N_Q;5,19E+14; CROMOGLICATO DISSODICO; NOT FOUND; 40 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; N_Q
59585; FLATEX; NOT FOUND; CPR 150 MG x 12; FAS;5,09E+14; FLATEX; NOT FOUND; 75MG/ML GTS PED FR 15ML; FAS
86231; DOXURAN; NOT FOUND; CPR 2 MG x 30; SDZ;5,12E+14; DOXURAN; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 20 ; SDZ
79148; LIPIGRAN; NOT FOUND; CPR REVEST 40 MG x 60; LG6;5,39E+14; LIPIGRAND; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; LG6
68734; GLIANSOR; NOT FOUND; CPR 2 MG x 30; LG6;5,39E+14; GLIANSOR; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; LG6
67486; NEOZOLAM; NOT FOUND; CPR 1 MG x 20; N_Q;5,19E+14; NEOZOL; NOT FOUND; CAP 30MG (CX C/2 BL C/7); N_Q
54139; CEFTRIAX; NOT FOUND; F.IM SOLV. 1 G 3.50 ML x 1; E3S;5,08E+14; CEFTRIAX; NOT FOUND; IM 500MG C/ 1 2ML; E3S
60459; POLICLAVUMOXIL; NOT FOUND; CPR 500 MG x 12; E3S;5,08E+14; POLICLAVUMOXIL; NOT FOUND; 500MG 2 BL X 6 COMP; E3S
61874; LISADOR; NOT FOUND; CPR x 16; FAS;5,09E+14; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG/1.5 ML SOL OR CT FR PLAS OPC X 10 ML; FAS
104574; LORATADINA; LORATADINA; CPR 10 MG x 12; N_Q;5,19E+14; LORATADINA SULFATO PSEUDOEFEDRINA; NOT FOUND; 1 MG/ML + 12 MG/ML XPE CT FR VD AMB X 60 ML + CP MED; N_Q
53199; AMOX EMS; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); E3S;5,08E+14; AMOX; NOT FOUND; EMS - SUSP PO 250MG/5ML FR 150ML; E3S
109599; RINOSORO; NOT FOUND; SPRAY NA JET 0.90 % 100 ML x 1; FAS;5,09E+14; RINOSORO SIC; NOT FOUND; 9.0 MG/ML SOL NASAL CT FR PLAS OPC GOT X 90 ML; FAS
56333; PRANDIN; NOT FOUND; CPR 2 MG x 30; MD7;5,25E+14; PRANDIN; NOT FOUND; 1 MG COM CT BL AL/AL X 30; MD7
55620; DRAMAVIT B6; NOT FOUND; GOTAS 20 ML x 1; LR3;5,24E+14; DRAMAVIT; NOT FOUND; 25X04 COMPRIMIDOS; LR3
62273; PROFLOX; NOT FOUND; CPR REVEST 500 MG x 14; E3S;5,08E+14; PROFLOX; NOT FOUND; 500MG BL X 10 COMP; E3S
59380; TRILAX; NOT FOUND; CPR BLISTER x 12; SDZ;5,12E+14; TRILAX; NOT FOUND; 300 MG + 125 MG + 50 MG + 30 MG COM CT BL AL PLAS INC X 100; SDZ
67029; AZI; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; E3S;5,08E+14; AZITROGRAN; NOT FOUND; 500 MG 1 BL X 3 COMP; E3S
72911; VALER BETAMETA; VALERATO BETAMETASONA; LOC.DERMATOL 1 MG 50 G x 1 (/G); E3S;5,08E+14; VALERATO BETAMETASONA SULFATO NEOMICINA; NOT FOUND; 1 MG/ G + 5 MG/G CREM CT BG AL X 30G; E3S
66712; DIAZEPAM; DIAZEPAM; CPR 10 MG x 20; GM2;5,26E+14; DIAZEPAM NQ; NOT FOUND; 10MG 2 BL X 10 COMP (B1); GM2
55546; NEOSULIDA; NOT FOUND; GOTAS 50 MG 15 ML x 1 (/ML); N_Q;5,19E+14; NEOSULIDA; NOT FOUND; COMP 100MG (CX C/1 BL C/12); N_Q
55442; RENALAPRIL; NOT FOUND; CPR 10 MG x 30; N_Q;5,19E+14; RENALAPRIL; NOT FOUND; CP 10 MG (CX C/03 ENV AL C/10); N_Q
95598; CLO PIOGLITAZO; CLORIDRATO PIOGLITAZONA; CPR 45 MG x 15; E3S;5,08E+14; CLO; NOT FOUND; 75 MG 2 BLT C/ 10 COMP; E3S
71844; CAPTOTEC; NOT FOUND; CPR 25 MG x 30; SDZ;5,12E+14; CAPTOTEC; NOT FOUND; 25 MG COM CT 4 BL AL PLAS INC X 14; SDZ
57770; NEODAZOL; NOT FOUND; CPR 500 MG x 4; N_Q;5,19E+14; NEO BENDAZOL; NOT FOUND; CP 200MG (CX C/1 BL C/2); N_Q
55537; MASSAGEOL; NOT FOUND; POM. 15 G x 1; N_Q;5,19E+14; MASSAGEOL; NOT FOUND; TUBO AL C/120 ML; N_Q
73536; ALERGIDEX; NOT FOUND; XAROPE 2 MG 120 ML x 1 (/5ML); N_Q;5,19E+14; ALERGIDEX; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR PET AMB X 120 ML + CP MED; N_Q
69552; CEFACLOR; CEFACLOR; SUSP 375 MG 100 ML x 1 (/5ML); GM2;5,26E+14; CEFACLOR MONOIDRATADA; NOT FOUND; 50 MG/ML SUS OR CT FR VD AMB X 100 ML + SER PLAS DOSAD; GM2
75909; RAZAPINA; NOT FOUND; CPR REVEST 30 MG x 7; SDZ;5,12E+14; RAZAPINA; NOT FOUND; 30 MG COM REV CT BL AL/PLAS INC X 14; SDZ
72106; ATENOPRESS; NOT FOUND; CPR REVEST 100 MG x 30; SDZ;5,12E+14; ATENOPRESS; NOT FOUND; 25 MG COM BL AL PLAS INC X 30 ; SDZ
77049; CELESTONE; NOT FOUND; CPR 0.50 MG x 10; MQF;5,12E+14; CELESTONE SOLUSPAN; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 20; MQF
53018; APROVEL; NOT FOUND; CPR 150 MG x 28; S_A;5,31E+14; APROVEL; NOT FOUND; 150 MG COM CT BL AL PLAS INC X 14; S_A
69179; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; E3S;5,08E+14; CLO; NOT FOUND; 75MG 2 BLT C/ 10 COMP; E3S
73075; LUCRETIN; NOT FOUND; S L M VERAO 200 ML x 1; FAS;5,09E+14; LUCRETIN; NOT FOUND; 40MG + 776.45MG + 182.25MG/G PO TP CT 20 ENV X 4 G; FAS
69757; PARACETAMOL; PARACETAMOL; CPR REVEST 500 MG x 200; GM2;5,26E+14; PARACETAMOL CLORIDRATO PSEUDOEFEDRINA; NOT FOUND; 500 MG + 30 MG COM REV CT BL AL PLAS OPC X 24; GM2
