58701; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; CPR.RE.LP x 12; A4H

57083; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); A4H

52269; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 4; A4H

93780; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 15; A4H

77057; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 15; A4H

83733; DORALIV ; DORALIV; NOT FOUND; GOTAS 100 MG 20 ML x 1 (/ML); A4H

28810; DORILAX ; DORILAX; NOT FOUND; CPR x 100; A4H

52270; DEPROZOL ; DEPROZOL; NOT FOUND; CPR REVEST 500 MG x 8; A4H

62916; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.A.KIT S/SE 10 MG 2 ML x 1; A4H

59211; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); A4H

141238; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 15; A4H

114401; DOSE D ; DOSE D; NOT FOUND; GOTAS MA VER 10 ML x 1; A4H

73227; DORALIV ; DORALIV; NOT FOUND; GOTAS 50 MG 30 ML x 1 (/ML); A4H

58703; DECONGEX PLUS NF ; DECONGEX PLUS NF; NOT FOUND; XAR. 120 ML x 1; A4H

48787; DISGREN ; DISGREN; NOT FOUND; CAPS 300 MG x 20; A4H

137394; DORENE ; DORENE; NOT FOUND; CAPS GEL 75 MG x 30; A4H

94293; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 8 MG x 30; A4H

29997; DECADRON ; DECADRON; NOT FOUND; CPR 4 MG x 10; A4H

3143; DESOBESI-M ; DESOBESI M; NOT FOUND; CAPS 25 MG x 30; A4H

52191; DAYVIT ; DAYVIT; NOT FOUND; CPR REVEST x 30; A4H

51283; DEPRAX ; DEPRAX; NOT FOUND; CAPS GELATIN 20 MG x 28; A4H

92346; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 24 MG x 30; A4H

123456; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; CPR REVEST 5 MG x 10; A4H

70192; DEPAXAN ; DEPAXAN; NOT FOUND; CPR REVEST 20 MG x 20; A4H

59210; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; A4H

56286; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 20; A4H

74585; DUALID S ; DUALID S; NOT FOUND; CAPS GEL 75 MG x 30; A4H

64092; DERMOMAX ; DERMOMAX; NOT FOUND; CREME DERMAT 40 MG 5 G x 1 (/G); A4H

93781; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU ABAC 5 G x 30; A4H

103036; DONILA ; DONILA; NOT FOUND; CPR REVEST 10 MG x 30; A4H

74785; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP 8 MG 1 ML x 1 (/2MG); A4H

56287; DINATON ; DINATON; NOT FOUND; CPR REVEST 80 MG x 60; A4H

3002; DECADRON ; DECADRON; NOT FOUND; CPR 0.75 MG x 20; A4H

59212; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; CPR REVEST 50 MG x 20; A4H

50333; DUALID S ; DUALID S; NOT FOUND; CAPS RETARD 75 MG x 20; A4H

64260; DICLOR.CETIRIZI.MG ; DICLOR CETIRIZI; DICLORIDRATO CETIRIZINA; CPR REVEST 10 MG x 12; A4H

77058; DIOSMIN ; DIOSMIN; NOT FOUND; SAC SDU L/LI 5 G x 30; A4H

130990; DROPROPIZINA MG ; DROPROPIZINA; DROPROPIZINA; XAR 3 MG 120 ML x 1 (/ML); A4H

93518; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; A4H

54162; DECADRON ; DECADRON; NOT FOUND; GOTAS NASAL 20 ML x 1; A4H

2998; DECADRON ; DECADRON; NOT FOUND; F.AMP 4 MG 2.50 ML x 1; A4H

127836; DESLORATADINA MG ; DESLORATADINA; DESLORATADINA; XAR 0.50 MG 100 ML x 1 (/ML); A4H

28846; DUO-DECADRON ; DUO DECADRON; NOT FOUND; F.AMP KIT 10 MG 2 ML x 1; A4H

43874; DELTACID ; DELTACID; NOT FOUND; LOC. 0.02 % 100 ML x 1; ABT

42321; DEPAKENE ; DEPAKENE; NOT FOUND; CPR REVEST 500 MG x 50; ABT

161602; DIALYCARE HP ; DIALYCARE HP; NOT FOUND; LIQ RBP BAU 200 ML x 1; ABT

55428; DALSY ; DALSY; NOT FOUND; SUSP 100 MG 200 ML x 1 (/5ML); ABT

55436; DILACORON ; DILACORON; NOT FOUND; CPR RET.REVE 120 MG x 20; ABT

76213; DALSY ; DALSY; NOT FOUND; CPR REVEST 400 MG x 100; ABT

73221; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 500 MG x 30; ABT

30759; DEPAKENE ; DEPAKENE; NOT FOUND; CAPS 250 MG x 25; ABT

61810; DUPHASTON ; DUPHASTON; NOT FOUND; CPR REVEST 10 MG x 28; ABT

72422; DUPHALAC ; DUPHALAC; NOT FOUND; XAROPE 667 MG 200 ML x 1 (/ML); ABT

59882; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 20; ABT

54750; DILACORON ; DILACORON; NOT FOUND; CPR REVEST 80 MG x 30; ABT

73220; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 250 MG x 30; ABT

64258; DALSY ; DALSY; NOT FOUND; GOTAS 200 MG 15 ML x 1 (/ML); ABT

90465; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 250 MG x 30; ABT

72185; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); ABT

58389; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS SPRINKL 125 MG x 30; ABT

56139; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 250 MG x 20; ABT

74881; DALSY ; DALSY; NOT FOUND; CPR REVEST 200 MG x 12; ABT

74546; DUPHALAC ; DUPHALAC; NOT FOUND; SACHETS 667 MG 15 ML x 10 (/ML); ABT

61809; DUPHASTON ; DUPHASTON; NOT FOUND; CPR REVEST 10 MG x 14; ABT

92424; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS SPRINKL 125 MG x 60; ABT

80429; DEPAKOTE ; DEPAKOTE; NOT FOUND; CAPS GEL 125 MG x 10; ABT

79961; DEPACON ; DEPACON; NOT FOUND; F.AMP 100 MG 5 ML x 10; ABT

58700; DALSY ; DALSY; NOT FOUND; SUSP 100 MG 100 ML x 1 (/5ML); ABT

80430; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 6; ABT

48675; DEPAKENE ; DEPAKENE; NOT FOUND; CPR REVEST 300 MG x 25; ABT

58393; DUSPATALIN ; DUSPATALIN; NOT FOUND; CAPS L.P. 200 MG x 30; ABT

48619; DICETEL ; DICETEL; NOT FOUND; CPR REVEST 50 MG x 20; ABT

30760; DEPAKENE ; DEPAKENE; NOT FOUND; XAR. 250 MG 100 ML x 1 (/5ML); ABT

92414; DEPAKENE ; DEPAKENE; NOT FOUND; CAPS 250 MG x 50; ABT

54752; DILACORON ; DILACORON; NOT FOUND; CPR RET.REVE 240 MG x 30; ABT

73548; DALSY ; DALSY; NOT FOUND; CPR REVEST 600 MG x 10; ABT

43875; DELTACID ; DELTACID; NOT FOUND; XAMP 0.02 % 100 ML x 1; ABT

76215; DALSY ; DALSY; NOT FOUND; CPR REVEST 600 MG x 100; ABT

56140; DEPAKOTE ; DEPAKOTE; NOT FOUND; CPR REVES.AP 500 MG x 20; ABT

95804; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 250 MG x 6; ABT

54995; DICETEL ; DICETEL; NOT FOUND; CPR REVEST 100 MG x 20; ABT

73219; DEPAKOTE ER ; DEPAKOTE ER; NOT FOUND; CPR REVES.AP 500 MG x 30; ABT

62250; DALSY ; DALSY; NOT FOUND; CPR REVEST 400 MG x 10; ABT

156816; DICL BETAISTINA MG ; DICL BETAISTINA; DICLORIDRATO BETAISTINA; CPR 16 MG x 30; AH_

96780; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 21 (/.03); AH_

120260; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR REVEST 3 MG x 24 (/.02); AH_

57511; DUNASON ; DUNASON; NOT FOUND; GOTAS OFTAL 15 ML x 1; ALC

85556; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 2.50 ML x 1; ALC

99988; DUO-TRAVATAN B FRE ; DUO TRAVATAN B FRE; NOT FOUND; SOL OFTAL 5 ML x 1; ALC

48334; DEXAFENICOL ; DEXAFENICOL; NOT FOUND; POM. OFTAL 3.50 G x 1; ALL

49535; DIFEN ; DIFEN; NOT FOUND; COLIRIO 0.10 % 5 ML x 1; ALL

30850; DEXAFENICOL ; DEXAFENICOL; NOT FOUND; GOTAS OFTAL 5 ML x 1; ALL

41893; DEXAMINOR ; DEXAMINOR; NOT FOUND; POM. OFTAL 0.05 MG 3.50 G x 1 (/G); ALL

46657; DINILL ; DINILL; NOT FOUND; COLIRIO 10 ML x 1; ALL

41892; DEXAMINOR ; DEXAMINOR; NOT FOUND; COLIRIO 0.05 MG 5 ML x 1 (/ML); ALL

60990; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 10; APS

103875; DESOL ; DESOL; NOT FOUND; GOTAS 10 ML x 1; APS

52740; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 50 MG x 60; APS

113355; DIGELIV ; DIGELIV; NOT FOUND; SAC 400FCC 2 G x 30; APS

64728; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 20; APS

58714; DISERIM ; DISERIM; NOT FOUND; CPR REVEST x 20; APS

75680; DONAREN RETARD ; DONAREN RETARD; NOT FOUND; CPR RETARD 150 MG x 20; APS

137029; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 5; APS

75475; DONAREN ; DONAREN; NOT FOUND; CPR REVEST 100 MG x 30; APS

103878; DESOL ; DESOL; NOT FOUND; GOTAS 20 ML x 1; APS

135984; DOBEVEN ; DOBEVEN; NOT FOUND; CAPS 500 MG x 30; APS

53471; DESTILBENOL ; DESTILBENOL; NOT FOUND; CPR REVEST 1 MG x 50; APS

93527; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.125 MG x 30; ATV

93528; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 0.25 MG x 30; ATV

93529; DICL PRAMIPEXOL MG ; DICL PRAMIPEXOL; DICLORIDRATO PRAMIPEXOL; CPR 1 MG x 30; ATV

62257; DIPRIVAN ; DIPRIVAN; NOT FOUND; F.AMP INFUS 2 % 50 ML x 1; AZN

53990; DIPRIVAN ; DIPRIVAN; NOT FOUND; INFUS PFS 1 % 50 ML x 1; AZN

48783; DIPRIVAN ; DIPRIVAN; NOT FOUND; A.IV 10 MG 20 ML x 5 (/ML); AZN

53988; DIPRIVAN ; DIPRIVAN; NOT FOUND; F.AMP 1 % 50 ML x 1; AZN

55377; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 28; BAL

53232; DIVELOL ; DIVELOL; NOT FOUND; CPR 25 MG x 28; BAL

77733; DIVELOL ; DIVELOL; NOT FOUND; CPR 25 MG x 60; BAL

64234; DIGOBAL ; DIGOBAL; NOT FOUND; CPR BLISTER 0.25 MG x 30; BAL

92421; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 60; BAL

75292; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 28; BAL

64235; DIGOBAL ; DIGOBAL; NOT FOUND; CPR BLISTER 0.125 MG x 30; BAL

77732; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 60; BAL

55376; DIVELOL ; DIVELOL; NOT FOUND; CPR 3.12 MG x 14; BAL

53676; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 14; BAL

75291; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 28; BAL

53677; DIVELOL ; DIVELOL; NOT FOUND; CPR 12.5 MG x 14; BAL

92434; DIVELOL ; DIVELOL; NOT FOUND; CPR 6.25 MG x 60; BAL

73437; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BF8

75640; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; CPR 500 MG x 100; BF8

63631; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 20; BF8

74582; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); BF8

62738; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 10; BF8

63630; DICLOFEN.POTASI MG ; DICLOFEN POTASI; NOT FOUND; DRAG 50 MG x 10; BF8

62740; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; CPR 50 MG x 20; BF8

62887; DERMOMICIN ; DERMOMICIN; NOT FOUND; POM. 3.50 MG 20 G x 1 (/G); BFR

62812; DEXMENE ; DEXMENE; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); BFR

69813; DERMOLIMP ; DERMOLIMP; NOT FOUND; CREME 30 G x 1; BLF

55996; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 20; BLF

56570; DIPIGINA ; DIPIGINA; NOT FOUND; XAR. 60 ML x 1; BLF

56702; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 20 ML x 1; BLF

74162; DIPIGINA ; DIPIGINA; NOT FOUND; CPR 500 MG x 10; BLF

58704; DELTAPIL ; DELTAPIL; NOT FOUND; LOC. 100 ML x 1; BLF

77969; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 120; BLF

58705; DELTAPIL ; DELTAPIL; NOT FOUND; SABAO 70 G x 1; BLF

56707; DEXAGLOS ; DEXAGLOS; NOT FOUND; CPR x 20; BLF

58706; DELTAPIL ; DELTAPIL; NOT FOUND; XAMP ANTI-CA 0.02 % 100 ML x 1; BLF

56701; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; CREME 20 G x 1; BLF

58713; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); BLF

64319; DEXAGLOS ; DEXAGLOS; NOT FOUND; CREME 15 G x 1; BLF

56706; DEXAGLOS ; DEXAGLOS; NOT FOUND; ELIXIR 100 ML x 1; BLF

92090; DERMOTRIZOL ; DERMOTRIZOL; NOT FOUND; SOLN TOP. 30 ML x 1; BLF

56579; DRENOGRIP ; DRENOGRIP; NOT FOUND; DRAG x 100; BLF

41959; DIPIGINA ; DIPIGINA; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); BLF

137543; DOSS ; DOSS; NOT FOUND; CAPS 1000 IU x 30; BS2

96159; DEPOMES ; DEPOMES; NOT FOUND; AMP 1 ML x 1; BS2

69670; DRENISON ; DRENISON; NOT FOUND; LOC. 0.50 MG 30 ML x 1 (/ML); BS2

98659; DISFOR ; DISFOR; NOT FOUND; SACHES 11 G x 30; BS2

33542; DRENISON OCLUSIVO ; DRENISON OCLUSIVO; NOT FOUND; RO 60CMX7.5C x 1; BS2

32515; DRENISON N ; DRENISON N; NOT FOUND; CREME 30 G x 1; BS2

3616; DRENIFORMIO ; DRENIFORMIO; NOT FOUND; CREME 30 G x 1; BS2

46005; DRENISON OCLUSIVO ; DRENISON OCLUSIVO; NOT FOUND; RO 200CMX7.5 x 1; BS2

137545; DOSS ; DOSS; NOT FOUND; CAPS 1000 IU x 60; BS2

32516; DRENISON N ; DRENISON N; NOT FOUND; POM. 30 G x 1; BS2

3618; DRENISON ; DRENISON; NOT FOUND; CREME 0.125 MG 30 G x 1 (/G); BS2

75592; DTN FOL ; DTN FOL; NOT FOUND; CAPS 400 Y x 90 (/10); BS2

32854; DRENISON ; DRENISON; NOT FOUND; POM. 0.125 MG 30 G x 1 (/G); BS2

72707; DOCLAXIN ; DOCLAXIN; NOT FOUND; F.AMP 1 G 10 ML x 10 (/200); BU_

55435; DNAREN ; DNAREN; NOT FOUND; AMP. 75 MG 3 ML x 50; BU_

73388; DOCLAXIN ; DOCLAXIN; NOT FOUND; F.AMP 1 G 10 ML x 20 (/200); BU_

58392; DOPABANE ; DOPABANE; NOT FOUND; F.AMP 50 MG 10 ML x 10; BU_

57420; DOBUTARISTON ; DOBUTARISTON; NOT FOUND; AMP. 250 MG 20 ML x 20 (/2ML); BU_

55011; DISOTRON ; DISOTRON; NOT FOUND; F.AMP 5000 IU 5 ML x 25; BU_

33399; DRENALIN ; DRENALIN; NOT FOUND; AMP. 1 ML x 100; BU_

77461; DICLOFENACO SOD.MG ; DICLOFENACO SOD; DICLOFENACO SODICO; AMP. 25 MG 3 ML x 50 (/ML); BU_

3649; DULCOLAX ; DULCOLAX; NOT FOUND; DRAG 5 MG x 20; B_I

47182; DUOVENT ; DUOVENT; NOT FOUND; AERO DOSIS 15 ML x 300; B_I

83718; DUOVENT N ; DUOVENT N; NOT FOUND; AERO DOSIS 10 ML x 200; B_I

74910; DOSATAXEL ; DOSATAXEL; NOT FOUND; F.AMP C/DILU 80 MG 2 ML x 1; C1T

74909; DOSATAXEL ; DOSATAXEL; NOT FOUND; F.AMP C/DILU 20 MG 0.50 ML x 1; C1T

67009; DERMICOSAN ; DERMICOSAN; NOT FOUND; SOLN 60 ML x 1; C6R

67082; DERMICASP ; DERMICASP; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); C6R

3474; DIUREZIN ; DIUREZIN; NOT FOUND; CPR 25 MG x 20; CAZ

61305; DORFLAN ; DORFLAN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); CAZ

61306; DRENIDRA ; DRENIDRA; NOT FOUND; CPR 50 MG x 28; CAZ

56001; DIUREZIN-A ; DIUREZIN A; NOT FOUND; CPR x 30; CAZ

61304; DORFLAN GEL ; DORFLAN GEL; NOT FOUND; GEL. 60 G x 1; CAZ

66498; DOXSOL ; DOXSOL; NOT FOUND; CPR 2 MG x 10; CAZ

57351; DANTALIN ; DANTALIN; NOT FOUND; CPR 100 MG x 25; CAZ

60304; DORFEN ; DORFEN; NOT FOUND; GOTAS 200 MG 15 ML x 1; CAZ

64768; DIUREZIN-E ; DIUREZIN E; NOT FOUND; CPR x 30; CAZ

61283; DEXLERG ; DEXLERG; NOT FOUND; CPR 2 MG x 20; CAZ

64769; DORFEN ; DORFEN; NOT FOUND; SUSP 160 MG 60 ML x 1 (/5ML); CAZ

61303; DORFLAN ; DORFLAN; NOT FOUND; CPR 50 MG x 20; CAZ

48978; DIUREZIN ; DIUREZIN; NOT FOUND; CPR 50 MG x 20; CAZ

78095; DERMEZIL ; DERMEZIL; NOT FOUND; POM. 100 MG 20 G x 1 (/G); CAZ

65616; DRENIDRA ; DRENIDRA; NOT FOUND; CPR 25 MG x 42; CAZ

64765; DERMOBAN ; DERMOBAN; NOT FOUND; CREME 2 % 15 G x 1; CAZ

48979; DORGEN ; DORGEN; NOT FOUND; DRAG 50 MG x 20; CAZ

65615; DEXLERG ; DEXLERG; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); CAZ

71883; DIUREZIN-C ; DIUREZIN C; NOT FOUND; CPR 50 MG x 30 (/25); CAZ

75747; DIMETICONA MG ; DIMETICONA; DIMETICONA; CPR 40 MG x 20; CF2

58226; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 20 ML x 1; CF2

63633; DEXADEN ; DEXADEN; NOT FOUND; ELIXIR 0.50 MG 100 ML x 1 (/5ML); CF2

61500; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 1 MG x 30; CF2

59471; DEXTAMINE ; DEXTAMINE; NOT FOUND; XAR. 120 ML x 1; CF2

58841; DERMODEN ; DERMODEN; NOT FOUND; POM. 45 G x 1; CF2

158999; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 20 (/.25); CF2

77377; DERMARA ; DERMARA; NOT FOUND; LIQD 200 ML x 1; CF2

72339; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 240; CF2

58232; DORILESS ; DORILESS; NOT FOUND; CPR x 12; CF2

59473; DIPROCORT ; DIPROCORT; NOT FOUND; A.IM 1 ML x 1; CF2

55992; DEXADEN ; DEXADEN; NOT FOUND; CREME 0.10 % 10 G x 1; CF2

58233; DORILESS ; DORILESS; NOT FOUND; CPR x 200; CF2

59470; DEXTAMINE ; DEXTAMINE; NOT FOUND; CPR 2 MG x 15 (/.25); CF2

61501; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 2 MG x 30; CF2

59477; DORCIFLEXIN ; DORCIFLEXIN; NOT FOUND; CPR x 144; CF2

60590; DEXADEN ; DEXADEN; NOT FOUND; CPR 0.50 MG x 20; CF2

58224; DIFEBRIL ; DIFEBRIL; NOT FOUND; CPR 500 MG x 100; CF2

3444; DISPEPTRIN ; DISPEPTRIN; NOT FOUND; CPR 400 MG x 20 (/80); CF2

58234; DORILESS ; DORILESS; NOT FOUND; SOLN ORAL 15 ML x 1; CF2

61502; DIAMELLITS ; DIAMELLITS; NOT FOUND; CPR 4 MG x 30; CF2

77552; DERMARA ; DERMARA; NOT FOUND; LIQD 100 ML x 1; CF2

101270; DROSPI+ETINILES MG ; DROSPI ETINILES; NOT FOUND; CPR 3 MG x 21 (/.03); CF2

58225; DIFEBRIL ; DIFEBRIL; NOT FOUND; GOTAS 10 ML x 1; CF2

55437; DIPIMAX ; DIPIMAX; NOT FOUND; GOTAS 500 MG 10 ML x 1 (/ML); CM5

67173; DERMAFEME ; DERMAFEME; NOT FOUND; LI HOT L-FIK 30 ML x 1; CM5

74651; DIPROZIL ; DIPROZIL; NOT FOUND; CREME 30 G x 1; CM5

131027; DICLOF.RESINATO MG ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); CM5

69944; DIPRONIL ; DIPRONIL; NOT FOUND; AMP. 1 ML x 1; CM5

82082; DUCODIL ; DUCODIL; NOT FOUND; CPR REVEST 5 MG x 20; CM5

63730; DIAD ; DIAD; NOT FOUND; CPR 0.75 MG x 2; CM5

64631; DEXMINE ; DEXMINE; NOT FOUND; XAR. 120 ML x 1; CM5

69934; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 1 % 60 G x 1; CM5

75748; DIP.BET+SUL.GEN.MG ; DIP BET SUL GEN; NOT FOUND; CREME 30 G x 1; CM5

68664; DERMAFEME ; DERMAFEME; NOT FOUND; GEL LUB-FIK 25 G x 1; CM5

64630; DEXMINE ; DEXMINE; NOT FOUND; CPR x 20; CM5

50430; DILTIN ; DILTIN; NOT FOUND; GOTAS 7.50 MG 20 ML x 1 (/ML); CM5

112742; DERMAFEME ; DERMAFEME; NOT FOUND; KIT S I L2P1 400 ML x 2; CM5

75746; DERMAFEME ; DERMAFEME; NOT FOUND; LIQ TEEN 200 ML x 1; CM5

75745; DERMAFEME ; DERMAFEME; NOT FOUND; LIQ SENSITIV 200 ML x 1; CM5

72110; DERMAFEME ; DERMAFEME; NOT FOUND; LIQD 200 ML x 1; CM5

74646; DERMAFEME ; DERMAFEME; NOT FOUND; GEL LUB-FIK 50 G x 1; CM5

90808; D.S. ; D S; NOT FOUND; EMULSAO T 40 ML x 1; CT6

95604; DORMIRE ; DORMIRE; NOT FOUND; AMP. 5 MG 10 ML x 50 (/ML); CT6

61472; DIMORF ; DIMORF; NOT FOUND; AMP. 10 MG 1 ML x 5 (/ML); CT6

78937; DORMIRE ; DORMIRE; NOT FOUND; AMP. 1 MG 5 ML x 50 (/ML); CT6

90792; D.S. ; D S; NOT FOUND; GEL NETTOY T 150 ML x 1; CT6

53673; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 60 MG x 60; CT6

53670; DIMORF ; DIMORF; NOT FOUND; AMP. 0.10 MG 2 ML x 50 (/ML); CT6

47543; DIMORF ; DIMORF; NOT FOUND; CPR 10 MG x 50; CT6

59764; DICLOFEN.DIETIL.MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL. 11.6 MG 60 G x 1 (/G); CT6

53682; DORMIRE ; DORMIRE; NOT FOUND; CPR 15 MG x 20; CT6

52870; DIMORF ; DIMORF; NOT FOUND; AMP. 10 MG 1 ML x 50 (/ML); CT6

53671; DIMORF ; DIMORF; NOT FOUND; SOLN ORAL 10 MG 60 ML x 1; CT6

74263; DANTROLEN ; DANTROLEN; NOT FOUND; F.AMP LIOF 20 MG x 12; CT6

89063; DEPIDERM ; DEPIDERM; NOT FOUND; SOL FPS 50 30 ML x 1; CT6

53672; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 30 MG x 60; CT6

58390; DEXAMETASONA MG ; DEXAMETASONA; DEXAMETASONA; ELIXIR 0.10 MG 120 ML x 1 (/ML); CT6

53679; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 5 MG 5 ML x 5; CT6

67271; DEPIDERM ; DEPIDERM; NOT FOUND; SOLN TOP. 30 ML x 1; CT6

53668; DIFENIDRIN ; DIFENIDRIN; NOT FOUND; AMP. 50 MG 1 ML x 25 (/ML); CT6

53678; DOLOSAL ; DOLOSAL; NOT FOUND; AMP. 50 MG 2 ML x 25 (/ML); CT6

49795; DOLOSAL ; DOLOSAL; NOT FOUND; AMP. 50 MG 2 ML x 50 (/ML); CT6

61487; DORMIRE ; DORMIRE; NOT FOUND; SOLN ORAL 2 MG 10 ML x 12 (/ML); CT6

59647; DOPACRIS ; DOPACRIS; NOT FOUND; AMP. 5 MG 10 ML x 50 (/ML); CT6

53674; DIMORF LC ; DIMORF LC; NOT FOUND; CAPS 100 MG x 60; CT6

53681; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 50 MG 10 ML x 5; CT6

89064; DEPIDERM ; DEPIDERM; NOT FOUND; SOL INTENSIV 30 ML x 1; CT6

47439; DIMORF ; DIMORF; NOT FOUND; CPR 30 MG x 50; CT6

53680; DORMIRE ; DORMIRE; NOT FOUND; AMP 2MEQ 15 MG 3 ML x 5; CT6

53669; DIMORF ; DIMORF; NOT FOUND; AMP. 0.20 MG 1 ML x 50 (/ML); CT6

61904; DESINFLEX ; DESINFLEX; NOT FOUND; CAPS RETARD 100 MG x 20; DFP

62823; DEOCIL ; DEOCIL; NOT FOUND; CPR SUBLING. 10 MG x 10; DFP

