56094; ANTUX ; ANTUX; NOT FOUND; XAR. 30 MG 120 ML x 1 (/5ML); A4H
58981; AMPICILINA MG ; AMPICILINA; AMPICILINA; CAPS 500 MG x 12; EUF

71864; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 60; EUF

61508; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR REVES.BD 875 MG x 14; EUF

78515; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; EUF

72099; AMATO ; AMATO; NOT FOUND; CPR REVEST 50 MG x 60; EUF

137548; AIDE 3 ; AIDE 3; NOT FOUND; GOTAS 10 ML x 1; EUF

80222; AIRES ; AIRES; NOT FOUND; GRAN ENVELOP 200 MG 5 G x 8; EUF

58983; AMPICILINA MG ; AMPICILINA; AMPICILINA; SUSP 250 MG 60 ML x 1 (/5ML); EUF

67695; ATMOS ; ATMOS; NOT FOUND; CAPS GELATIN 2.50 MG x 30 (/10); EUF

80223; AIRES ; AIRES; NOT FOUND; GRAN ENVELOP 600 MG 5 G x 8; EUF

68644; ASTRO ; ASTRO; NOT FOUND; CPR REVEST 500 MG x 9; EUF

56998; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 30; EUF

71249; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 28 (/50); EUF

93549; ARTICO ; ARTICO; NOT FOUND; PO SACHET 1.50 G 5 G x 10 (/1.2); EUF

347; ALERGO FILIN.EXPT ; ALERGO FILIN EXPT; NOT FOUND; LIQD 50 ML x 1 (INF); EUF

70367; ASTRO ; ASTRO; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; EUF

72575; ALERGO FILIN.EXPT ; ALERGO FILIN EXPT; NOT FOUND; XAR. AD 120 ML x 1; EUF

54731; ANDOLBA ; ANDOLBA; NOT FOUND; AERO 43 G x 1; EUF

85472; ANDOLBA NF ; ANDOLBA NF; NOT FOUND; CREME. 30 G x 1; EUF

85471; ANDOLBA NF ; ANDOLBA NF; NOT FOUND; AERO 43 G x 1; EUF

72140; ANATEN ; ANATEN; NOT FOUND; CAPS 25 MG x 30 (/5); EUF

84416; ARTICO ; ARTICO; NOT FOUND; PO SACHET 1.50 G 5 G x 30 (/1.2); EUF

67696; ATMOS ; ATMOS; NOT FOUND; CAPS GELATIN 5 MG x 30 (/10); EUF

72027; ATROFARMA ; ATROFARMA; NOT FOUND; AMP. 0.25 MG 1 ML x 100 (/ML); FM_

68615; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; A.IV 24 MG 10 ML x 100; FM_

65277; ATROFARMA ; ATROFARMA; NOT FOUND; AMP. 0.25 MG 1 ML x 50 (/ML); FM_

69420; ALENDIL CALCIO D ; ALENDIL CALCIO D; NOT FOUND; CPR4+C.REV60 x 64; FQM

111971; ABRILAR ; ABRILAR; NOT FOUND; SACHE 7 MG 5 ML x 21 (/ML); FQM

70428; ANNITA ; ANNITA; NOT FOUND; SUSP 20 MG 45 ML x 1 (/ML); FQM

70474; ALENDIL CALCIO D ; ALENDIL CALCIO D; NOT FOUND; CPR4+C.REV30 x 34; FQM

28195; ACTIFEDRIN ; ACTIFEDRIN; NOT FOUND; XAR. 100 ML x 1; FQM

111973; ACTSUN ; ACTSUN; NOT FOUND; LO COLOR F60 60 ML x 1; FQM

129263; ACTSUN ; ACTSUN; NOT FOUND; LOC FAC F60 60 ML x 1; FQM

49480; ASCARICAL ; ASCARICAL; NOT FOUND; CPR 250 MG x 3; FQM

58096; ALENDIL ; ALENDIL; NOT FOUND; CPR 70 MG x 4; FQM

53322; AZITRAX GU ; AZITRAX GU; NOT FOUND; CPR 1000 MG x 1; FQM

54963; AZITRAX GU ; AZITRAX GU; NOT FOUND; CPR 1000 MG x 2; FQM

111980; ACTSUN ; ACTSUN; NOT FOUND; LOCAO FPS30 120 ML x 1; FQM

118; ACTIFEDRIN ; ACTIFEDRIN; NOT FOUND; CPR x 20; FQM

62118; ABRILAR ; ABRILAR; NOT FOUND; XPE 35 MG 100 ML x 1 (/5ML); FQM

63822; ALENDIL ; ALENDIL; NOT FOUND; CPR 70 MG x 12; FQM

59544; ALENDIL ; ALENDIL; NOT FOUND; CPR 70 MG x 2; FQM

69510; ABRILAR ; ABRILAR; NOT FOUND; SACHE EFERV 3.40 G x 10; FQM

129264; ACTSUN ; ACTSUN; NOT FOUND; LOC FAC F45 60 ML x 1; FQM

73914; ABRILAR ; ABRILAR; NOT FOUND; XPE 35 MG 200 ML x 1 (/5ML); FQM

62119; ADOLESS ; ADOLESS; NOT FOUND; CPR REVEST x 28; FQM

70427; ANNITA ; ANNITA; NOT FOUND; CPR REVEST 500 MG x 6; FQM

70429; ANNITA ; ANNITA; NOT FOUND; SUSP 20 MG 100 ML x 1 (/ML); FQM

111977; ACTSUN ; ACTSUN; NOT FOUND; LOC FAC FP30 60 ML x 1; FQM

49771; AXID ; AXID; NOT FOUND; CAPS 150 MG x 20; FQM

60944; ALENDIL ; ALENDIL; NOT FOUND; CPR 70 MG x 8; FQM

142935; AGUA DESTILADA ; AGUA DESTILADA; NOT FOUND; LIQ S/F 500 ML x 30; FRS

75841; AMINOVEN ; AMINOVEN; NOT FOUND; SOLN INJ. 10 % 500 ML x 1; FRS

142937; AGUA DESTILADA ; AGUA DESTILADA; NOT FOUND; LIQ S/F 1000 ML x 16; FRS

76097; AMINOVEN ; AMINOVEN; NOT FOUND; SOLN INJ. 10 % 1000 ML x 1; FRS

75840; AMINOVEN ; AMINOVEN; NOT FOUND; SOLN INJ INF 10 % 100 ML x 1; FRS

74386; ALDURAZYME ; ALDURAZYME; NOT FOUND; F.AMP 2.90 MG 5 ML x 1 (/5ML); GEZ

49990; AVENO ; AVENO; NOT FOUND; EMULS 100 ML x 1; GLD

88960; AQUACLIN GEL TRATA ; AQUACLIN GEL TRATA; NOT FOUND; GEL . 60 G x 1; GLD

88948; AQUACLIN ; AQUACLIN; NOT FOUND; SAB SECATIVO 90 G x 1; GLD

88953; AQUACLIN ; AQUACLIN; NOT FOUND; GEL ESFOLIAN 60 G x 1; GLD

51149; ARCOLAN ; ARCOLAN; NOT FOUND; XAMP 2 % 100 ML x 1; GLD

60784; AVICIS ; AVICIS; NOT FOUND; SOLN 0.025 % 100 ML x 1; GLD

45162; AVENO ; AVENO; NOT FOUND; SABAO 80 G x 1; GLD

154145; ACTINICA ; ACTINICA; NOT FOUND; LOCAO F50+ 80 G x 1; GLD

103537; AQUACLIN ; AQUACLIN; NOT FOUND; SAB ESFOLIAN 90 G x 1; GLD

103541; AQUACLIN GEL TRATA ; AQUACLIN GEL TRATA; NOT FOUND; GEL BASE 20 G x 1; GLD

60137; ASCARIZOLE ; ASCARIZOLE; NOT FOUND; CPR 150 MG x 50 (ADLT); GLO

65006; ANAGRIPE ; ANAGRIPE; NOT FOUND; CAPS x 20; GLO

55947; AMOXICAP ; AMOXICAP; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); GLO

64828; ACETITOL ; ACETITOL; NOT FOUND; CPR 750 MG x 20; GLO

63681; AMOXICAP ; AMOXICAP; NOT FOUND; CAPS 500 MG x 21; GLO

55946; AMOXICAP ; AMOXICAP; NOT FOUND; CAPS 500 MG x 12; GLO

66003; AMBROSIL ; AMBROSIL; NOT FOUND; CPR 400 MG x 24; GLO

48898; AMBROSIL ; AMBROSIL; NOT FOUND; CPR 250 MG x 20; GLO

76824; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 5; GLO

55935; ALBENIX ; ALBENIX; NOT FOUND; SUSP 4 % 10 ML x 1; GLO

66254; ANGITENS ; ANGITENS; NOT FOUND; CPR 50 MG x 30; GLO

65002; AMOXICAP ; AMOXICAP; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); GLO

55934; ALBENIX ; ALBENIX; NOT FOUND; CPR MASC 200 MG x 2; GLO

164629; APETISINA BC ; APETISINA BC; NOT FOUND; LIQ FRU VER 240 ML x 1; GLO

66293; ANAGRIPE ; ANAGRIPE; NOT FOUND; GOTAS 20 ML x 1; GLO

66004; AMBROSIL ; AMBROSIL; NOT FOUND; GEL. VAG. 500 MG 50 G x 1 (/5G); GLO

66492; ANGITENS ; ANGITENS; NOT FOUND; CPR 25 MG x 30; GLO

66294; ANAGRIPE ; ANAGRIPE; NOT FOUND; XAR. 100 ML x 1; GLO

76281; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; GLO

47844; ANEMIPLUS ; ANEMIPLUS; NOT FOUND; DRAG x 50; GLO

66493; ANGITENS ; ANGITENS; NOT FOUND; CPR 100 MG x 30; GLO

64829; ACETITOL ; ACETITOL; NOT FOUND; CPR 750 MG x 200; GLO

164630; APETISINA BC ; APETISINA BC; NOT FOUND; LIQ UVA 240 ML x 1; GLO

74750; ANAGRIPE ; ANAGRIPE; NOT FOUND; CAPS x 100; GLO

60129; ALBENIX ; ALBENIX; NOT FOUND; CPR MASC 400 MG x 1; GLO

48899; AMBROSIL ; AMBROSIL; NOT FOUND; SUSP 200 MG 80 ML x 1 (/5ML); GLO

73406; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 12 (/125); GM2

92383; ACECLOFENACO CP MG ; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 24; GM2

66081; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); GM2

68717; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 16; GM2

71246; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR 500 MG x 21; GM2

69731; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 1 G x 1; GM2

66680; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 25 MG x 30 (/100); GM2

66678; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 25 MG x 30; GM2

80447; ANNLOE ; ANNLOE; NOT FOUND; CR ROSTO/MAO 50 ML x 1; GM2

70021; ALGE.AC+ENA.EST.MG ; ALGE AC ENA EST; NOT FOUND; A.IM 150 MG 1 ML x 1; GM2

66085; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR MASC 400 MG x 1; GM2

66679; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 50 MG x 30; GM2

78993; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 40 MG x 30; GM2

70025; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 30; GM2

69306; ALBENDAZOL SUSP MG ; ALBENDAZOL SUSP; NOT FOUND; SUSP ORAL 40 MG 10 ML x 1 (/ML); GM2

78994; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; GM2

80443; ACNUSS ; ACNUSS; NOT FOUND; GEL SER A/C 30 ML x 1; GM2

105402; ACNUSS PLUS ; ACNUSS PLUS; NOT FOUND; FL G AIR LES 30 ML x 1; GM2

66083; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); GM2

86042; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; PO P/SUSP 400 MG 70 ML x 1 (/57; GM2

78518; ATORLESS ; ATORLESS; NOT FOUND; CPR REVEST 20 MG x 30; GM2

70022; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 30; GM2

66080; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 5 MG 120 ML x 1 (/5ML); GM2

84637; ACNOVA ; ACNOVA; NOT FOUND; CAPS 20 MG x 30; GM2

66674; ACETON.TRIANCIN.MG ; ACETON TRIANCIN; NOT FOUND; POM.BUCAL 1 MG 10 G x 1 (/G); GM2

68719; ALENDRONATO SOD.MG ; ALENDRONATO SOD; NOT FOUND; CPR 70 MG x 4; GM2

72270; ACECLOFENACO MG ; ACECLOFENACO; ACECLOFENACO; CREME DERMAT 15 MG 30 G x 1 (/G); GM2

79054; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 80 MG x 30; GM2

78519; ATORLESS ; ATORLESS; NOT FOUND; CPR REVEST 40 MG x 30; GM2

66088; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; GM2

70023; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 30; GM2

66086; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.25 MG x 20; GM2

58167; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 250 MG 150 ML x 1 (/5ML); GM2

66089; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; SUSP ORAL 400 MG 100 ML x 1 (/5ML); GM2

78517; ATORLESS ; ATORLESS; NOT FOUND; CPR REVEST 10 MG x 30; GM2

58166; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 21; GM2

69422; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); GM2

70573; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 10; GM2

69357; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 100 MG 5 G x 16; GM2

72907; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME DERMAT 1 MG 10 G x 1 (/G); GM2

70026; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 30; GM2

68137; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; CREME 30 G x 1; GM2

66087; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; GM2

80444; ANNLOE ; ANNLOE; NOT FOUND; CREME CORPO 200 ML x 1; GM2

68753; ADAPALENO MG ; ADAPALENO; ADAPALENO; GEL. 1 MG 30 G x 1 (/G); GM2

80446; ANNLOE ; ANNLOE; NOT FOUND; ESPUMA LIMP 150 ML x 1; GM2

70024; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 2 MG x 20; GM2

66090; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CPR REVEST 875 MG x 14; GM2

68136; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; POM. 30 G x 1; GM2

58165; AMOXICILINA MG ; AMOXICILINA; AMOXICILINA; CAPS 500 MG x 15; GM2

68515; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. INF 20 MG 120 ML x 1 (/ML); GM2

73407; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 14 (/125); GM2

92381; ACECLOFENACO CP MG ; ACECLOFENACO CP; NOT FOUND; CPR REVEST 100 MG x 12; GM2

66681; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 12.5 MG x 30 (/50); GM2

75455; ACID.MEFENAMICO MG ; ACID MEFENAMICO; ACIDO MEFENAMICO; CPR 500 MG x 24; GM2

68754; ADAPALENO MG ; ADAPALENO; ADAPALENO; CREME 1 MG 30 G x 1 (/G); GM2

68516; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. AD 40 MG 120 ML x 1 (/ML); GM2

66677; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; GM2

69305; ALBENDAZOL MG ; ALBENDAZOL; ALBENDAZOL; CPR MASC 200 MG x 2; GM2

84635; ACNOVA ; ACNOVA; NOT FOUND; CAPS 10 MG x 30; GM2

78995; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 20 MG x 30; GM2

72337; ADACNE CLIN ; ADACNE CLIN; NOT FOUND; GEL. 30 G x 1; GMK

67121; AEROCORT S ; AEROCORT S; NOT FOUND; AERO DOSIS 100 Y x 200 (/50Y); GMK

52724; ALGI TANDERIL ; ALGI TANDERIL; NOT FOUND; CPR BLISTER x 30; GMK

69638; ALGI TANDERIL ; ALGI TANDERIL; NOT FOUND; CPR x 12; GMK

81729; ADACNE SEC ; ADACNE SEC; NOT FOUND; SAB 90 G x 1; GMK

67122; AEROGOLD ; AEROGOLD; NOT FOUND; AERO 100 Y x 200 (/DOS); GMK

69171; ADACNE ; ADACNE; NOT FOUND; GEL. 1 MG 30 G x 1 (/G); GMK

78094; ADACNE CLIN ; ADACNE CLIN; NOT FOUND; GEL. 45 G x 1; GMK

70424; ALBEL ; ALBEL; NOT FOUND; CPR 400 MG x 500; GOB

107744; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 150; GOB

76194; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); GOB

75966; ALPHABRIN ; ALPHABRIN; NOT FOUND; SOLN OFTAL 2 MG 5 ML x 1 (/ML); GOB

120313; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 100 MG x 30 (/25); GOB

75967; ALPHABRIN ; ALPHABRIN; NOT FOUND; SOLN OFTAL P 1.50 MG 5 ML x 1 (/ML); GOB

92705; ARARTAN ; ARARTAN; NOT FOUND; CPR REVEST 50 MG x 30; GOB

73095; AC DEXAMETASONA MG ; AC DEXAMETASONA; ACETATO DEXAMETASONA; CREME 1 MG 10 G x 1 (/G); GOB

106123; ARGEVIT C ; ARGEVIT C; NOT FOUND; PO EFERV LAR 4 G x 10; GOB

120314; ATENOLOL+CLORTA.MG ; ATENOLOL CLORTA; NOT FOUND; CPR 50 MG x 30 (/12); GOB

106124; ARGEVIT C ; ARGEVIT C; NOT FOUND; PO EFERV LAR 4 G x 50; GOB

74931; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); GOB

92655; ARARTAN ; ARARTAN; NOT FOUND; CPR REVEST 100 MG x 30; GOB

84480; ALBEL ; ALBEL; NOT FOUND; SUSP 40 MG 10 ML x 60 (/ML); GOB

76587; AMIORON ; AMIORON; NOT FOUND; CPR 100 MG x 500; GOB

69899; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); GOB

68360; ALBEL ; ALBEL; NOT FOUND; SUSP 200 MG 10 ML x 1 (/5ML); GOB

95434; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 100; GOB

68359; ALBEL ; ALBEL; NOT FOUND; CPR 400 MG x 1; GOB

83338; AZITROMICINA MG ; AZITROMICINA; AZITROMICINA; CPR REVEST 500 MG x 3; GOB

67439; AMIORON ; AMIORON; NOT FOUND; CPR 200 MG x 500; GOB

74930; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. AD 50 MG 120 ML x 1 (/5ML); GOB

75587; ACETON.TRIANCIN.MG ; ACETON TRIANCIN; NOT FOUND; POM.BUCAL 1 MG 10 G x 1 (/G); GOB

76273; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE ADLT 40 MG 120 ML x 1 (/ML); GOB

64832; AMIORON ; AMIORON; NOT FOUND; CPR 100 MG x 20; GOB

131059; ACET.PREDNISOLO.MG ; ACET PREDNISOLO; ACETATO PREDNISOLONA; SUS OFTAL 10 MG 5 ML x 1 (/ML); GOB

64833; AMIORON ; AMIORON; NOT FOUND; CPR 200 MG x 20; GOB

52158; AEROGREEN ; AEROGREEN; NOT FOUND; XAR. 0.40 MG 100 ML x 1 (/ML); GP8

61090; AZITROMICIL ; AZITROMICIL; NOT FOUND; CPR REVEST 500 MG x 3; GP8

59749; ATENUOL ; ATENUOL; NOT FOUND; CPR 50 MG x 28; GP8

52157; AEROGREEN ; AEROGREEN; NOT FOUND; CPR 4 MG x 20; GP8

52156; AEROGREEN ; AEROGREEN; NOT FOUND; CPR 2 MG x 20; GP8

66462; AZITROMICIL ; AZITROMICIL; NOT FOUND; CPR REVEST 1 G x 1; GP8

61035; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 100 MG x 200; GP8

59752; AZITROMICIL ; AZITROMICIL; NOT FOUND; PO P/SUSP 600 MG 15 ML x 1; GP8

61036; AC.ACETIL-SALIC MG ; AC ACETIL SALIC; NOT FOUND; CPR 500 MG x 200; GP8

59753; AZITROMICIL ; AZITROMICIL; NOT FOUND; PO P/SUSP 900 MG 22.5 ML x 1; GP8

1019; ASSEPIUM ; ASSEPIUM; NOT FOUND; SUSP 240 MG 50 ML x 1 (/5ML); GRO

51911; ADEFORTE ; ADEFORTE; NOT FOUND; GOTAS 15 ML x 1; GRO

66675; ADEFORTE ; ADEFORTE; NOT FOUND; AMP.OR 3 ML x 3; GRO

163257; ADEFORTE MAIS ; ADEFORTE MAIS; NOT FOUND; CAPS MAST x 30; GRO

130; ADEFORTE ; ADEFORTE; NOT FOUND; AMP.OR 3 ML x 1; GRO

49221; ASSEPIUM ; ASSEPIUM; NOT FOUND; SUSP 240 MG 100 ML x 1 (/5ML); GRO

106708; ADEFORTE ; ADEFORTE; NOT FOUND; CAPS x 60; GRO

66676; ADEFORTE ; ADEFORTE; NOT FOUND; AMP.OR 3 ML x 25; GRO

31180; ASSEPIUM BALSAMICO ; ASSEPIUM BALSAMICO; NOT FOUND; SUSP 100 ML x 1; GRO

66577; ACEINA ; ACEINA; NOT FOUND; GOTAS 200 MG 20 ML x 1 (/ML); HPO

60222; ACEINA INJETAVEL ; ACEINA INJETAVEL; NOT FOUND; AMP. 500 MG 5 ML x 100; HPO

46730; ADREN ; ADREN; NOT FOUND; AMP. 1 MG 1 ML x 100; HPO

71304; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; A.IV 24 MG 10 ML x 100; HPO

64994; AEROCLEAN ; AEROCLEAN; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); HPO

62160; ACETAM ; ACETAM; NOT FOUND; CPR 500 MG x 200; HPO

49472; ACEINA INJETAVEL ; ACEINA INJETAVEL; NOT FOUND; AMP. 1 G 5 ML x 100; HPO

124898; AC TRANEXAMICO MG ; AC TRANEXAMICO; ACIDO TRANEXAMICO; SOL INJ 50 MG 5 ML x 100 (/ML); HPO

64996; AEROCLEAN ; AEROCLEAN; NOT FOUND; AMP. 0.50 MG 1 ML x 100; HPO

77978; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 100 MG x 20; HPO

76688; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 100 MG x 500; HPO

84642; ADENOSINA MG ; ADENOSINA; ADENOSINA; AMP. 3 MG 2 ML x 2 (/ML); HPO

71540; ATROPINA MG ; ATROPINA; ATROPINA; AMP. 0.25 MG 1 ML x 100; HPO

88133; ADENOSINA MG ; ADENOSINA; ADENOSINA; AMP. 3 MG 2 ML x 50 (/ML); HPO

60062; ATROPINON ; ATROPINON; NOT FOUND; AMP. 250 MG 1 ML x 100; HPO

65000; AMICAL ; AMICAL; NOT FOUND; AMP. 500 MG 2 ML x 100; HPO

73350; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; A.IV 24 MG 10 ML x 100 (/ML); HYP

77151; AMINOLEX ; AMINOLEX; NOT FOUND; AMP. 24 MG 10 ML x 100 (/ML); H_I

58688; AMPLOSPEC ; AMPLOSPEC; NOT FOUND; F.AMP S/DILU 1 G x 50; I_B

54831; AMPLOSPEC ; AMPLOSPEC; NOT FOUND; F.IV SOLV 1 G x 1; I_B

69217; AZANEM ; AZANEM; NOT FOUND; F.AMP C/DILU 1 G 3 ML x 1; I_B

62370; AGAROL NF ; AGAROL NF; NOT FOUND; EMULS MORAN. 240 ML x 1; J_J

52834; ANTI-SEPTICO ; ANTI SEPTICO; NOT FOUND; SABAO LIQD 250 ML x 1; J_J

62369; AGAROL NF ; AGAROL NF; NOT FOUND; EMULS 240 ML x 1; J_J

50946; ANTI-SEPTICO ; ANTI SEPTICO; NOT FOUND; SPRAY 50 ML x 1; J_J

67437; AMFLOX ; AMFLOX; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); L4S

62266; ALERGALIV ; ALERGALIV; NOT FOUND; CPR 10 MG x 12; LG6

70148; ALGE.AC+ENA.EST.MG ; ALGE AC ENA EST; NOT FOUND; A.IM 150 MG 1 ML x 1 (/10); LG6

68142; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; GRAN ENVELO. 600 MG 5 G x 16; LG6

68147; ADAPALENO MG ; ADAPALENO; ADAPALENO; CREME 1 MG 30 G x 1 (/G); LG6

68134; AC TR+S.N+GR+NI.MG ; AC TR S N GR NI; NOT FOUND; CREME 30 G x 1; LG6

57935; ANSIALEN B6 ; ANSIALEN B6; NOT FOUND; CPR x 20; LG6

85672; ADAPTIS GEL ; ADAPTIS GEL; NOT FOUND; GEL OFTAL 0.20 % 10 G x 1; LG6

78692; ATORVASTATINA MG ; ATORVASTATINA; ATORVASTATINA; CPR REVEST 10 MG x 30; LG6

75523; ACID.MEFENAMICO MG ; ACID MEFENAMICO; ACIDO MEFENAMICO; CPR 500 MG x 24; LG6

32394; AMPIGRAN ; AMPIGRAN; NOT FOUND; CAPS 500 MG x 12; LG6

68138; ACEBROFILINA MG ; ACEBROFILINA; ACEBROFILINA; XAR. PED. 25 MG 120 ML x 1 (/5ML); LG6

68957; ACICLOVIR MG ; ACICLOVIR; ACICLOVIR; CREME 50 MG 10 G x 1 (/G); LG6

71599; ATENOLOL MG ; ATENOLOL; ATENOLOL; CPR 100 MG x 30; LG6

73803; AMOXI+CLAVU.POT.MG ; AMOXI CLAVU POT; NOT FOUND; CPR REVEST 875 MG x 14 (/125); LG6

77228; AC FUSI+VAL BET MG ; AC FUSI VAL BET; NOT FOUND; CREME DERMAT 15 G x 1; LG6

68155; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 1 MG x 20; LG6

89129; ACECLOFENACO MG ; ACECLOFENACO; ACECLOFENACO; CPR REVEST 100 MG x 12; LG6

77950; AH-ZUL ; AH ZUL; NOT FOUND; CPR REVEST 50 MG x 2; LG6

68154; ALPRAZOLAM MG ; ALPRAZOLAM; ALPRAZOLAM; CPR 0.50 MG x 20; LG6

85592; ADAPTIS ; ADAPTIS; NOT FOUND; SOL OFTAL 0.50 % 10 ML x 1; LG6

68143; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); LG6

77949; AH-ZUL ; AH ZUL; NOT FOUND; CPR REVEST 25 MG x 4; LG6

94184; ACECLO-GRAN ; ACECLO GRAN; NOT FOUND; CPR REVEST 100 MG x 12; LG6

68145; ACETILCISTEINA MG ; ACETILCISTEINA; ACETILCISTEINA; XPE INF. 20 MG 120 ML x 1 (/ML); LG6

