81082; HIDRADEEP ; HIDRADEEP; NOT FOUND; BAST LAB F30 5.50 G x 1; A4H
82377; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME 30 G x 1; MD7

75183; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; MD7

82369; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME 15 G x 1; MD7

75025; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; MD7

150184; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; MDQ

85662; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 25 MG x 60; MDQ

82739; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 25 MG x 30; MDQ

75563; HIDROXIMED ; HIDROXIMED; NOT FOUND; SUSP 61.5 MG 240 ML x 1 (/ML); MDQ

64213; HIDROFLUX ; HIDROFLUX; NOT FOUND; CPR 50 MG x 20; MDQ

150185; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 60; MDQ

86864; HORA H UNO ; HORA H UNO; NOT FOUND; CPR 1.50 MG x 1; ME4

77022; HELMILAB ; HELMILAB; NOT FOUND; SUSP 20 MG 30 ML x 1 (/ML); NAU

92514; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 UVA 500 ML x 1; NAU

91404; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 GUARA 500 ML x 1; NAU

78552; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV NATU 2.79 G x 50; NAU

78052; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV LARAN 28.8 G x 4; NAU

91405; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 T FRU 500 ML x 1; NAU

77468; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV NATU 27.9 G x 4; NAU

91406; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 A COC 500 ML x 1; NAU

78051; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV GUARA 28.8 G x 4; NAU

78053; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV T FRU 28.8 G x 4; NAU

78050; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV COCO 28.8 G x 4; NAU

92512; HIDRALYTE ; HIDRALYTE; NOT FOUND; LIQ 45 LARA 500 ML x 1; NAU

78118; HIDRAPLEX ; HIDRAPLEX; NOT FOUND; PO ENV UVA 27.9 G x 4; NAU

96976; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 3 MG x 30; NQA

114527; HIDROQUINONA MG ; HIDROQUINONA; HIDROQUINONA; CREME 40 MG 30 G x 1 (/G); NQA

97187; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 10; NQA

140529; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERM 15 G x 1; NQA

96979; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 4.50 MG x 30; NQA

140530; HIDR+TRE+AC FLU MG ; HIDR TRE AC FLU; NOT FOUND; CREME DERM 30 G x 1; NQA

96981; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 6 MG x 30; NQA

96378; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REVEST 10 MG x 20; NQA

96971; HE RIVASTIGMINA MG ; HE RIVASTIGMINA; NOT FOUND; CAPS 1.50 MG x 30; NQA

78211; HEMORROYDINA ; HEMORROYDINA; NOT FOUND; POM. 25 G x 1; NV7

31668; HYDERGINE ; HYDERGINE; NOT FOUND; CPR 4.50 MG x 14; NVR

52981; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 28; NVR

5499; HYDERGINE ; HYDERGINE; NOT FOUND; AMP. 1 MG 1 ML x 50; NVR

28626; HYDERGINE ; HYDERGINE; NOT FOUND; CAPS 1 MG x 36; NVR

95751; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 14; NVR

46435; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 42; NVR

27923; HIGROTON RES. ; HIGROTON RES; NOT FOUND; CPR 50 MG x 20; NVR

47398; HIGROTON ; HIGROTON; NOT FOUND; CPR 50 MG x 28; NVR

49594; HIGROTON ; HIGROTON; NOT FOUND; CPR 12.5 MG x 42; NVR

89072; HIGROTON ; HIGROTON; NOT FOUND; CPR 25 MG x 14; NVR

5502; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 1 MG 30 ML x 1 (/ML); NVR

51696; HYDERGINE SRO ; HYDERGINE SRO; NOT FOUND; CAPS L.P. 6 MG x 14; NVR

54601; HYPOTEARS PLUS DU ; HYPOTEARS PLUS DU; NOT FOUND; FLACONETES 50 MG 0.40 ML x 20 (/; NVR

32129; HYDERGINE ; HYDERGINE; NOT FOUND; GOTAS 4.50 MG 15 ML x 1 (/ML); NVR

64788; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.FRAMB 15.1 G x 12; N_Q

52769; HIPERNOLOL ; HIPERNOLOL; NOT FOUND; CPR 40 MG x 40; N_Q

50984; HISTAMIN ; HISTAMIN; NOT FOUND; CPR 2 MG x 20; N_Q

62500; HIDRATIL 90 ; HIDRATIL 90; NOT FOUND; PO ENVELOPE 14.1 G x 50; N_Q

92863; HISTAMIN ; HISTAMIN; NOT FOUND; CREME 10 MG 30 G x 1 (/G); N_Q

55782; HIPERNOLOL ; HIPERNOLOL; NOT FOUND; CPR 80 MG x 20; N_Q

53435; HECLIVIR ; HECLIVIR; NOT FOUND; CREME 0.50 % 10 G x 1; N_Q

63014; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.LARAN 15.1 G x 50; N_Q

63013; HIDRATIL 45 ; HIDRATIL 45; NOT FOUND; PO ENV.LARAN 15.1 G x 12; N_Q

78119; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; N_Q

50983; HIPODERMON ; HIPODERMON; NOT FOUND; POM. 45 G x 1; N_Q

50985; HISTAMIN ; HISTAMIN; NOT FOUND; LIQD 2 MG 100 ML x 1; N_Q

53434; HECLIVIR ; HECLIVIR; NOT FOUND; CPR 200 MG x 25; N_Q

61665; HIDRATIL 90 ; HIDRATIL 90; NOT FOUND; PO ENVELOPE 14.1 G x 12; N_Q

63757; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 20; N_Q

85245; HISTAMIN EXPECTO ; HISTAMIN EXPECTO; NOT FOUND; SOL ORAL. 120 ML x 1; N_Q

75302; HIPERTONIC ; HIPERTONIC; NOT FOUND; SOLN OFTAL 5 % 10 ML x 1; OHL

75205; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 30; P7B

67551; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 500; P7B

75301; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 50 MG x 30; P7B

63264; HERVIRAX ; HERVIRAX; NOT FOUND; CREME 50 MG 10 G x 1 (/G); P7B

62241; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 50 MG x 20; P7B

63263; HERVIRAX ; HERVIRAX; NOT FOUND; CPR 200 MG x 25; P7B

80488; HERVIRAX ; HERVIRAX; NOT FOUND; POM. OFTAL 30 MG 4.50 G x 1 (/G); P7B

62240; HIDROLESS ; HIDROLESS; NOT FOUND; CPR 25 MG x 20; P7B

80244; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 135+45G+NE 180 G x 1; PRG

66568; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 90 G x 1; PRG

80246; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 80+40G+BI 120 G x 1; PRG

75983; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 45G+90G+FR 135 G x 1; PRG

75788; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; CREME AME 40 G x 1; PRG

140533; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 4AHA+1CSBM 40 G x 1; PRG

58017; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 45 G x 1; PRG

64097; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 100 G x 1; PRG

71085; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; POM. 135 G x 1; PRG

120343; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K AM L4P3 40 G x 1; PRG

80245; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 40+80G+NE 120 G x 1; PRG

75789; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; CREME AME 80 G x 1; PRG

74761; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; KIT 45G+90G 135 G x 1; PRG

140532; HIPOGLOS NF ; HIPOGLOS NF; NOT FOUND; K 4AHA+1CSBG 40 G x 1; PRG

69683; HEMATOFER ; HEMATOFER; NOT FOUND; CPR REVEST 109 MG x 200; PZ8

94281; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 200 (/ML); PZ8

74289; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 30; PZ8

74288; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 30; PZ8

104625; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 30 ML x 1 (/ML); PZ8

78407; H AL+H MAG+SIM MG ; H AL H MAG SIM; NOT FOUND; LIQD CEREJA 240 ML x 1; PZ8

63555; HIDROX.ALUMINIO MG ; HIDROX ALUMINIO; NOT FOUND; SUSP 61.5 MG 100 ML x 50 (/ML); PZ8

63081; HEMATOFER ; HEMATOFER; NOT FOUND; CPR REVEST 109 MG x 500; PZ8

74615; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 50 MG x 400; PZ8

74616; HIDROCLOROTIAZI.MG ; HIDROCLOROTIAZI; NOT FOUND; CPR 25 MG x 400; PZ8

63082; HIDROX.ALUMINIO MG ; HIDROX ALUMINIO; NOT FOUND; SUSP 61.5 MG 240 ML x 1 (/ML); PZ8

52337; HERPESIL ; HERPESIL; NOT FOUND; CREME 5 % 10 G x 1; SDZ

58013; HERPESIL ; HERPESIL; NOT FOUND; CPR 200 MG x 30; SDZ

67102; HERPESIL ; HERPESIL; NOT FOUND; CPR 200 MG x 25; SDZ

91005; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOCAO FACIAL 60 ML x 1; STF

49335; HELMI-PED ; HELMI PED; NOT FOUND; SUSP 30 ML x 1; STF

50799; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOC. 120 ML x 1; STF

76056; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL ANT/AGI 30 G x 1; STF

109613; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOCAO CREMOS 150 G x 1; STF

91003; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL FACIAL 60 ML x 1; STF

49157; HIDRAFIL ; HIDRAFIL; NOT FOUND; LOC. 60 ML x 1; STF

56727; HIDRAPEL PLUS ; HIDRAPEL PLUS; NOT FOUND; LOC. 120 ML x 1; STF

78123; HIDRAFIL ; HIDRAFIL; NOT FOUND; SAB LIQ FAC 60 ML x 1; STF

53494; HIDRAFIL ; HIDRAFIL; NOT FOUND; GEL. 60 G x 1; STF

54674; HIDRAPEL PLUS ; HIDRAPEL PLUS; NOT FOUND; CREME 60 G x 1; STF

78622; HIDRAFIL ; HIDRAFIL; NOT FOUND; C.ANT/AG MAO 50 G x 1; STF

78124; HIDRAFIL ; HIDRAFIL; NOT FOUND; TONICO HIDRA 200 ML x 1; STF

57739; HIDRAFIL ; HIDRAFIL; NOT FOUND; CR.EYECARE 15 G x 1; STF

78624; HIDRAFIL ; HIDRAFIL; NOT FOUND; K A AG/MA/EY 95 G x 1; STF

53495; HIDRAFIL ; HIDRAFIL; NOT FOUND; SABAO 100 G x 1; STF

86235; HIDRAFIL ; HIDRAFIL; NOT FOUND; K AAG/M/E NC 95 G x 1; STF

5245; HEMOGENIN ; HEMOGENIN; NOT FOUND; CPR 50 MG x 10; S_A

5353; HIDANTAL ; HIDANTAL; NOT FOUND; AMP. 50 MG 5 ML x 50 (/ML); S_A

5338; HEXOMEDINE ; HEXOMEDINE; NOT FOUND; SPRAY 30 ML x 1; S_A

5356; HIDANTAL ; HIDANTAL; NOT FOUND; CPR 100 MG x 25; S_A

61869; HEXOMEDINE ; HEXOMEDINE; NOT FOUND; SPRAY 50 ML x 1; S_A

135014; HIDRASTAR ; HIDRASTAR; NOT FOUND; CREME 120 G x 1; S_A

135021; HIDRASTAR ; HIDRASTAR; NOT FOUND; LOCAO 120 ML x 1; S_A

103011; HEVELAIR ; HEVELAIR; NOT FOUND; XAR 7 MG 100 ML x 1 (/ML); TAK

49003; HIDRAFIX 90 ; HIDRAFIX 90; NOT FOUND; FLACONETES 25 ML x 2; TAK

52515; HIDRAFIX 90 ; HIDRAFIX 90; NOT FOUND; SOLN ORAL 250 ML x 1; TAK

65086; HYGINE ; HYGINE; NOT FOUND; ESPUMA VAG. 50 ML x 1; TSK

66959; HELYAGE ; HELYAGE; NOT FOUND; GE.O/F U.F15 50 G x 1; TSK

50527; HIOSPAN CPTO DRAG ; HIOSPAN CPTO DRAG; NOT FOUND; DRAG x 20; TTB

85571; HIPODERTRAT ; HIPODERTRAT; NOT FOUND; POM DERM 60 G x 1; TTB

104618; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 10; TTB

78092; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 400 MG x 24; TTB

72807; HALOPER ; HALOPER; NOT FOUND; CPR 5 MG x 100; TTB

46954; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 250 MG x 20; TTB

49988; HINCOMOX ; HINCOMOX; NOT FOUND; CAPS 500 MG x 12; TTB

74479; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 45 G x 1; TTB

123861; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 400 ML x 1; TTB

59814; HIPERIL ; HIPERIL; NOT FOUND; CAPS GELATIN 300 MG x 30; TTB

49007; HIPODERME ; HIPODERME; NOT FOUND; POM. 45 G x 1; TTB

75354; HIPODERME ; HIPODERME; NOT FOUND; CREME OMEGA 90 G x 1; TTB

46955; HELMIZOL ; HELMIZOL; NOT FOUND; SUSP 200 MG 80 ML x 1 (/5ML); TTB

100129; HEMORFREE ; HEMORFREE; NOT FOUND; POM. 25 G x 1; TTB

73009; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; AMP. 5 MG 1 ML x 60; TTB

135645; HIPODERME BABY ; HIPODERME BABY; NOT FOUND; OLEO PURO 200 ML x 1; TTB

104619; HEM ZOLPIDEM MG ; HEM ZOLPIDEM; NOT FOUND; CPR REV 10 MG x 20; TTB

49376; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 60 ML x 1 (/5ML); TTB

51411; HIOSPAN ; HIOSPAN; NOT FOUND; AMP. 20 MG 1 ML x 6 (/ML); TTB

75461; HIPODERME ; HIPODERME; NOT FOUND; POM. 90 G x 1; TTB

50526; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 3; TTB

129257; HYNIB TABS ; HYNIB TABS; NOT FOUND; TABS MAS COC x 60; TTB

55748; HIOSPAN COMPOSTO ; HIOSPAN COMPOSTO; NOT FOUND; AMP. 5 ML x 100; TTB

111576; HINCOMOX ; HINCOMOX; NOT FOUND; POLVO SUSP. 250 MG 60 ML x 50 (/ML); TTB

89900; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 45 G x 1; TTB

50528; HIOSPAN CPTO GO ; HIOSPAN CPTO GO; NOT FOUND; GOTAS 20 ML x 1; TTB

89886; HIPODERME AMENDOAS ; HIPODERME AMENDOAS; NOT FOUND; CREME 90 G x 1; TTB

55024; HELMIZOL ; HELMIZOL; NOT FOUND; CPR 500 MG x 20; TTB

52224; HELMIZOL ; HELMIZOL; NOT FOUND; GEL VAG.10AP 500 MG 50 G x 1 (/5G); TTB

54631; HINCOMOX ; HINCOMOX; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); TTB

50875; HERPEX ; HERPEX; NOT FOUND; GEL. 1 % 10 G x 1; U_Q

71906; HISTADIN D ; HISTADIN D; NOT FOUND; CPR REVEST 5 MG x 12 (/120); U_Q

84699; HYABAK ; HYABAK; NOT FOUND; SOL OFTAL 10 ML x 1; U_Q

61294; HISTADIN D ; HISTADIN D; NOT FOUND; XAR. 60 ML x 1; U_Q

57874; HISTADIN ; HISTADIN; NOT FOUND; CPR 10 MG x 12; U_Q

5212; HEBRIN ; HEBRIN; NOT FOUND; LIQD 30 ML x 1; U_Q

57875; HISTADIN ; HISTADIN; NOT FOUND; XAR. 1 MG 100 ML x 1 (/ML); U_Q

54216; HYTOS PLUS ; HYTOS PLUS; NOT FOUND; XAR. 100 ML x 1; U_Q

64410; HALOPERIDOL MG ; HALOPERIDOL; HALOPERIDOL; GOTAS 2 MG 20 ML x 1 (/ML); U_Q

54215; HYTOS PLUS ; HYTOS PLUS; NOT FOUND; GOTAS 15 ML x 1; U_Q

32544; HAAR+HAIR INTEM ; HAAR HAIR INTEM; NOT FOUND; DRAG+GOTAS x 1; VTM

60572; HORMONAT ; HORMONAT; NOT FOUND; CPR 40 MG x 30; VTM

