123834; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; A4H
86653; PAROXILIV ; PAROXILIV; NOT FOUND; CPR REV . 20 MG x 30; LG6

48217; PEPSOGEL ; PEPSOGEL; NOT FOUND; SUSP ORAL 240 ML x 1; LG6

68303; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; LG6

70879; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); LG6

93338; PREDNISOLONA MG ; PREDNISOLONA; PREDNISOLONA; CPR 20 MG x 10; LG6

69962; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; LG6

70409; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SACH.MEL/LIM 500 MG 5 G x 25; LG6

51857; POLIMOXIL ; POLIMOXIL; NOT FOUND; SUSP 250 MG 150 ML x 1 (/5ML); LG6

61533; PREDINIS ; PREDINIS; NOT FOUND; CPR 5 MG x 20; LG6

57789; POZATO ; POZATO; NOT FOUND; CPR 0.75 MG x 2; LIB

49999; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 10 MG x 14; LIB

31030; PLAMET ; PLAMET; NOT FOUND; CPR 10 MG x 20; LIB

31032; PLAMET ; PLAMET; NOT FOUND; SOLN 1 MG 120 ML x 1 (/ML); LIB

103021; PLENANCE ; PLENANCE; NOT FOUND; CPR REVEST 10 MG x 30; LIB

51609; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 40 MG x 7; LIB

95708; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 7; LIB

31031; PLAMET ; PLAMET; NOT FOUND; GOTAS 8 MG 10 ML x 1 (/ML); LIB

48079; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 20 MG x 7; LIB

59290; PLAMET ; PLAMET; NOT FOUND; GOTAS 4 MG 20 ML x 1 (/ML); LIB

62064; PLURAIR ; PLURAIR; NOT FOUND; SPRAY NASAL 50 Y x 60 (/DOS); LIB

49447; PLAMET ; PLAMET; NOT FOUND; AMP. 10 MG 2 ML x 5; LIB

62065; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 14; LIB

44359; PLAMET ; PLAMET; NOT FOUND; AMP. 10 MG 2 ML x 50; LIB

103019; PLENANCE ; PLENANCE; NOT FOUND; CPR REVEST 20 MG x 30; LIB

69546; PLURAIR ; PLURAIR; NOT FOUND; SPRAY NASAL 50 Y x 120 (/DOS); LIB

62066; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 20 MG x 28; LIB

68314; PROCIMAX ; PROCIMAX; NOT FOUND; CPR 40 MG x 28; LIB

50623; PEPRAZOL ; PEPRAZOL; NOT FOUND; CAPS 20 MG x 28; LIB

68057; POZATO ; POZATO; NOT FOUND; CPR UNI 1.50 MG x 1; LIB

50004; PROSTIDE ; PROSTIDE; NOT FOUND; CPR REVEST 5 MG x 20 (ADLT); LIB

91948; PURULIN ; PURULIN; NOT FOUND; OLEO MINERAL 100 ML x 1; LIF

54043; PERMETRINA ; PERMETRINA; PERMETRINA; LIQD 1 % 60 ML x 1; LIF

78682; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; M1L

74686; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 100; M1L

74687; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; M1L

78680; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 10 ML x 96 (/ML); M1L

90251; PERMASSIM ; PERMASSIM; NOT FOUND; CPR 100 MG x 500; M1L

77404; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); M1L

78681; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 100; M1L

77038; PROCTOX-H ; PROCTOX H; NOT FOUND; POM+6APL 20 G x 1; MB9

75612; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; MB9

68944; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 40 MG x 40; MB9

94213; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOL CAP 0.50 MG 50 G x 1 (/G); MB9

68943; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 40 MG x 20; MB9

78980; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; MB9

71580; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; MB9

61692; PARATONICO ; PARATONICO; NOT FOUND; LIQD 500 ML x 1; MB9

68945; PRONOLOL ; PRONOLOL; NOT FOUND; CPR 80 MG x 20; MB9

100205; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 30 G x 1; MB9

94208; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 50 MG 30 G x 1 (/G); MB9

65693; PYRISEPT ; PYRISEPT; NOT FOUND; DRAG 100 MG x 25; MBR

65692; PYRISEPT ; PYRISEPT; NOT FOUND; DRAG 200 MG x 18; MBR

51373; PRAZOL ; PRAZOL; NOT FOUND; CAPS ENTERIC 30 MG x 14; MD7

61977; PYLORIPAC ; PYLORIPAC; NOT FOUND; KIT IBP 7X8 x 56 +28; MD7

115562; PARACET+CAFEINA MG ; PARACET CAFEINA; NOT FOUND; CPR REVEST x 20; MD7

51711; PRAZOL ; PRAZOL; NOT FOUND; CAPS ENTERIC 15 MG x 28; MD7

51707; PARENZYME TETRACIC ; PARENZYME TETRACIC; NOT FOUND; CAPS 500 MG x 8; MD7

61923; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 40 MG x 7; MD7

66445; POLICR+CL.CICHO MG ; POLICR CL CICHO; NOT FOUND; POM+10 APLIC 30 G x 1; MD7

59112; PYLORIPAC ; PYLORIPAC; NOT FOUND; KIT IBP 7X8 x 56; MD7

76564; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 30; MD7

76889; PRAVAST.SODIC.MG ; PRAVAST SODIC; NOT FOUND; CPR 10 MG x 30; MD7

58141; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; MD7

54491; PLENTY ; PLENTY; NOT FOUND; CAPS 15 MG x 30; MD7

61925; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 40 MG x 28; MD7

68584; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 100; MD7

63063; PREVENCOR ; PREVENCOR; NOT FOUND; CPR COMBI 40 MG x 60 (/100); MD7

56332; PRANDIN ; PRANDIN; NOT FOUND; CPR 1 MG x 30; MD7

30595; PARENZYME AMPICILI ; PARENZYME AMPICILI; NOT FOUND; CAPS 500 MG x 8; MD7

58445; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 30 G x 1; MD7

56875; PYLORIPAC ; PYLORIPAC; NOT FOUND; KIT 10X8 x 80; MD7

79000; PENTOXIFILINA MG ; PENTOXIFILINA; PENTOXIFILINA; CPR REVEST 400 MG x 30; MD7

76565; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; MD7

67184; POLICR+CL.CICHO MG ; POLICR CL CICHO; NOT FOUND; POM 10+10APL 3 G x 1; MD7

8078; PARENZYME ; PARENZYME; NOT FOUND; DRAG x 16; MD7

8079; PARENZYME ANALGESI ; PARENZYME ANALGESI; NOT FOUND; DRAG ENTERIC 300 MG x 18; MD7

68056; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; MD7

51710; PRAZOL ; PRAZOL; NOT FOUND; CAPS ENTERIC 15 MG x 14; MD7

63061; PREVENCOR ; PREVENCOR; NOT FOUND; CPR COMBI 10 MG x 60 (/100); MD7

58140; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; MD7

76261; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 42; MD7

8689; PROFOL ; PROFOL; NOT FOUND; CPR x 20; MD7

76890; PRAVAST.SODIC.MG ; PRAVAST SODIC; NOT FOUND; CPR 20 MG x 30; MD7

53153; PLENTY ; PLENTY; NOT FOUND; CAPS 10 MG x 30; MD7

8690; PROFOL ; PROFOL; NOT FOUND; SUSP 100 ML x 1; MD7

61924; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 40 MG x 14; MD7

31028; PARENZYME AMPICILI ; PARENZYME AMPICILI; NOT FOUND; CAPS 500 MG x 16; MD7

28588; PLURIVERM ; PLURIVERM; NOT FOUND; CPR 100 MG x 6; MD7

78030; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; SUSP ORAL 32 MG 60 ML x 1 (/ML); MD7

51372; PRAZOL ; PRAZOL; NOT FOUND; CAPS ENTERIC 30 MG x 7; MD7

61922; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 20 MG x 28; MD7

56333; PRANDIN ; PRANDIN; NOT FOUND; CPR 2 MG x 30; MD7

76739; PYLORIPAC RETRAT ; PYLORIPAC RETRAT; NOT FOUND; KIT 10X7 x 70; MD7

76563; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; MD7

58309; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); MD7

78029; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 100 MG 15 ML x 1 (/ML); MD7

76801; PRAVAST.SODIC.MG ; PRAVAST SODIC; NOT FOUND; CPR 40 MG x 30; MD7

58444; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 30 G x 1; MD7

76262; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 42; MD7

56331; PRANDIN ; PRANDIN; NOT FOUND; CPR 0.50 MG x 30; MD7

68055; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 10; MD7

63062; PREVENCOR ; PREVENCOR; NOT FOUND; CPR COMBI 20 MG x 60 (/100); MD7

54908; PYLORIPAC ; PYLORIPAC; NOT FOUND; KIT 7X8 x 56; MD7

61920; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 20 MG x 7; MD7

58446; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN CAPIL 50 G x 1; MD7

61921; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR GASTROR 20 MG x 14; MD7

62967; PRESSOMED ; PRESSOMED; NOT FOUND; CPR 10 MG x 30; MDQ

62966; PRESSOMED ; PRESSOMED; NOT FOUND; CPR 5 MG x 30; MDQ

77820; PANTONAX ; PANTONAX; NOT FOUND; CPR GASTROR 40 MG x 30; MDQ

75689; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; MDQ

59371; PRESSOFLUX ; PRESSOFLUX; NOT FOUND; CPR 80 MG x 20; MDQ

63110; PANTONAX ; PANTONAX; NOT FOUND; CPR GASTROR 40 MG x 14; MDQ

59370; PRESSOFLUX ; PRESSOFLUX; NOT FOUND; CPR 40 MG x 40; MDQ

62968; PRESSOMED ; PRESSOMED; NOT FOUND; CPR 20 MG x 30; MDQ

75688; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1; MDQ

65691; PRESSTOPRIL ; PRESSTOPRIL; NOT FOUND; CPR 25 MG x 28; MDQ

63109; PANTONAX ; PANTONAX; NOT FOUND; CPR GASTROR 40 MG x 7; MDQ

75314; PRESSTOPRIL ; PRESSTOPRIL; NOT FOUND; CPR 25 MG x 30; MDQ

96347; PROCTOBEM ; PROCTOBEM; NOT FOUND; POM 5APLIC 25 G x 1; MDQ

137024; PRESSTOPRIL ; PRESSTOPRIL; NOT FOUND; CPR 25 MG x 500; MDQ

156856; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 500 MG x 200; MDQ

150186; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; MDQ

67411; PROVIVE ; PROVIVE; NOT FOUND; F.AMP 1 % 20 ML x 5; MIZ

67683; PROVIVE ; PROVIVE; NOT FOUND; F.AMP 1 % 10 ML x 5; MIZ

87333; PACLIMEIZ ; PACLIMEIZ; NOT FOUND; F AMP . 6 MG 16.6 ML x 1 (/ML); MIZ

95755; PACLIMEIZ ; PACLIMEIZ; NOT FOUND; F AMP . 6 MG 5 ML x 1 (/ML); MIZ

8107; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; DRAG x 40; MLL

54041; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; DRAG x 20; MLL

8108; PASSIFLORINE ; PASSIFLORINE; NOT FOUND; SOLN 100 ML x 1; MLL

8448; POLARAMINE ; POLARAMINE; NOT FOUND; CPR 2 MG x 20; MQF

73454; PROCSIM ; PROCSIM; NOT FOUND; CPR 250 MG x 14; MQF

73453; PROCSIM ; PROCSIM; NOT FOUND; CPR 500 MG x 14; MQF

58144; PREDSIM ; PREDSIM; NOT FOUND; CPR 20 MG x 10; MQF

73452; PROCSIM ; PROCSIM; NOT FOUND; CPR 500 MG x 6; MQF

57385; PREDSIM ; PREDSIM; NOT FOUND; SOL+P.DOSADO 15 MG 60 ML x 1 (/5ML); MQF

73451; PROCSIM ; PROCSIM; NOT FOUND; CPR 250 MG x 6; MQF

58143; PREDSIM ; PREDSIM; NOT FOUND; CPR 5 MG x 20; MQF

70410; PIELUS ; PIELUS; NOT FOUND; SHAMPOO 120 ML x 1; MQF

77076; PREDSIM ; PREDSIM; NOT FOUND; GOTAS 11 MG 15 ML x 1 (/ML); MQF

107754; PREDSIM ; PREDSIM; NOT FOUND; CPR 40 MG x 7; MQF

78160; PRATIUM ; PRATIUM; NOT FOUND; GOTAS 140 MG 15 ML x 1 (/ML); MQF

66454; POLARAMINE CREME ; POLARAMINE CREME; NOT FOUND; CREME 30 G x 1; MQF

73725; PREDSIM ; PREDSIM; NOT FOUND; GOTAS 11 MG 20 ML x 1 (/ML); MQF

8451; POLARAMINE ; POLARAMINE; NOT FOUND; REPETABS 6 MG x 12; MQF

77077; PREDSIM ; PREDSIM; NOT FOUND; SOL+P.DOSADO 3 MG 30 ML x 1 (/ML); MQF

48697; POLARAMINE EXPT ; POLARAMINE EXPT; NOT FOUND; LIQD EXPT 120 ML x 1; MQF

56509; PREDSIM ; PREDSIM; NOT FOUND; SOL+P.DOSADO 15 MG 100 ML x 1 (/5ML); MQF

58142; PREDSIM ; PREDSIM; NOT FOUND; CPR 5 MG x 10; MQF

68809; POLARAMINE ; POLARAMINE; NOT FOUND; GOTAS 2.80 MG 20 ML x 1 (/ML); MQF

48846; POLARAMINE ; POLARAMINE; NOT FOUND; LIQD 2 MG 120 ML x 1 (/5ML); MQF

69623; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; M_S

80686; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; M_S

64940; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME DERMAT 0.50 MG 30 G x 1 (; M_S

69625; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; M_S

69622; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; M_S

64737; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); M_S

52296; PSIQUIAL ; PSIQUIAL; NOT FOUND; CPR 20 MG x 14; M_S

80684; PERGOVERIS ; PERGOVERIS; NOT FOUND; F.AMP LIOF 150 IU 1 ML x 1 (/75); M_S

64738; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; SOLN CAPIL 0.50 MG 50 G x 1 (/M; M_S

52297; PSIQUIAL ; PSIQUIAL; NOT FOUND; CPR 20 MG x 28; M_S

72441; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 7; M_S

69624; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; M_S

72442; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 7; M_S

64939; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM.DERMAT 0.50 MG 30 G x 1 (/G; M_S

64928; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR REVEST 750 MG x 20; M_S

57428; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 20; M_S

80685; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; M_S

80687; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 40 MG x 30; M_S

87129; PERFECTHA ; PERFECTHA; NOT FOUND; SER 24 MG 1 ML x 1 (/ML); N2E

87130; PERFECTHA ; PERFECTHA; NOT FOUND; SER DEEP 24 MG 1 ML x 1 (/ML); N2E

87815; PERFECTHA ; PERFECTHA; NOT FOUND; SER DERM SUB 20 MG 3 ML x 1 (/ML); N2E

87128; PERFECTHA ; PERFECTHA; NOT FOUND; SER FINE LIN 24 MG 0.50 ML x 1 (/ML); N2E

164463; PLANTOLAXY ; PLANTOLAXY; NOT FOUND; SACHE LAR 5 G x 10; NAU

62015; PEDIA-TRIC ; PEDIA TRIC; NOT FOUND; POLVO ENVELO 12 G x 4; NCK

71347; PEDIA-TRIC ; PEDIA TRIC; NOT FOUND; SOL ORAL FRA 500 ML x 1; NCK

71348; PEDIA-TRIC ; PEDIA TRIC; NOT FOUND; SOL ORAL GUA 500 ML x 1; NCK

113650; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; NQA

71581; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; NQA

71379; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; NQA

69970; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); NQA

73511; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; NQA

69963; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); NQA

148477; PREDSIGMA ; PREDSIGMA; NOT FOUND; CPR 20 MG x 10; NQA

113402; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; NQA

150796; PERLUMES ; PERLUMES; NOT FOUND; AMP I.M. 150 MG 1 ML x 1 (/10M) ML; NQA

144182; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 42; NQA

113403; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; NQA

73510; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; NQA

68675; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; NQA

161220; PREDSIGMA ; PREDSIGMA; NOT FOUND; SOL ORAL 3 ML 60 ML x 1 (/ML); NQA

113649; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; NQA

68503; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; NQA

68504; PRAVASTAT.SODIC.MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 10; NQA

144181; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 42; NQA

69971; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); NQA

77418; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); NV7

77417; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 10 ML x 1 (/ML); NV7

150189; PERMENATI ; PERMENATI; NOT FOUND; LIQD 5 % 60 ML x 1; NV7

74923; PERMENATI ; PERMENATI; NOT FOUND; LIQD 1 % 60 ML x 1; NV7

76307; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP S/DILU 4.50 G x 25; NVA

68855; PIPERACI+TAZOBA.MG ; PIPERACI TAZOBA; NOT FOUND; F.AMP S/DILU 4.50 G x 1; NVA

64187; PAMELOR ; PAMELOR; NOT FOUND; CAPS 50 MG x 30; NVR

51060; PAMELOR ; PAMELOR; NOT FOUND; SOLN ORAL 2 MG 100 ML x 1 (/ML); NVR

30450; PARLODEL ; PARLODEL; NOT FOUND; CPR 2.50 MG x 28; NVR

64185; PAMELOR ; PAMELOR; NOT FOUND; CAPS 10 MG x 30; NVR

47286; PAMELOR ; PAMELOR; NOT FOUND; CAPS 50 MG x 20; NVR

64188; PAMELOR ; PAMELOR; NOT FOUND; CAPS 75 MG x 30; NVR

50253; PARLODEL ; PARLODEL; NOT FOUND; CAPS SRO 5 MG x 14; NVR

64186; PAMELOR ; PAMELOR; NOT FOUND; CAPS 25 MG x 30; NVR

50252; PARLODEL ; PARLODEL; NOT FOUND; CAPS SRO 2.50 MG x 28; NVR

44151; PARLODEL ; PARLODEL; NOT FOUND; CPR 2.50 MG x 14; NVR

67583; PREXIGE ; PREXIGE; NOT FOUND; CPR REVEST 100 MG x 20; NVR

47287; PAMELOR ; PAMELOR; NOT FOUND; CAPS 75 MG x 20; NVR

47285; PAMELOR ; PAMELOR; NOT FOUND; CAPS 25 MG x 20; NVR

50254; PARLODEL ; PARLODEL; NOT FOUND; CAPS SRO 5 MG x 28; NVR

47688; PAMELOR ; PAMELOR; NOT FOUND; CAPS 10 MG x 20; NVR

50251; PARLODEL ; PARLODEL; NOT FOUND; CAPS SRO 2.50 MG x 14; NVR

68309; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 20; N_Q

75308; PLESONAX ; PLESONAX; NOT FOUND; DRAG 5 MG x 100; N_Q

55726; PROXACIN ; PROXACIN; NOT FOUND; CPR REVEST 500 MG x 14; N_Q

53333; PROXACIN ; PROXACIN; NOT FOUND; CPR REVEST 500 MG x 6; N_Q

77033; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; N_Q

62792; PARKLEN ; PARKLEN; NOT FOUND; CPR 250 MG x 30 (/25); N_Q

74691; PRAVASTAT SODIC MG ; PRAVASTAT SODIC; NOT FOUND; CPR 20 MG x 30; N_Q

77029; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 14; N_Q

72905; PROXACIN ; PROXACIN; NOT FOUND; SOLN OFTAL 3.50 MG 5 ML x 1 (/ML); N_Q

73191; PRURIFEN ; PRURIFEN; NOT FOUND; XPE 1 MG 120 ML x 1 (/5ML); N_Q

70379; PLESONAX ; PLESONAX; NOT FOUND; DRAG 5 MG x 20; N_Q

78436; PARKLEN ; PARKLEN; NOT FOUND; CPR 250 MG x 200 (/25); N_Q

66325; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 15; N_Q

78955; PRAVASTAT SODIC MG ; PRAVASTAT SODIC; NOT FOUND; CPR 40 MG x 30; N_Q

46957; PIROXINID ; PIROXINID; NOT FOUND; CAPS 20 MG x 15; N_Q

72344; PIROXICAM MG ; PIROXICAM; PIROXICAM; CAPS 20 MG x 10; N_Q

55725; PROXACIN ; PROXACIN; NOT FOUND; CPR REVEST 250 MG x 6; N_Q

61349; PRADINOLOL ; PRADINOLOL; NOT FOUND; CPR 40 MG x 40; N_Q

77034; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; N_Q

77030; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; N_Q

66326; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; CREME DERMAT 0.50 MG 30 G x 1 (; N_Q

69964; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; N_Q

59614; PRADINOLOL ; PRADINOLOL; NOT FOUND; CPR 80 MG x 20; N_Q

77036; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 7; N_Q

54702; PULMOFLUX ; PULMOFLUX; NOT FOUND; XAROPE 2 MG 100 ML x 1 (/5ML); N_Q

57794; PROPIOSOL ; PROPIOSOL; NOT FOUND; CREME 0.50 MG 30 G x 1 (/G); N_Q

68308; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 20 MG x 10; N_Q

66071; PROP.CLOBETASOL MG ; PROP CLOBETASOL; NOT FOUND; POM.DERMAT 0.50 MG 30 G x 1 (/G; N_Q

78954; PRAVASTAT SODIC MG ; PRAVASTAT SODIC; NOT FOUND; CPR 10 MG x 30; N_Q

98546; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 20; N_Q

61861; PRAMIDALIN ; PRAMIDALIN; NOT FOUND; CPR 250 MG x 30; N_Q

61451; PYLORIKIT ; PYLORIKIT; NOT FOUND; KIT 7X8 x 56; N_Q

68311; PREDNISONA MG ; PREDNISONA; PREDNISONA; CPR 5 MG x 20; N_Q

78953; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 7; N_Q

63190; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; GOTAS 200 MG 15 ML x 1 (/ML); N_Q

57795; PROPIOSOL ; PROPIOSOL; NOT FOUND; POM. 0.50 MG 30 G x 1 (/G); N_Q

71655; PYLORISET ; PYLORISET; NOT FOUND; KIT 7X8 x 56; N_Q

77528; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 14; P7B

66780; PENTRAT ; PENTRAT; NOT FOUND; CPR 400 MG x 20; P7B

89152; PROCTOPHAR ; PROCTOPHAR; NOT FOUND; POMADA. 25 G x 1; P7B

77527; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 20 MG x 28; P7B

75445; PARAFLAN ; PARAFLAN; NOT FOUND; CPR 750 MG x 200; P7B

76263; PHARNOLOL ; PHARNOLOL; NOT FOUND; CPR 40 MG x 30; P7B

89150; PRO-ACNE ; PRO ACNE; NOT FOUND; GEL . 5 % 20 G x 1; P7B

73396; PARACETAMOL MG ; PARACETAMOL; PARACETAMOL; CPR 750 MG x 200; P7B

77529; PANTOPRAZOL MG ; PANTOPRAZOL; PANTOPRAZOL; CPR REVEST 40 MG x 28; P7B

29287; PLETIL ; PLETIL; NOT FOUND; CPR 500 MG x 8; PFZ

