415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G
345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 120.00 ML

367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

399777; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 100 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 200.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 120.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 120.00 ML

367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

399777; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 100 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 200.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 120.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 120.00 ML

367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

399777; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 100 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 200.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 120.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 120.00 ML

367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

399777; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 100 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 200.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 120.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

415766; UREIA; UREIA; UREIA; 20 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; BISNAGA; 100.00 G

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 120.00 ML

367383; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 20 MG/ML. SUSPENSAO ORAL. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

399777; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 100 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; CÃPSULA; 0

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; FRASCO; 200.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

412414; UREIA; UREIA; UREIA; C/ ALANTOINA. OLEO AMENDOAS DOCES E LACT. AMONIO. 10% + 2% + 8% + 12%. LOCAO. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 120.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; POTE; 120.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 0.50 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 10.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; BISNAGA; 50.00 G

425824; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 200 MG; NO_ACR; CÃPSULA; 0

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; POTE; 500.00 G

400563; USTEQUINUMABE; USTEQUINUMABE; USTEQUINUMABE; 90 MG/ML. SOLUCAO INJETAVEL; NO_ACR; FRASCO; 1.00 ML

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 200.00 ML

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 120.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; POTE; 500.00 G

395845; UREIA; UREIA; UREIA; 50 MG/G. CREME. FORMULACAO ESPECIALMENTE MANIPULADA; NO_ACR; FRASCO; 60.00 G

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 15.00 G

343603; UREIA; UREIA; UREIA; 300 MG/G. CREME; NO_ACR; FRASCO; 60.00 ML

343604; UREIA; UREIA; UREIA; 200 MG/G. CREME; NO_ACR; FRASCO; 60.00 G

343605; UREIA; UREIA; UREIA; 100 MG/ML. LOCAO CREMOSA; NO_ACR; FRASCO; 60.00 ML

345783; UREIA; UREIA; UREIA; 100 MG/G. CREME; NO_ACR; BISNAGA; 100.00 G

419606; UBIDECARENONA; UBIDECARENONA; UBIDECARENONA; 80 MG. MEDICAMENTO ESPECIALMENTE MANIPULADO; NO_ACR; FRASCO; 30.00 ML

