104561; CORUS ; CORUS; NOT FOUND; CPR REVEST 25 MG x 30; A4H

69523; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 7; MD7

62472; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); MD7

56376; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 16; MD7

56374; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; MD7

58155; CLOR TERB CREME MG ; CLOR TERB CREME; NOT FOUND; CREME 1 % 20 G x 1; MD7

72988; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 30; MD7

66973; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 20; MD7

56697; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 250 MG x 14; MD7

75555; CIPROFIBRATO MG ; CIPROFIBRATO; CIPROFIBRATO; CPR 100 MG x 30; MD7

83352; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 2; MD7

75882; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 30; MD7

58376; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; MD7

75880; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 75 MG x 30; MD7

2446; CLOMID ; CLOMID; NOT FOUND; CPR 50 MG x 10; MD7

72178; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 10; MD7

76017; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 30; MD7

75708; CLOSTEBOL+NEOMI MG ; CLOSTEBOL NEOMI; NOT FOUND; CREME DERMAT 30 G x 1; MD7

71820; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 15; MD7

73411; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; MD7

64246; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 250 MG 100 ML x 1 (/5ML); MD7

58328; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 125 MG x 14; MD7

62998; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; MD7

61917; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CAPS GEL 50 MG x 24; MD7

60441; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GOTAS 20 MG 20 ML x 1 (/ML); MD7

66302; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS GEL 50 MG x 10; MD7

58358; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 50 MG 100 ML x 1 (/ML); MD7

68411; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 40; MD7

71366; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; MD7

59463; CLOR.CLOBUTINOL MG ; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; XAR. 80 MG 120 ML x 1 (/5ML); MD7

61915; CETOCONAZOL SHA.MG ; CETOCONAZOL SHA; NOT FOUND; XAMP 20 MG 110 ML x 1 (/ML); MD7

77005; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 15; MD7

58072; CLO TETR+ANFO B MG ; CLO TETR ANFO B; NOT FOUND; CR.VAG.10APL 45 G x 1; MD7

72179; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 10; MD7

56378; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; MD7

83739; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 1; MD7

75881; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 75 MG x 20; MD7

58356; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; SOLN ORAL 50 MG 20 ML x 1 (/ML); MD7

58331; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; MD7

56379; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 16; MD7

79622; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 7; MD7

59462; CLOR.CLOBUTINOL MG ; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; SOLN ORAL 60 MG 20 ML x 1 (/ML; MD7

63247; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; MD7

83738; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 2; MD7

77007; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 60; MD7

62505; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; MD7

59875; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM. 30 G x 1; MD7

56129; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 14; MD7

72989; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 60; MD7

73608; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; MD7

57862; CLOTRIMAZOL CR.MG ; CLOTRIMAZOL CR; NOT FOUND; CREME 10 MG 20 G x 1 (/G); MD7

72990; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 20; MD7

62471; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 16 (/25); MD7

66957; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; CREME 10 MG 20 G x 1 (/G); MD7

59877; CETOPROFENO GEL MG ; CETOPROFENO GEL; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); MD7

1999; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 5 MG x 20; MD7

59177; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); MD7

73415; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; MD7

72991; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; MD7

77008; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 15; MD7

58377; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MD7

64245; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 80 ML x 1 (/5ML); MD7

63895; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 500 MG 100 ML x 1 (/5ML); MD7

69736; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; MD7

79620; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 15; MD7

56373; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 16; MD7

69737; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 30; MD7

28806; CINTILAN ; CINTILAN; NOT FOUND; SOLN INF 60 MG 120 ML x 1 (/ML); MD7

79621; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 30; MD7

69521; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 7; MD7

71823; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 30; MD7

63249; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; MD7

74944; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; MD7

62997; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; MD7

82736; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 60; MD7

77009; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 15; MD7

72324; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 30; MD7

73412; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 15; MD7

83357; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; MD7

63245; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; MD7

72322; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 60; MD7

83359; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; MD7

72323; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 30; MD7

61093; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 90; MD7

72987; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 20; MD7

73416; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; MD7

70587; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; SUSP ORAL 2 % 100 ML x 1; MD7

83358; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; MD7

68958; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; GOTAS 20 MG 20 ML x 1 (/ML); MD7

59060; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; MD7

59467; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); MD7

71821; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; MD7

83355; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; MD7

63243; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; MD7

63893; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; MD7

71365; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 14; MD7

71822; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 15; MD7

65970; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 80 ML x 1 (/5ML); MD7

77006; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; MD7

61916; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CPR REVEST 100 MG x 20; MD7

63894; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 250 MG 100 ML x 1 (/5ML); MD7

75883; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 20; MD7

72992; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 60; MD7

64247; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 500 MG 100 ML x 1 (/5ML); MD7

63236; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; MD7

61918; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; SOLN ORAL 4 MG 10 ML x 1 (/ML); MD7

74945; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 20; MD7

56377; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; MD7

61541; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; MD7

82728; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; MD7

58375; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 1.60 MG 120 ML x 1 (/ML); MD7

2000; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 10 MG x 20; MD7

64244; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; MD7

58329; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 7; MD7

83737; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; MD7

68034; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 10; MD7

62473; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 60 (/25); MD7

76019; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 30; MD7

77845; CONFIARE PREVENT ; CONFIARE PREVENT; NOT FOUND; CREME. 60 G x 1; MD7

72325; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 200; MD7

68033; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 8; MD7

49312; CLOFENAK ; CLOFENAK; NOT FOUND; CPR 50 MG x 10; MD7

61094; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 90; MD7

66960; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1 (/ML; MD7

56128; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; MD7

58378; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; MD7

64636; CLO CLOB+S DOXI MG ; CLO CLOB S DOXI; NOT FOUND; XAR. 120 ML x 1; MD7

59465; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 10 MG 35 G x 1 (/G); MD7

103017; CLOR.TANSULOSI MG ; CLOR TANSULOSI; CLORIDRATO TANSULOSINA; CAPS 0.40 MG x 30; MD7

66974; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; MD7

73607; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; MD7

72320; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; MD7

58379; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; MD7

68764; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 10 MG x 200; MD7

56381; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; MD7

58833; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); MD7

77004; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; MD7

56696; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 250 MG x 10; MD7

69522; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; MD7

58374; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 0.80 MG 120 ML x 1 (/ML); MD7

69520; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; MD7

59456; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; MD7

61919; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; MD7

82734; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 15; MD7

83354; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; MD7

28396; CINTILAN ; CINTILAN; NOT FOUND; CAPS 400 MG x 60; MD7

62504; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; MD7

66430; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); MD7

77003; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; MD7

56375; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 60; MD7

73598; CLOSTEBOL+NEOMI MG ; CLOSTEBOL NEOMI; NOT FOUND; CR.VAG.8 APL 45 G x 1; MD7

76117; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 60; MDQ

64164; CALCIMED ; CALCIMED; NOT FOUND; SUSP 150 ML x 1; MDQ

74946; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 8; MDQ

45173; CLORAMED ; CLORAMED; NOT FOUND; XAR. 60 ML x 1; MDQ

74947; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 80; MDQ

76292; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 250 MG 100 ML x 1 (/5ML); MDQ

77750; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 50; MDQ

76291; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 100 MG 100 ML x 1 (/5ML); MDQ

47520; COMPLEXO B ; COMPLEXO B; NOT FOUND; XAR. 100 ML x 1; MDQ

78031; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 100; MDQ

76115; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; MDQ

76116; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MDQ

62278; CLORAMED ; CLORAMED; NOT FOUND; CAPS GELATIN 250 MG x 12; MDQ

64202; CEFALINA ; CEFALINA; NOT FOUND; CPR REVEST x 20; MDQ

48042; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 20; MDQ

142030; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; LIQ 2 MG 100 ML x 1 (/ML); MDQ

73410; CEFALINA ; CEFALINA; NOT FOUND; CPR REVEST x 100; MDQ

147803; CHORIOMON-M ; CHORIOMON M; NOT FOUND; F.AMP C/DILU 5000 IU 1 ML x 1; MIZ

29745; CUPRIMINE ; CUPRIMINE; NOT FOUND; CAPS 250 MG x 50; MIZ

78688; CUPRIMINE ; CUPRIMINE; NOT FOUND; CAPS 250 MG x 100; MIZ

66686; CHORIOMON ; CHORIOMON; NOT FOUND; F.AMP LIOF 2000 IU x 1; MIZ

71329; CELEMIN HEPA ; CELEMIN HEPA; NOT FOUND; SOLN INJ. 8 % 500 ML x 1; MIZ

71332; CELEMIN NEPHRO ; CELEMIN NEPHRO; NOT FOUND; SOLN INJ. 7 % 500 ML x 1; MIZ

65284; CHORIOMON ; CHORIOMON; NOT FOUND; F.AMP LIOF 5000 IU x 1; MIZ

71330; CELEMIN HEPA ; CELEMIN HEPA; NOT FOUND; SOLN INJ. 8 % 1000 ML x 1; MIZ

86841; CIMZIA ; CIMZIA; NOT FOUND; SER+2 LENCO 200 MG 1 ML x 2; MIZ

73808; CINALEO ; CINALEO; NOT FOUND; F.AMP LIOF 15 IU x 1; MIZ

100575; CALDE MAG ; CALDE MAG; NOT FOUND; CPR REVEST x 60; MJA

115846; CALDE K2 ; CALDE K2; NOT FOUND; CPR REVEST x 30; MJA

32358; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; SOLN ORAL 250 ML x 1; MLL

2912; CUTISANOL ; CUTISANOL; NOT FOUND; PO 150 G x 1; MLL

29269; CUTISANOL ; CUTISANOL; NOT FOUND; GEL. 100 G x 1; MLL

60599; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; FLACONETES 10 ML x 48; MLL

2311; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; SOLN ORAL 100 ML x 1; MLL

54988; CYCLOFEMINA ; CYCLOFEMINA; NOT FOUND; A.IM RETARD 0.50 ML x 1; MLL

32695; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; DRAG 200 MG x 120; MLL

2312; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; SOLN ORAL 40 ML x 1; MLL

2310; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; DRAG 200 MG x 40; MLL

57343; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; DRAG 200 MG x 20; MLL

74434; CALMINEX HOT ; CALMINEX HOT; NOT FOUND; SACHET ADES x 10; MQF

77051; CIZAX ; CIZAX; NOT FOUND; CPR 5 MG x 4; MQF

50732; CALMINEX ; CALMINEX; NOT FOUND; GEL ATLETA 20 G x 1; MQF

77049; CELESTONE ; CELESTONE; NOT FOUND; CPR 0.50 MG x 10; MQF

48882; CELESTONE ; CELESTONE; NOT FOUND; CPR 0.50 MG x 20; MQF

72243; CIZAX ; CIZAX; NOT FOUND; CPR 5 MG x 30; MQF

71880; CORISTINA VIT C ; CORISTINA VIT C; NOT FOUND; CPR 500 MG x 20; MQF

77047; CELESTAMINE ; CELESTAMINE; NOT FOUND; CPR x 10; MQF

48667; CELESTAMINE ; CELESTAMINE; NOT FOUND; XAR. 120 ML x 1; MQF

72245; CIZAX ; CIZAX; NOT FOUND; CPR 10 MG x 30; MQF

45644; CEDRIN ; CEDRIN; NOT FOUND; REPETABS x 10; MQF

78085; CALMINEX ICE ; CALMINEX ICE; NOT FOUND; K AERO+I BAG 170 G x 1; MQF

74508; CORISTINA VIT C ; CORISTINA VIT C; NOT FOUND; K 3X10+FS+ET x 1; MQF

47791; CALMINEX ; CALMINEX; NOT FOUND; POM. H 20 G x 1; MQF

64398; CEDRIN ; CEDRIN; NOT FOUND; XAR. 120 ML x 1; MQF

2843; CORISTINA ; CORISTINA; NOT FOUND; CPR D x 192; MQF

48750; CELESTONE ; CELESTONE; NOT FOUND; ELIXIR 0.50 MG 120 ML x 1 (/5ML); MQF

2219; CELESTONE SOLUSPAN ; CELESTONE SOLUSPAN; NOT FOUND; AMP. RETARD 3 MG 1 ML x 1 (/ML; MQF

48963; CELESTAMINE ; CELESTAMINE; NOT FOUND; CPR x 20; MQF

72244; CIZAX ; CIZAX; NOT FOUND; CPR 10 MG x 10; MQF

77050; CELESTONE ; CELESTONE; NOT FOUND; ELIXIR 0.50 MG 30 ML x 1 (/5ML); MQF

75620; CELESTAMINE ; CELESTAMINE; NOT FOUND; GOTAS 20 ML x 1; MQF

72613; CORISTINA TERMUS ; CORISTINA TERMUS; NOT FOUND; CPR 750 MG x 192; MQF

76111; CIBRATO ; CIBRATO; NOT FOUND; CPR 100 MG x 30; MQF

77048; CELESTAMINE ; CELESTAMINE; NOT FOUND; XAR. 30 ML x 1; MQF

98069; C-KADERM ; C KADERM; NOT FOUND; GEL 20 G x 1; MQF

75893; C-KADERM ; C KADERM; NOT FOUND; GEL 40 G x 1; MQF

71881; CORISTINA VIT C ; CORISTINA VIT C; NOT FOUND; CPR EFERV 1 G x 10; MQF

72232; CIZAX ; CIZAX; NOT FOUND; CPR 5 MG x 10; MQF

74507; CORISTINA ; CORISTINA; NOT FOUND; CPR D x 200; MQF

77052; CIZAX ; CIZAX; NOT FOUND; CPR 10 MG x 4; MQF

30432; CELESTONE ; CELESTONE; NOT FOUND; CPR 2 MG x 10; MQF

2209; CELESTONE ; CELESTONE; NOT FOUND; AMP. 4 MG 1 ML x 1; MQF

67813; CORISTINA ; CORISTINA; NOT FOUND; CPR D x 16; MQF

77267; CALMINEX ICE ; CALMINEX ICE; NOT FOUND; AERO 60 G x 1; MQF

67805; CALMINEX ICE ; CALMINEX ICE; NOT FOUND; AERO 170 G x 1; MQF

76110; CIBRATO ; CIBRATO; NOT FOUND; CPR 100 MG x 10; MQF

76193; CELESTAMINE ; CELESTAMINE; NOT FOUND; XAR S/ACUCAR 120 ML x 1; MQF

2214; CELESTONE ; CELESTONE; NOT FOUND; GOTAS ORAL 0.50 MG 15 ML x 1 (/ML); MQF

69177; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 28; M_S

59798; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 20 MG 100 ML x 1 (/ML); M_S

58383; CONCOR ; CONCOR; NOT FOUND; CPR 10 MG x 14; M_S

69419; CR.UNIVERSAL BABY ; CR UNIVERSAL BABY; NOT FOUND; CREME BABY 45 G x 1; M_S

57414; CLINDAL AZ ; CLINDAL AZ; NOT FOUND; SUSP 40 MG 22.5 ML x 1 (/ML); M_S

64867; CONCOR ; CONCOR; NOT FOUND; CPR 5 MG x 28; M_S

73933; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 80 MG x 10; M_S

52076; CR.UNIVERSAL ; CR UNIVERSAL; NOT FOUND; CREME 60 G x 1; M_S

2387; CITONEURIN ; CITONEURIN; NOT FOUND; DRAG 50 Y x 20; M_S

66976; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 6; M_S

58382; CONCOR ; CONCOR; NOT FOUND; CPR 5 MG x 14; M_S

59198; CLOR SOTALOL MG ; CLOR SOTALOL; CLORIDRATO SOTALOL; CPR 160 MG x 30; M_S

