520723901135111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520723403119112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, TTB
520701305114417, AMPICILASE, AMPICILASE, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, TTB
520701301119414, AMPICILASE, AMPICILASE, NOT FOUND, CAPS 500 MG CX. C/ 6, TTB
520701304134414, AMPICILASE, AMPICILASE, NOT FOUND, SUSP 250 MG / 5ML FR C/ 60 ML, TTB
520701401156117, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 3 ML (EMB HOSP), TTB
520701402152115, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, SOL INJ 500MG CX C/ 50 FR/AMP, TTB
520726303158412, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726301155416, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100MG PO LIOF CT FA VD INC + AMP DIL X 2ML (EMB HOSP), TTB
520726304154410, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726302151414, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500MG PO LIOF CT FA VD INC + AMP DIL X 4ML (EMB HOSP), TTB
520701601112415, ANDROFLOXIN, ANDROFLOXIN, NOT FOUND, COMP 400MG CX C/14, TTB
520701701117419, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/10, TTB
520701702113417, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/30, TTB
520701801111412, ANFLENE, ANFLENE, NOT FOUND, CAPS 10 MG CX C/ 15, TTB
520701802118410, ANFLENE, ANFLENE, NOT FOUND, CAPS 20 MG CX C/ 15, TTB
520701901167411, ANFOTERIN, ANFOTERIN, NOT FOUND, CREME VAG BISN X 60G, TTB
520726101113418, ANSIRAX, ANSIRAX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, TTB
520702001119417, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 150MG CX C/20, TTB
520702002115415, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/08, TTB
520702003111413, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/16, TTB
520702004118411, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/32, TTB
520702005157410, ANTIDIN, ANTIDIN, NOT FOUND, SOL INJ 50MG/2ML CX C/05 AMP, TTB
520702101113410, ANTITENSIN, ANTITENSIN, NOT FOUND, 40 MG COM CT BL AL PLAS AMB X 40, TTB
520702102111411, ANTITENSIN, ANTITENSIN, NOT FOUND, 80 MG COM CT BL AL PLAS AMB X 20, TTB
520702201118414, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 20MG CX C/20, TTB
520702202114412, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 5MG CX C/20, TTB
520702301112418, ASMOFEN, ASMOFEN, NOT FOUND, COMP 1MG CX C/20, TTB
520702302135411, ASMOFEN, ASMOFEN, NOT FOUND, SOL ORAL GTS 1MG/ML FR X 30ML, TTB
520702303131411, ASMOFEN, ASMOFEN, NOT FOUND, XPE 1MG/5ML FR X 120ML, TTB
520702402113118, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, TTB
520702401117111, ATENOLOL, ATENOLOL, ATENOLOL, COMP 100 MG - CX C/ 28, TTB
520728601113111, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 30, TTB
520728603116118, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520728602111112, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30, TTB
520728604112116, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520702501111415, ATEPRESS, ATEPRESS, NOT FOUND, COMP 100MG CX C/28, TTB
520702502118413, ATEPRESS, ATEPRESS, NOT FOUND, COMP 50MG CX C/28, TTB
520702601116419, ATROMICIN, ATROMICIN, NOT FOUND, CAPS 250MG CX C/06, TTB
520702603135410, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 600MG FR X 15ML, TTB
520702602139412, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 900MG FR X 22ML, TTB
520727501115114, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 2, TTB
520727502111112, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 3, TTB
520723901135111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520723902131118, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520728501161114, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CT BG AL X 10 G, TTB
520728502166111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP), TTB
520728503162118, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP), TTB
520729802163114, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 15 G , TTB
520729803161115, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 30 G , TTB
520729801167116, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CX 50 CT BG AL X 30 G (EMB HOSP), TTB
520700102155110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP), TTB
520700103151119, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP) , TTB
520700101167115, ACICLOVIR, ACICLOVIR, ACICLOVIR, CREME 50MG/G BISN X 10G, TTB
520700201110417, AERODINI, AERODINI, NOT FOUND, COMP 2 MG CX C/ 20, TTB
520700202133410, AERODINI, AERODINI, NOT FOUND, SOL ORAL 0.4 MG/ML FR C/ 120 ML, TTB
520700203131411, AERODINI, AERODINI, NOT FOUND, SPRAY 100 MCG/ DOSE AER X 200, TTB
520700301158411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 0.5% CX C/05 AMP X 2ML, TTB
520700302154411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% C/01 FR/AMP, TTB
520700303150418, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% CX C/05AMPX 2ML, TTB
520700304157416, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 3% CX C/05 AMP X 2ML, TTB
520700402116412, AFOPIC, AFOPIC, NOT FOUND, 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP), TTB
520700401111417, AFOPIC, AFOPIC, NOT FOUND, COMP 5MG CX C/20, TTB
520700503117112, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 400 MG COM MAST CT BL AL PLAS INC X 1, TTB
520700502137111, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, SUSP ORAL - FR. C/ 10 ML, TTB
520700602115411, ALBENTEL, ALBENTEL, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1 , TTB
520700603111418, ALBENTEL, ALBENTEL, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 5, TTB
520700601119411, ALBENTEL, ALBENTEL, NOT FOUND, COMP 200MG CX C/ 2, TTB
520700605130411, ALBENTEL, ALBENTEL, NOT FOUND, SUSP ORAL 40MG/ML FR C/10ML, TTB
520700701113415, ALDOTENSIN, ALDOTENSIN, NOT FOUND, COMP 250MG CX C/20, TTB
520700702111416, ALDOTENSIN, ALDOTENSIN, NOT FOUND, COMP 500MG CX C/20, TTB
520700902151111, AMICACINA, AMICACINA, AMICACINA, SOL INJ 125MG/ML C/1AMP, TTB
520700903158118, AMICACINA, AMICACINA, AMICACINA, SOL INJ 250MG/ML C/ 50AMP, TTB
520700906157112, AMICACINA, AMICACINA, AMICACINA, SOL INJ 50MG/ML C/ 50AMP, TTB
520701002111111, AMINOFILINA, AMINOFILINA, AMINOFILINA, 100 MG COM CT BL AL PVC X 20, TTB
520701003118118, AMINOFILINA, AMINOFILINA, AMINOFILINA, 200 MG COM CT BL AL PVC X 20, TTB
520701001158112, AMINOFILINA, AMINOFILINA, AMINOFILINA, SOL INJ 24MG/ML CX C/ 50 FR X 10ML, TTB
520701101111411, AMINOLIV, AMINOLIV, NOT FOUND, COMP 100MG CX C/20, TTB
520701102116415, AMINOLIV, AMINOLIV, NOT FOUND, COMP 200MG CX C/20, TTB
520701201114410, AMLOPRAX, AMLOPRAX, NOT FOUND, COMP 5MG CX C/20, TTB
520723404131116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML + CP MED, TTB
520723401116116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 10 BL AL PLAS INC X 10 (EMB HOSP), TTB
520723402112114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7, TTB
520723403119112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, TTB
520701305114417, AMPICILASE, AMPICILASE, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, TTB
520701301119414, AMPICILASE, AMPICILASE, NOT FOUND, CAPS 500 MG CX. C/ 6, TTB
520701304134414, AMPICILASE, AMPICILASE, NOT FOUND, SUSP 250 MG / 5ML FR C/ 60 ML, TTB
520701401156117, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 3 ML (EMB HOSP), TTB
520701402152115, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, SOL INJ 500MG CX C/ 50 FR/AMP, TTB
520726303158412, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726301155416, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100MG PO LIOF CT FA VD INC + AMP DIL X 2ML (EMB HOSP), TTB
520726304154410, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726302151414, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500MG PO LIOF CT FA VD INC + AMP DIL X 4ML (EMB HOSP), TTB
520701601112415, ANDROFLOXIN, ANDROFLOXIN, NOT FOUND, COMP 400MG CX C/14, TTB
520701701117419, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/10, TTB
520701702113417, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/30, TTB
520701801111412, ANFLENE, ANFLENE, NOT FOUND, CAPS 10 MG CX C/ 15, TTB
520701802118410, ANFLENE, ANFLENE, NOT FOUND, CAPS 20 MG CX C/ 15, TTB
520701901167411, ANFOTERIN, ANFOTERIN, NOT FOUND, CREME VAG BISN X 60G, TTB
520726101113418, ANSIRAX, ANSIRAX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, TTB
520702001119417, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 150MG CX C/20, TTB
520702002115415, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/08, TTB
520702003111413, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/16, TTB
520702004118411, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/32, TTB
520702005157410, ANTIDIN, ANTIDIN, NOT FOUND, SOL INJ 50MG/2ML CX C/05 AMP, TTB
520702101113410, ANTITENSIN, ANTITENSIN, NOT FOUND, 40 MG COM CT BL AL PLAS AMB X 40, TTB
520702102111411, ANTITENSIN, ANTITENSIN, NOT FOUND, 80 MG COM CT BL AL PLAS AMB X 20, TTB
520702201118414, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 20MG CX C/20, TTB
520702202114412, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 5MG CX C/20, TTB
520702301112418, ASMOFEN, ASMOFEN, NOT FOUND, COMP 1MG CX C/20, TTB
520702302135411, ASMOFEN, ASMOFEN, NOT FOUND, SOL ORAL GTS 1MG/ML FR X 30ML, TTB
520702303131411, ASMOFEN, ASMOFEN, NOT FOUND, XPE 1MG/5ML FR X 120ML, TTB
520702402113118, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, TTB
520702401117111, ATENOLOL, ATENOLOL, ATENOLOL, COMP 100 MG - CX C/ 28, TTB
520728601113111, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 30, TTB
520728603116118, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520728602111112, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30, TTB
520728604112116, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520702501111415, ATEPRESS, ATEPRESS, NOT FOUND, COMP 100MG CX C/28, TTB
520702502118413, ATEPRESS, ATEPRESS, NOT FOUND, COMP 50MG CX C/28, TTB
520702601116419, ATROMICIN, ATROMICIN, NOT FOUND, CAPS 250MG CX C/06, TTB
520702603135410, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 600MG FR X 15ML, TTB
520702602139412, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 900MG FR X 22ML, TTB
520727501115114, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 2, TTB
520727502111112, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 3, TTB
520723901135111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520723902131118, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520728501161114, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CT BG AL X 10 G, TTB
520728502166111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP), TTB
520728503162118, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP), TTB
520729802163114, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 15 G , TTB
520729803161115, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 30 G , TTB
520729801167116, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CX 50 CT BG AL X 30 G (EMB HOSP), TTB
520700102155110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP), TTB
520700103151119, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP) , TTB
520700101167115, ACICLOVIR, ACICLOVIR, ACICLOVIR, CREME 50MG/G BISN X 10G, TTB
520700201110417, AERODINI, AERODINI, NOT FOUND, COMP 2 MG CX C/ 20, TTB
520700202133410, AERODINI, AERODINI, NOT FOUND, SOL ORAL 0.4 MG/ML FR C/ 120 ML, TTB
520700203131411, AERODINI, AERODINI, NOT FOUND, SPRAY 100 MCG/ DOSE AER X 200, TTB
520700301158411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 0.5% CX C/05 AMP X 2ML, TTB
520700302154411, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% C/01 FR/AMP, TTB
520700303150418, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 1% CX C/05AMPX 2ML, TTB
520700304157416, AETHOXYSKLEROL, AETHOXYSKLEROL, NOT FOUND, SOL INJ 3% CX C/05 AMP X 2ML, TTB
520700402116412, AFOPIC, AFOPIC, NOT FOUND, 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP), TTB
520700401111417, AFOPIC, AFOPIC, NOT FOUND, COMP 5MG CX C/20, TTB
520700503117112, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, 400 MG COM MAST CT BL AL PLAS INC X 1, TTB
520700502137111, ALBENDAZOL, ALBENDAZOL, ALBENDAZOL, SUSP ORAL - FR. C/ 10 ML, TTB
520700602115411, ALBENTEL, ALBENTEL, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 1 , TTB
520700603111418, ALBENTEL, ALBENTEL, NOT FOUND, 400 MG COM MAST CT BL AL PLAS INC X 5, TTB
520700601119411, ALBENTEL, ALBENTEL, NOT FOUND, COMP 200MG CX C/ 2, TTB
520700605130411, ALBENTEL, ALBENTEL, NOT FOUND, SUSP ORAL 40MG/ML FR C/10ML, TTB
520700701113415, ALDOTENSIN, ALDOTENSIN, NOT FOUND, COMP 250MG CX C/20, TTB
520700702111416, ALDOTENSIN, ALDOTENSIN, NOT FOUND, COMP 500MG CX C/20, TTB
520700902151111, AMICACINA, AMICACINA, AMICACINA, SOL INJ 125MG/ML C/1AMP, TTB
520700903158118, AMICACINA, AMICACINA, AMICACINA, SOL INJ 250MG/ML C/ 50AMP, TTB
520700906157112, AMICACINA, AMICACINA, AMICACINA, SOL INJ 50MG/ML C/ 50AMP, TTB
520701002111111, AMINOFILINA, AMINOFILINA, AMINOFILINA, 100 MG COM CT BL AL PVC X 20, TTB
520701003118118, AMINOFILINA, AMINOFILINA, AMINOFILINA, 200 MG COM CT BL AL PVC X 20, TTB
520701001158112, AMINOFILINA, AMINOFILINA, AMINOFILINA, SOL INJ 24MG/ML CX C/ 50 FR X 10ML, TTB
520701101111411, AMINOLIV, AMINOLIV, NOT FOUND, COMP 100MG CX C/20, TTB
520701102116415, AMINOLIV, AMINOLIV, NOT FOUND, COMP 200MG CX C/20, TTB
520701201114410, AMLOPRAX, AMLOPRAX, NOT FOUND, COMP 5MG CX C/20, TTB
520723404131116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 50 MG/ML PO PREP EXT SUS OR CT FR VD AMB X 150 ML + CP MED, TTB
520723401116116, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 10 BL AL PLAS INC X 10 (EMB HOSP), TTB
520723402112114, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT 3 BL AL PLAS INC X 7, TTB
520723403119112, AMOXICILINA, AMOXICILINA, AMOXICILINA, 500 MG CAP GEL DURA CT BL AL PLAS INC X 30, TTB
520701305114417, AMPICILASE, AMPICILASE, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 10, TTB
520701301119414, AMPICILASE, AMPICILASE, NOT FOUND, CAPS 500 MG CX. C/ 6, TTB
520701304134414, AMPICILASE, AMPICILASE, NOT FOUND, SUSP 250 MG / 5ML FR C/ 60 ML, TTB
520701401156117, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, 1 G PO P/ SOL INJ CT 50 FA VD INC + 50 DIL AMP VD INC X 3 ML (EMB HOSP), TTB
520701402152115, AMPICILINA SODICA, AMPICILINA SODICA, AMPICILINA SODICA, SOL INJ 500MG CX C/ 50 FR/AMP, TTB
520726303158412, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726301155416, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 100MG PO LIOF CT FA VD INC + AMP DIL X 2ML (EMB HOSP), TTB
520726304154410, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500 MG PO LIOF CX 50 FA VD INC (EMB HOSP), TTB
520726302151414, ANDROCORTIL, ANDROCORTIL, NOT FOUND, 500MG PO LIOF CT FA VD INC + AMP DIL X 4ML (EMB HOSP), TTB
520701601112415, ANDROFLOXIN, ANDROFLOXIN, NOT FOUND, COMP 400MG CX C/14, TTB
520701701117419, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/10, TTB
520701702113417, ANDROLIP, ANDROLIP, NOT FOUND, COMP REV 10MG CX C/30, TTB
520701801111412, ANFLENE, ANFLENE, NOT FOUND, CAPS 10 MG CX C/ 15, TTB
520701802118410, ANFLENE, ANFLENE, NOT FOUND, CAPS 20 MG CX C/ 15, TTB
520701901167411, ANFOTERIN, ANFOTERIN, NOT FOUND, CREME VAG BISN X 60G, TTB
520726101113418, ANSIRAX, ANSIRAX, NOT FOUND, 2 MG COM CT BL AL PLAS INC X 20, TTB
520702001119417, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 150MG CX C/20, TTB
520702002115415, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/08, TTB
520702003111413, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/16, TTB
520702004118411, ANTIDIN, ANTIDIN, NOT FOUND, COMP REV 300MG CX C/32, TTB
520702005157410, ANTIDIN, ANTIDIN, NOT FOUND, SOL INJ 50MG/2ML CX C/05 AMP, TTB
520702101113410, ANTITENSIN, ANTITENSIN, NOT FOUND, 40 MG COM CT BL AL PLAS AMB X 40, TTB
520702102111411, ANTITENSIN, ANTITENSIN, NOT FOUND, 80 MG COM CT BL AL PLAS AMB X 20, TTB
520702201118414, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 20MG CX C/20, TTB
520702202114412, ARTINIZONA, ARTINIZONA, NOT FOUND, COMP 5MG CX C/20, TTB
520702301112418, ASMOFEN, ASMOFEN, NOT FOUND, COMP 1MG CX C/20, TTB
520702302135411, ASMOFEN, ASMOFEN, NOT FOUND, SOL ORAL GTS 1MG/ML FR X 30ML, TTB
520702303131411, ASMOFEN, ASMOFEN, NOT FOUND, XPE 1MG/5ML FR X 120ML, TTB
520731301117413, ATELIDONA, ATELIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL/PLAS INC X 30, TTB
520731302113411, ATELIDONA, ATELIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL/PLAS INC X 60, TTB
520731303111412, ATELIDONA, ATELIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 30, TTB
520731304116418, ATELIDONA, ATELIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL/PLAS INC X 60, TTB
520702402113118, ATENOLOL, ATENOLOL, ATENOLOL, 50 MG COM CT BL AL PLAS INC X 30, TTB
520702401117111, ATENOLOL, ATENOLOL, ATENOLOL, COMP 100 MG - CX C/ 28, TTB
520728601113111, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 30, TTB
520728603116118, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520728602111112, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 30, TTB
520728604112116, ATENOLOL + CLORTALIDONA, ATENOLOL CLORTALIDONA, NOT FOUND, 50 MG + 12.5 MG COM CT BL AL PLAS INC X 60 (EMB HOSP), TTB
520702501111415, ATEPRESS, ATEPRESS, NOT FOUND, COMP 100MG CX C/28, TTB
520702502118413, ATEPRESS, ATEPRESS, NOT FOUND, COMP 50MG CX C/28, TTB
520702601116419, ATROMICIN, ATROMICIN, NOT FOUND, CAPS 250MG CX C/06, TTB
520702603135410, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 600MG FR X 15ML, TTB
520702602139412, ATROMICIN, ATROMICIN, NOT FOUND, PO SUSP ORAL 900MG FR X 22ML, TTB
520727501115114, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 2, TTB
520727502111112, AZITROMICINA, AZITROMICINA, AZITROMICINA, 500 MG COM REV CT BL AL PLAS INC X 3, TTB
520723901135111, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 10 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520723902131118, ACEBROFILINA, ACEBROFILINA, ACEBROFILINA, 5 MG/ ML XPE CT FR VD AMB X 120 ML, TTB
520728501161114, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CT BG AL X 10 G, TTB
520728502166111, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 100 BG AL X 10 G (EMB HOSP), TTB
520728503162118, ACETATO DE DEXAMETASONA, ACETATO DEXAMETASONA, ACETATO DEXAMETASONA, 1 MG/G CREM DERM CX 50 BG AL X 10 G (EMB HOSP), TTB
520729802163114, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 15 G , TTB
520729803161115, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CT BG AL X 30 G , TTB
520729801167116, ACETATO DE HIDROCORTISONA, ACETATO HIDROCORTISONA, ACETATO HIDROCORTISONA, 10 MG/G CREM DERM CX 50 CT BG AL X 30 G (EMB HOSP), TTB
520700102155110, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CT 5 FA VD INC X 20 ML (EMB HOSP), TTB
520700103151119, ACICLOVIR, ACICLOVIR, ACICLOVIR, 250 MG PO LIOF P/ SOL INJ IV CX 50 FA VD INC X 20 ML (EMB HOSP) , TTB
